Team,Batting Average,Date,Team Abbreviation
Toronto,0.26697,2022-07-26,TOR
Colorado,0.260935,2022-07-26,COL
Chi Sox,0.256272,2022-07-26,CHW
LA Dodgers,0.255518,2022-07-26,LAD
Boston,0.255224,2022-07-26,BOS
Minnesota,0.253157,2022-07-26,MIN
NY Mets,0.25192,2022-07-26,NYM
Cleveland,0.251783,2022-07-26,CLE
St. Louis,0.250757,2022-07-26,STL
Kansas City,0.248535,2022-07-26,KCR
Atlanta,0.248278,2022-07-26,ATL
NY Yankees,0.24639,2022-07-26,NYY
Washington,0.246107,2022-07-26,WSN
Chi Cubs,0.245867,2022-07-26,CHC
Philadelphia,0.245318,2022-07-26,PHI
San Diego,0.241327,2022-07-26,SDP
Cincinnati,0.240941,2022-07-26,CIN
Houston,0.240447,2022-07-26,HOU
Texas,0.239901,2022-07-26,TEX
Tampa Bay,0.239515,2022-07-26,TBR
Miami,0.237667,2022-07-26,MIA
Milwaukee,0.237142,2022-07-26,MIL
Seattle,0.235712,2022-07-26,SEA
Baltimore,0.234515,2022-07-26,BAL
SF Giants,0.234483,2022-07-26,SFG
LA Angels,0.229781,2022-07-26,LAA
Detroit,0.228544,2022-07-26,DET
Arizona,0.226641,2022-07-26,ARI
Pittsburgh,0.220791,2022-07-26,PIT
Sacramento,0.214219,2022-07-26,OAK
