gameId,startDate,homeTeam,awayTeam,homePitcher,awayPitcher,homeScore,awayScore,fanduel_opening_homeOdds,fanduel_opening_awayOdds,fanduel_current_homeOdds,fanduel_current_awayOdds,caesars_opening_homeOdds,caesars_opening_awayOdds,caesars_current_homeOdds,caesars_current_awayOdds,draftkings_opening_homeOdds,draftkings_opening_awayOdds,draftkings_current_homeOdds,draftkings_current_awayOdds,bet365_opening_homeOdds,bet365_opening_awayOdds,bet365_current_homeOdds,bet365_current_awayOdds,betmgm_opening_homeOdds,betmgm_opening_awayOdds,betmgm_current_homeOdds,betmgm_current_awayOdds
259478,2022-06-19T16:05:00+00:00,Washington,Philadelphia,Jackson Tetreault,Zach Eflin,9,3,148.0,-176.0,144.0,-172.0,150,-169,150,-169,135,-155,140,-165,,,,,,,,
259473,2022-06-19T17:35:00+00:00,Pittsburgh,San Francisco,Mitch Keller,Alex Cobb,4,3,,,,,160,-179,160,-179,155,-180,155,-180,150.0,-170.0,165.0,-185.0,,,,
259474,2022-06-19T17:35:00+00:00,Boston,St. Louis,Nick Pivetta,Andre Pallante,6,4,,,,,-141,120,-149,130,100,-120,-145,125,,,,,-140.0,115.0,-155.0,125.0
259475,2022-06-19T17:35:00+00:00,Baltimore,Tampa Bay,Austin Voth,Corey Kluber,2,1,,,,,120,-141,140,-161,110,-130,135,-155,115.0,-135.0,135.0,-155.0,115.0,-140.0,125.0,-150.0
259481,2022-06-19T17:37:00+00:00,Toronto,NY Yankees,Yusei Kikuchi,Luis Severino,10,9,114.0,-134.0,134.0,-158.0,120,-141,140,-161,100,-120,140,-165,115.0,-135.0,140.0,-160.0,110.0,-135.0,135.0,-165.0
259480,2022-06-19T17:40:00+00:00,NY Mets,Miami,Chris Bassitt,Sandy Alcantara,2,6,,,,,-135,115,-141,120,-135,115,-140,120,,,,,-135.0,110.0,-140.0,115.0
259482,2022-06-19T17:40:00+00:00,Cincinnati,Milwaukee,Michael Minor,Adrian Houser,3,6,112.0,-132.0,116.0,-136.0,110,-130,115,-135,115,-135,110,-130,110.0,-130.0,120.0,-140.0,110.0,-135.0,110.0,-135.0
259476,2022-06-19T17:40:00+00:00,Detroit,Texas,Andrew Hutchison,Dane Dunning,7,3,,,,,120,-141,125,-145,115,-135,130,-150,120.0,-140.0,135.0,-155.0,120.0,-145.0,125.0,-150.0
259484,2022-06-19T18:20:00+00:00,Chi. Cubs,Atlanta,Kyle Hendricks,Ian Anderson,0,6,,,,,140,-161,140,-161,130,-150,130,-150,,,,,135.0,-160.0,125.0,-155.0
259471,2022-06-19T19:10:00+00:00,Colorado,San Diego,Antonio Senzatela,Blake Snell,8,3,,,,,115,-135,120,-141,120,-140,120,-140,115.0,-135.0,120.0,-140.0,115.0,-140.0,115.0,-140.0
259470,2022-06-19T20:07:00+00:00,Oakland,Kansas City,Jared Koenig,Brady Singer,4,0,120.0,-142.0,128.0,-152.0,120,-141,130,-149,125,-145,125,-145,120.0,-140.0,130.0,-150.0,115.0,-140.0,120.0,-145.0
259472,2022-06-19T20:10:00+00:00,Seattle,LA Angels,Logan Gilbert,Kenneth Rosenberg,0,4,,,,,-169,150,-169,150,-165,140,-170,145,-170.0,150.0,-170.0,150.0,-175.0,145.0,-165.0,140.0
259477,2022-06-19T20:10:00+00:00,Arizona,Minnesota,Merrill Kelly,Christopher Archer,7,1,,,,,100,-120,100,-120,100,-120,100,-120,100.0,-120.0,100.0,-120.0,-105.0,-115.0,100.0,-120.0
259469,2022-06-19T20:10:00+00:00,LA Dodgers,Cleveland,Andrew Heaney,Shane Bieber,3,5,,,,,-161,140,-161,140,-155,135,-165,140,-155.0,135.0,-160.0,140.0,-155.0,125.0,-155.0,125.0
259479,2022-06-19T23:08:00+00:00,Houston,Chi. White Sox,Cristian Javier,Michael Kopech,4,3,-162.0,136.0,-152.0,128.0,-161,140,-154,135,-175,150,-155,135,-165.0,145.0,-150.0,130.0,-160.0,135.0,-145.0,120.0
