gameId,startDate,homeTeam,awayTeam,homePitcher,awayPitcher,homeScore,awayScore,betmgm_opening_homeOdds,betmgm_opening_awayOdds,betmgm_current_homeOdds,betmgm_current_awayOdds,fanduel_opening_homeOdds,fanduel_opening_awayOdds,fanduel_current_homeOdds,fanduel_current_awayOdds,caesars_opening_homeOdds,caesars_opening_awayOdds,caesars_current_homeOdds,caesars_current_awayOdds,draftkings_opening_homeOdds,draftkings_opening_awayOdds,draftkings_current_homeOdds,draftkings_current_awayOdds,bet365_opening_homeOdds,bet365_opening_awayOdds,bet365_current_homeOdds,bet365_current_awayOdds
300893,2024-08-10T17:05:00+00:00,NY Yankees,Texas,Carlos Rodon,Nathan Eovaldi,8,0,-150,125,-160,135,-162,136,-164,128,-161,135,-175,148,-166,140,-162,136,,,,
300901,2024-08-10T19:07:00+00:00,Toronto,Athletics,Yariel Rodriguez,Osvaldo Bido,0,1,-150,125,-135,115,-146,124,-134,116,-145,122,-130,110,-142,120,-130,110,-125.0,105.0,-130.0,110.0
300899,2024-08-10T20:05:00+00:00,San Francisco,Detroit,Logan Webb,Alex Faedo,3,1,-10000,-10000,-250,200,-225,188,-255,210,-238,196,-263,210,-225,185,-245,200,-230.0,190.0,-260.0,210.0
300902,2024-08-10T20:10:00+00:00,Miami,San Diego,Roddery Munoz,Matt Waldron,8,9,135,-165,155,-190,152,-180,166,-198,140,-164,162,-196,140,-166,160,-192,140.0,-165.0,160.0,-190.0
300890,2024-08-10T20:10:00+00:00,Boston,Houston,Josh Winckowski,Spencer Arrighetti,4,5,-125,105,-110,-110,-120,102,-116,-102,-130,110,-115,-105,-120,100,-112,-108,-130.0,110.0,-115.0,-105.0
300885,2024-08-10T20:40:00+00:00,NY Yankees,Texas,Gerrit Cole,Cody Bradford,4,9,-185,150,-185,150,-178,150,-192,148,-179,150,-179,150,-185,154,-175,135,-180.0,150.0,-210.0,175.0
300891,2024-08-10T22:45:00+00:00,Washington,LA Angels,Patrick Corbin,Griffin Canning,5,4,-110,-110,-110,-110,-108,-108,-108,-108,-115,-105,-110,-110,-115,-105,-108,-112,-115.0,-105.0,-110.0,-110.0
300894,2024-08-10T23:10:00+00:00,Kansas City,St. Louis,Michael Wacha,Andre Pallante,8,3,-140,115,-130,110,-130,110,-120,102,-135,115,-141,118,-135,114,-122,102,-130.0,110.0,-125.0,105.0
300903,2024-08-10T23:10:00+00:00,Milwaukee,Cincinnati,Tobias Myers,Nick Martinez,1,0,-140,115,-145,120,-138,118,-142,120,-135,115,-154,130,-142,120,-142,120,-140.0,120.0,-140.0,120.0
300895,2024-08-10T23:10:00+00:00,Minnesota,Cleveland,Simeon Woods Richardson,Gavin Williams,1,2,-120,100,-110,-110,-124,106,-118,100,-120,100,-120,100,-122,102,-115,-115,-120.0,100.0,-110.0,-110.0
300896,2024-08-10T23:15:00+00:00,Chi. White Sox,Chi. Cubs,Chris Flexen,Justin Steele,1,3,200,-250,200,-250,194,-235,190,-230,205,-250,196,-238,200,-245,185,-225,190.0,-230.0,185.0,-225.0
300892,2024-08-10T23:15:00+00:00,Tampa Bay,Baltimore,Drew Rasmussen,Corbin Burnes,5,7,-10000,-10000,120,-145,144,-172,116,-136,143,-169,130,-154,145,-175,114,-135,145.0,-170.0,120.0,-140.0
300904,2024-08-11T00:10:00+00:00,Colorado,Atlanta,Dakota Hudson,Max Fried,8,11,165,-200,170,-210,166,-198,172,-205,158,-189,162,-196,154,-185,164,-198,165.0,-200.0,165.0,-200.0
300900,2024-08-11T00:10:00+00:00,Arizona,Philadelphia,Zac Gallen,Aaron Nola,11,1,-115,-105,-120,100,-104,-112,-116,-102,-115,-105,-120,100,-115,-105,-122,102,-115.0,-105.0,-115.0,-105.0
300897,2024-08-11T01:10:00+00:00,LA Dodgers,Pittsburgh,River Ryan,Paul Skenes,4,1,100,-120,-110,-110,-116,-102,-112,-104,100,-120,-115,-105,-102,-118,-115,-105,-105.0,-115.0,-110.0,-110.0
300898,2024-08-11T01:40:00+00:00,Seattle,NY Mets,Logan Gilbert,Sean Manaea,4,0,-135,110,-135,115,-130,110,-130,110,-130,110,-135,115,-135,114,-130,110,-125.0,105.0,-130.0,110.0
