Team,Batting Average,Date,Team Abbreviation
Texas,0.269939,2023-06-18,TEX
Atlanta,0.266473,2023-06-18,ATL
Arizona,0.263617,2023-06-18,ARI
Toronto,0.262947,2023-06-18,TOR
Boston,0.261994,2023-06-18,BOS
Tampa Bay,0.26178,2023-06-18,TBR
Washington,0.261017,2023-06-18,WSN
Philadelphia,0.258698,2023-06-18,PHI
LA Angels,0.256039,2023-06-18,LAA
Miami,0.255872,2023-06-18,MIA
SF Giants,0.255178,2023-06-18,SFG
Colorado,0.254744,2023-06-18,COL
Cincinnati,0.254167,2023-06-18,CIN
Baltimore,0.253373,2023-06-18,BAL
Chi Cubs,0.248619,2023-06-18,CHC
St. Louis,0.247831,2023-06-18,STL
Pittsburgh,0.246262,2023-06-18,PIT
Houston,0.244454,2023-06-18,HOU
Cleveland,0.242694,2023-06-18,CLE
LA Dodgers,0.240718,2023-06-18,LAD
NY Mets,0.240637,2023-06-18,NYM
Chi Sox,0.235438,2023-06-18,CHW
NY Yankees,0.232658,2023-06-18,NYY
Kansas City,0.232578,2023-06-18,KCR
Minnesota,0.230252,2023-06-18,MIN
Seattle,0.229338,2023-06-18,SEA
Milwaukee,0.22836,2023-06-18,MIL
San Diego,0.228247,2023-06-18,SDP
Detroit,0.228205,2023-06-18,DET
Sacramento,0.221854,2023-06-18,OAK
