gameId,startDate,homeTeam,awayTeam,homePitcher,awayPitcher,homeScore,awayScore,betmgm_opening_homeOdds,betmgm_opening_awayOdds,betmgm_current_homeOdds,betmgm_current_awayOdds,fanduel_opening_homeOdds,fanduel_opening_awayOdds,fanduel_current_homeOdds,fanduel_current_awayOdds,caesars_opening_homeOdds,caesars_opening_awayOdds,caesars_current_homeOdds,caesars_current_awayOdds,bet365_opening_homeOdds,bet365_opening_awayOdds,bet365_current_homeOdds,bet365_current_awayOdds,draftkings_opening_homeOdds,draftkings_opening_awayOdds,draftkings_current_homeOdds,draftkings_current_awayOdds
259578,2022-06-23T16:10:00+00:00,Miami,Colorado,Braxton Garrett,Kyle Freeland,3,2,-135,110,-150,125,-130,110,-154,130,-141,120,-145,125,-130,110,-150,130,-115,-105,-160,130
259574,2022-06-23T16:20:00+00:00,Atlanta,San Francisco,Kyle Wright,Robert Wood,7,6,-160,135,-150,125,-156,132,-144,122,-145,125,-145,125,-155,135,-145,125,-130,110,-140,120
259571,2022-06-23T16:35:00+00:00,Pittsburgh,Chi. Cubs,Jose Quintana,Justin Steele,8,7,-105,-115,-105,-115,102,-120,-106,-110,-105,-115,-105,-115,100,-120,-105,-115,110,-130,-110,-120
259570,2022-06-23T16:35:00+00:00,Cincinnati,LA Dodgers,Hunter Greene,Clayton Kershaw,5,10,165,-200,195,-250,168,-200,190,-230,190,-222,195,-233,175,-210,190,-230,235,-280,180,-220
259580,2022-06-23T17:10:00+00:00,Minnesota,Cleveland,Devin Smeltzer,Zach Plesac,1,0,-145,120,-135,115,-142,120,-132,112,-161,140,-135,115,-145,125,-135,115,-155,135,-135,115
259582,2022-06-23T18:10:00+00:00,Milwaukee,St. Louis,Jason Alexander,Dakota Hudson,6,4,-115,-105,-125,105,-102,-116,-126,108,100,-120,-125,105,-105,-115,-125,105,100,-120,-125,105
259572,2022-06-23T19:37:00+00:00,Oakland,Seattle,Frankie Montas Jr.,Robbie Ray,1,2,110,-135,110,-130,110,-130,110,-130,115,-135,110,-130,115,-135,100,-120,110,-130,105,-125
259576,2022-06-23T23:05:00+00:00,NY Yankees,Houston,Jameson Taillon,Framber Valdez,7,6,-135,110,-130,110,-134,114,-130,110,-135,115,-125,105,-135,115,-125,105,-140,120,-125,105
259575,2022-06-24T00:10:00+00:00,Chi. White Sox,Baltimore,Johnny Cueto,Dean Kremer,0,4,-160,135,-160,135,-158,134,-158,134,-161,140,-161,140,-150,130,-160,140,-150,130,-155,135
259573,2022-06-24T01:40:00+00:00,San Diego,Philadelphia,Joe Musgrove,Ranger Suarez,2,6,-145,120,-160,135,-156,132,-162,136,-145,125,-161,140,-145,125,-155,135,-155,135,-150,130
