gameId,startDate,homeTeam,awayTeam,homePitcher,awayPitcher,homeScore,awayScore,betmgm_opening_homeOdds,betmgm_opening_awayOdds,betmgm_current_homeOdds,betmgm_current_awayOdds,fanduel_opening_homeOdds,fanduel_opening_awayOdds,fanduel_current_homeOdds,fanduel_current_awayOdds,caesars_opening_homeOdds,caesars_opening_awayOdds,caesars_current_homeOdds,caesars_current_awayOdds,draftkings_opening_homeOdds,draftkings_opening_awayOdds,draftkings_current_homeOdds,draftkings_current_awayOdds,bet365_opening_homeOdds,bet365_opening_awayOdds,bet365_current_homeOdds,bet365_current_awayOdds
299956,2024-05-28T20:10:00+00:00,NY Mets,LA Dodgers,Tylor Megill,Tyler Glasnow,2,5,165,-200,170,-210,176,-210,164,-196,170,-204,185,-227,170,-205,165,-215,,,,
299955,2024-05-28T22:35:00+00:00,Baltimore,Boston,Grayson Rodriguez,Brayan Bello,3,8,-165,140,-175,145,-156,132,-178,150,-164,140,-169,143,-166,140,-195,150,-160.0,135.0,-170.0,145.0
299964,2024-05-28T22:40:00+00:00,Cincinnati,St. Louis,Andrew Abbott,Kyle Gibson,1,7,-125,105,-130,110,-116,-102,-130,110,-120,100,-135,115,-125,105,-125,-105,-120.0,100.0,-130.0,110.0
299959,2024-05-28T22:50:00+00:00,Tampa Bay,Athletics,Zack Littell,Mitch Spence,0,3,-165,140,-175,145,-166,140,-178,150,-164,140,-179,150,-166,140,-175,145,-165.0,140.0,-180.0,150.0
299960,2024-05-28T23:20:00+00:00,Atlanta,Washington,Max Fried,Jake Irvin,2,0,-250,200,-250,200,-235,194,-255,210,-250,205,-278,222,-250,205,-250,205,-220.0,180.0,-270.0,220.0
299965,2024-05-28T23:40:00+00:00,Milwaukee,Chi. Cubs,Freddy Peralta,Ben Brown,3,6,-150,125,-160,135,-146,124,-172,134,-161,135,-164,140,-162,136,-166,130,-155.0,130.0,-165.0,140.0
299957,2024-05-28T23:40:00+00:00,Minnesota,Kansas City,Simeon Woods Richardson,Cole Ragans,4,2,100,-120,115,-135,106,-124,104,-134,100,-120,115,-135,102,-122,100,-130,100.0,-120.0,115.0,-135.0
299958,2024-05-28T23:40:00+00:00,Chi. White Sox,Toronto,Jake Woodford,Kevin Gausman,2,7,180,-225,180,-225,188,-225,184,-220,175,-208,205,-250,180,-218,185,-225,165.0,-200.0,185.0,-225.0
299947,2024-05-28T23:40:00+00:00,NY Mets,LA Dodgers,Jose Quintana,Gavin Stone,0,3,125,-150,100,-120,132,-156,106,-124,122,-145,100,-120,124,-148,110,-130,120.0,-140.0,115.0,-135.0
299966,2024-05-29T00:05:00+00:00,Texas,Arizona,Nathan Eovaldi,Brandon Pfaadt,4,2,-105,-115,-125,105,100,-118,-130,110,100,-120,-130,110,100,-120,-140,110,100.0,-120.0,-130.0,110.0
299967,2024-05-29T00:40:00+00:00,Colorado,Cleveland,Ryan Feltner,Triston McKenzie,7,13,125,-155,110,-130,120,-142,112,-132,130,-154,122,-145,130,-155,110,-140,125.0,-150.0,115.0,-135.0
299968,2024-05-29T01:38:00+00:00,LA Angels,NY Yankees,Griffin Canning,Nestor Cortes,4,3,145,-175,150,-185,158,-188,154,-184,143,-169,162,-196,145,-175,154,-185,145.0,-170.0,150.0,-180.0
299969,2024-05-29T01:40:00+00:00,San Diego,Miami,Matt Waldron,Jesus Luzardo,4,0,-125,105,-140,115,-116,-102,-140,110,-125,105,-141,118,-125,105,-166,130,-120.0,100.0,-135.0,115.0
299961,2024-05-29T01:40:00+00:00,Seattle,Houston,Luis Castillo,Hunter Brown,4,2,-120,100,-125,105,-130,110,-230,176,-135,115,-125,105,-130,110,-220,170,-135.0,115.0,-130.0,110.0
299962,2024-05-29T01:45:00+00:00,San Francisco,Philadelphia,Erik Miller,Zack Wheeler,1,0,170,-210,170,-210,166,-198,158,-205,170,-204,170,-204,164,-198,135,-175,165.0,-200.0,170.0,-205.0
