date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-07,ARI,Home,SDP,W-wo,1.0
2022-04-08,ARI,Home,SDP,L,0.5
2022-04-09,ARI,Home,SDP,L,0.333
2022-04-10,ARI,Home,SDP,L,0.25
2022-04-12,ARI,Home,HOU,L,0.2
2022-04-13,ARI,Home,HOU,W-wo,0.333
2022-04-15,ARI,@,NYM,L,0.286
2022-04-16,ARI,@,NYM,W,0.375
2022-04-17,ARI,@,NYM,L,0.333
2022-04-19,ARI,@,WSN,L,0.3
2022-04-19,ARI,@,WSN,L,0.273
2022-04-20,ARI,@,WSN,W,0.333
2022-04-21,ARI,@,WSN,W,0.385
2022-04-22,ARI,Home,NYM,L,0.357
2022-04-23,ARI,Home,NYM,W,0.4
2022-04-24,ARI,Home,NYM,L,0.375
2022-04-25,ARI,Home,LAD,L,0.353
2022-04-26,ARI,Home,LAD,W,0.389
2022-04-27,ARI,Home,LAD,W,0.421
2022-04-28,ARI,@,STL,L,0.4
2022-04-29,ARI,@,STL,W,0.429
2022-04-30,ARI,@,STL,W,0.455
2022-05-01,ARI,@,STL,L,0.435
2022-05-02,ARI,@,MIA,W,0.458
2022-05-03,ARI,@,MIA,W,0.48
2022-05-04,ARI,@,MIA,W,0.5
2022-05-06,ARI,Home,COL,W,0.519
2022-05-07,ARI,Home,COL,L,0.5
2022-05-08,ARI,Home,COL,W,0.517
2022-05-09,ARI,Home,MIA,W,0.533
2022-05-10,ARI,Home,MIA,W,0.548
2022-05-11,ARI,Home,MIA,L,0.531
2022-05-13,ARI,Home,CHC,W,0.545
2022-05-14,ARI,Home,CHC,L,0.529
2022-05-15,ARI,Home,CHC,L,0.514
2022-05-16,ARI,@,LAD,L,0.5
2022-05-17,ARI,@,LAD,L,0.486
2022-05-17,ARI,@,LAD,L,0.474
2022-05-18,ARI,@,LAD,L,0.462
2022-05-19,ARI,@,CHC,W,0.475
2022-05-20,ARI,@,CHC,W,0.488
2022-05-21,ARI,@,CHC,W,0.5
2022-05-22,ARI,@,CHC,L,0.488
2022-05-23,ARI,Home,KCR,W,0.5
2022-05-24,ARI,Home,KCR,W,0.511
2022-05-26,ARI,Home,LAD,L,0.5
2022-05-27,ARI,Home,LAD,L,0.489
2022-05-28,ARI,Home,LAD,L,0.479
2022-05-29,ARI,Home,LAD,L,0.469
2022-05-30,ARI,Home,ATL,W,0.48
2022-05-31,ARI,Home,ATL,W-wo,0.49
2022-06-01,ARI,Home,ATL,L,0.481
2022-06-03,ARI,@,PIT,W,0.491
2022-06-04,ARI,@,PIT,L-wo,0.481
2022-06-05,ARI,@,PIT,L,0.473
2022-06-06,ARI,@,CIN,L,0.464
2022-06-07,ARI,@,CIN,L,0.456
2022-06-08,ARI,@,CIN,W,0.466
2022-06-09,ARI,@,CIN,W,0.475
2022-06-10,ARI,@,PHI,L,0.467
2022-06-11,ARI,@,PHI,L,0.459
2022-06-12,ARI,@,PHI,W,0.468
2022-06-13,ARI,Home,CIN,L,0.46
2022-06-14,ARI,Home,CIN,L,0.453
2022-06-15,ARI,Home,CIN,W,0.462
2022-06-17,ARI,Home,MIN,W,0.47
2022-06-18,ARI,Home,MIN,L,0.463
2022-06-19,ARI,Home,MIN,W,0.471
2022-06-20,ARI,@,SDP,L,0.464
2022-06-21,ARI,@,SDP,L-wo,0.457
2022-06-22,ARI,@,SDP,L,0.451
2022-06-24,ARI,Home,DET,L,0.444
2022-06-25,ARI,Home,DET,L,0.438
2022-06-26,ARI,Home,DET,W,0.446
2022-06-28,ARI,Home,SDP,W-wo,0.453
2022-06-29,ARI,Home,SDP,L,0.447
2022-07-01,ARI,@,COL,W,0.455
2022-07-02,ARI,@,COL,L,0.449
2022-07-03,ARI,@,COL,L,0.443
2022-07-04,ARI,Home,SFG,W,0.45
2022-07-05,ARI,Home,SFG,W,0.457
2022-07-06,ARI,Home,SFG,L,0.451
2022-07-07,ARI,Home,COL,L,0.446
2022-07-08,ARI,Home,COL,L,0.44
2022-07-09,ARI,Home,COL,W,0.447
2022-07-10,ARI,Home,COL,L,0.442
2022-07-11,ARI,@,SFG,W,0.448
2022-07-12,ARI,@,SFG,L,0.443
2022-07-13,ARI,@,SFG,L-wo,0.438
2022-07-15,ARI,@,SDP,L,0.433
2022-07-16,ARI,@,SDP,L,0.429
2022-07-17,ARI,@,SDP,W,0.435
2022-07-22,ARI,Home,WSN,W,0.441
2022-07-23,ARI,Home,WSN,W,0.447
2022-07-24,ARI,Home,WSN,L,0.442
2022-07-25,ARI,Home,SFG,W,0.448
2022-07-26,ARI,Home,SFG,W,0.454
2022-07-27,ARI,Home,SFG,W,0.459
2022-07-29,ARI,@,ATL,L,0.455
2022-07-30,ARI,@,ATL,L,0.45
2022-07-31,ARI,@,ATL,L-wo,0.446
2022-08-01,ARI,@,CLE,L-wo,0.441
2022-08-02,ARI,@,CLE,W,0.447
2022-08-03,ARI,@,CLE,L,0.442
2022-08-05,ARI,Home,COL,W,0.448
2022-08-06,ARI,Home,COL,L,0.443
2022-08-07,ARI,Home,COL,W,0.449
2022-08-08,ARI,Home,PIT,W,0.454
2022-08-09,ARI,Home,PIT,W,0.459
2022-08-10,ARI,Home,PIT,L,0.455
2022-08-11,ARI,Home,PIT,W,0.459
2022-08-12,ARI,@,COL,L,0.455
2022-08-13,ARI,@,COL,W,0.46
2022-08-14,ARI,@,COL,W,0.465
2022-08-15,ARI,@,SFG,L,0.461
2022-08-16,ARI,@,SFG,L-wo,0.457
2022-08-17,ARI,@,SFG,W,0.462
2022-08-18,ARI,@,SFG,W,0.466
2022-08-19,ARI,Home,STL,L,0.462
2022-08-20,ARI,Home,STL,L,0.458
2022-08-21,ARI,Home,STL,L,0.455
2022-08-23,ARI,@,KCR,W,0.459
2022-08-24,ARI,@,KCR,L,0.455
2022-08-26,ARI,@,CHW,W,0.46
2022-08-27,ARI,@,CHW,W,0.464
2022-08-28,ARI,@,CHW,W,0.468
2022-08-29,ARI,Home,PHI,W,0.472
2022-08-30,ARI,Home,PHI,W,0.477
2022-08-31,ARI,Home,PHI,L,0.473
2022-09-01,ARI,Home,MIL,W,0.477
2022-09-02,ARI,Home,MIL,W,0.481
2022-09-03,ARI,Home,MIL,L,0.477
2022-09-04,ARI,Home,MIL,W,0.481
2022-09-05,ARI,@,SDP,W,0.485
2022-09-06,ARI,@,SDP,L-wo,0.481
2022-09-07,ARI,@,SDP,L,0.478
2022-09-09,ARI,@,COL,L-wo,0.474
2022-09-10,ARI,@,COL,L,0.471
