date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-07,ATL,Home,CIN,L,0.0
2022-04-08,ATL,Home,CIN,W,0.5
2022-04-09,ATL,Home,CIN,W,0.667
2022-04-10,ATL,Home,CIN,L,0.5
2022-04-11,ATL,Home,WSN,L,0.4
2022-04-12,ATL,Home,WSN,W,0.5
2022-04-13,ATL,Home,WSN,L,0.429
2022-04-14,ATL,@,SDP,L,0.375
2022-04-15,ATL,@,SDP,W,0.444
2022-04-16,ATL,@,SDP,W,0.5
2022-04-17,ATL,@,SDP,L,0.455
2022-04-18,ATL,@,LAD,L,0.417
2022-04-19,ATL,@,LAD,W,0.462
2022-04-20,ATL,@,LAD,L,0.429
2022-04-22,ATL,Home,MIA,W,0.467
2022-04-23,ATL,Home,MIA,L,0.438
2022-04-24,ATL,Home,MIA,L,0.412
2022-04-26,ATL,Home,CHC,W,0.444
2022-04-27,ATL,Home,CHC,L,0.421
2022-04-28,ATL,Home,CHC,W,0.45
2022-04-29,ATL,@,TEX,W,0.476
2022-04-30,ATL,@,TEX,L,0.455
2022-05-01,ATL,@,TEX,L,0.435
2022-05-02,ATL,@,NYM,W,0.458
2022-05-03,ATL,@,NYM,L,0.44
2022-05-03,ATL,@,NYM,L,0.423
2022-05-04,ATL,@,NYM,W,0.444
2022-05-06,ATL,Home,MIL,L,0.429
2022-05-07,ATL,Home,MIL,W,0.448
2022-05-08,ATL,Home,MIL,W,0.467
2022-05-10,ATL,Home,BOS,L,0.452
2022-05-11,ATL,Home,BOS,W-wo,0.469
2022-05-13,ATL,Home,SDP,L,0.455
2022-05-14,ATL,Home,SDP,W,0.471
2022-05-15,ATL,Home,SDP,L,0.457
2022-05-16,ATL,@,MIL,L,0.444
2022-05-17,ATL,@,MIL,W,0.459
2022-05-18,ATL,@,MIL,L-wo,0.447
2022-05-20,ATL,@,MIA,W,0.462
2022-05-21,ATL,@,MIA,W,0.475
2022-05-22,ATL,@,MIA,L,0.463
2022-05-23,ATL,Home,PHI,L,0.452
2022-05-24,ATL,Home,PHI,W-wo,0.465
2022-05-25,ATL,Home,PHI,W,0.477
2022-05-26,ATL,Home,PHI,L,0.467
2022-05-27,ATL,Home,MIA,W,0.478
2022-05-28,ATL,Home,MIA,L,0.468
2022-05-29,ATL,Home,MIA,W,0.479
2022-05-30,ATL,@,ARI,L,0.469
2022-05-31,ATL,@,ARI,L-wo,0.46
2022-06-01,ATL,@,ARI,W,0.471
2022-06-02,ATL,@,COL,W,0.481
2022-06-03,ATL,@,COL,W,0.491
2022-06-04,ATL,@,COL,W,0.5
2022-06-05,ATL,@,COL,W,0.509
2022-06-07,ATL,Home,OAK,W,0.518
2022-06-08,ATL,Home,OAK,W,0.526
2022-06-09,ATL,Home,PIT,W,0.534
2022-06-10,ATL,Home,PIT,W,0.542
2022-06-11,ATL,Home,PIT,W,0.55
2022-06-12,ATL,Home,PIT,W,0.557
2022-06-13,ATL,@,WSN,W,0.565
2022-06-14,ATL,@,WSN,W,0.571
2022-06-15,ATL,@,WSN,W,0.578
2022-06-17,ATL,@,CHC,L,0.569
2022-06-18,ATL,@,CHC,L,0.561
2022-06-19,ATL,@,CHC,W,0.567
2022-06-20,ATL,Home,SFG,W-wo,0.574
2022-06-21,ATL,Home,SFG,L,0.565
2022-06-22,ATL,Home,SFG,W-wo,0.571
2022-06-23,ATL,Home,SFG,W,0.577
2022-06-24,ATL,Home,LAD,L,0.569
2022-06-25,ATL,Home,LAD,W,0.575
2022-06-26,ATL,Home,LAD,L,0.568
2022-06-28,ATL,@,PHI,W,0.573
2022-06-29,ATL,@,PHI,W,0.579
2022-06-30,ATL,@,PHI,L,0.571
2022-07-01,ATL,@,CIN,W,0.577
2022-07-02,ATL,@,CIN,W,0.582
2022-07-03,ATL,@,CIN,L-wo,0.575
2022-07-04,ATL,Home,STL,W,0.58
2022-07-05,ATL,Home,STL,W,0.585
2022-07-06,ATL,Home,STL,W,0.59
2022-07-07,ATL,Home,STL,L,0.583
2022-07-08,ATL,Home,WSN,W,0.588
2022-07-09,ATL,Home,WSN,W,0.593
2022-07-10,ATL,Home,WSN,W-wo,0.598
2022-07-11,ATL,Home,NYM,L,0.591
2022-07-12,ATL,Home,NYM,W,0.596
2022-07-13,ATL,Home,NYM,L,0.589
2022-07-14,ATL,@,WSN,W,0.593
2022-07-15,ATL,@,WSN,W,0.598
2022-07-16,ATL,@,WSN,W,0.602
2022-07-17,ATL,@,WSN,L,0.596
2022-07-22,ATL,Home,LAA,W,0.6
2022-07-23,ATL,Home,LAA,W,0.604
2022-07-24,ATL,Home,LAA,L,0.598
2022-07-25,ATL,@,PHI,L,0.592
2022-07-26,ATL,@,PHI,W,0.596
2022-07-27,ATL,@,PHI,L,0.59
2022-07-29,ATL,Home,ARI,W,0.594
2022-07-30,ATL,Home,ARI,W,0.598
2022-07-31,ATL,Home,ARI,W-wo,0.602
2022-08-02,ATL,Home,PHI,W,0.606
2022-08-03,ATL,Home,PHI,L,0.6
2022-08-04,ATL,@,NYM,L,0.594
2022-08-05,ATL,@,NYM,W,0.598
2022-08-06,ATL,@,NYM,L,0.593
2022-08-06,ATL,@,NYM,L,0.587
2022-08-07,ATL,@,NYM,L,0.582
2022-08-09,ATL,@,BOS,W,0.586
2022-08-10,ATL,@,BOS,W,0.589
2022-08-12,ATL,@,MIA,W,0.593
2022-08-13,ATL,@,MIA,W,0.596
2022-08-13,ATL,@,MIA,W,0.6
2022-08-14,ATL,@,MIA,W,0.603
2022-08-15,ATL,Home,NYM,W,0.607
2022-08-16,ATL,Home,NYM,W,0.61
2022-08-17,ATL,Home,NYM,L,0.605
2022-08-18,ATL,Home,NYM,W,0.608
2022-08-19,ATL,Home,HOU,W,0.612
2022-08-20,ATL,Home,HOU,W-wo,0.615
2022-08-21,ATL,Home,HOU,L,0.61
2022-08-22,ATL,@,PIT,W,0.613
2022-08-23,ATL,@,PIT,W,0.616
2022-08-24,ATL,@,PIT,W,0.619
2022-08-26,ATL,@,STL,W,0.622
2022-08-27,ATL,@,STL,L-wo,0.617
2022-08-28,ATL,@,STL,L,0.612
2022-08-30,ATL,Home,COL,L,0.608
2022-08-31,ATL,Home,COL,W,0.611
2022-09-01,ATL,Home,COL,W,0.614
2022-09-02,ATL,Home,MIA,W,0.617
2022-09-03,ATL,Home,MIA,W-wo,0.619
2022-09-04,ATL,Home,MIA,W,0.622
2022-09-06,ATL,@,OAK,W,0.625
2022-09-07,ATL,@,OAK,W,0.628
2022-09-09,ATL,@,SEA,W,0.63
2022-09-10,ATL,@,SEA,L,0.626
2022-09-11,ATL,@,SEA,L-wo,0.621
2022-09-12,ATL,@,SFG,L,0.617
2022-09-13,ATL,@,SFG,W,0.62
2022-09-14,ATL,@,SFG,L,0.615
2022-09-16,ATL,Home,PHI,W,0.618
2022-09-17,ATL,Home,PHI,W,0.621
2022-09-18,ATL,Home,PHI,W,0.623
2022-09-19,ATL,Home,WSN,W,0.626
2022-09-20,ATL,Home,WSN,W,0.628
2022-09-21,ATL,Home,WSN,L,0.624
2022-09-22,ATL,@,PHI,L,0.62
2022-09-23,ATL,@,PHI,L,0.616
2022-09-24,ATL,@,PHI,W,0.618
2022-09-25,ATL,@,PHI,W,0.621
