date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-07,HOU,@,LAA,W,1.0
2022-04-08,HOU,@,LAA,W,1.0
2022-04-09,HOU,@,LAA,L,0.667
2022-04-10,HOU,@,LAA,W,0.75
2022-04-12,HOU,@,ARI,W,0.8
2022-04-13,HOU,@,ARI,L-wo,0.667
2022-04-15,HOU,@,SEA,L,0.571
2022-04-16,HOU,@,SEA,W,0.625
2022-04-17,HOU,@,SEA,L,0.556
2022-04-18,HOU,Home,LAA,W,0.6
2022-04-19,HOU,Home,LAA,L,0.545
2022-04-20,HOU,Home,LAA,L,0.5
2022-04-22,HOU,Home,TOR,L,0.462
2022-04-23,HOU,Home,TOR,L,0.429
2022-04-24,HOU,Home,TOR,W-wo,0.467
2022-04-25,HOU,@,TEX,L,0.438
2022-04-26,HOU,@,TEX,W,0.471
2022-04-27,HOU,@,TEX,W,0.5
2022-04-28,HOU,@,TEX,W,0.526
2022-04-29,HOU,@,TOR,W,0.55
2022-04-30,HOU,@,TOR,L,0.524
2022-05-01,HOU,@,TOR,L,0.5
2022-05-02,HOU,Home,SEA,W,0.522
2022-05-03,HOU,Home,SEA,W,0.542
2022-05-04,HOU,Home,SEA,W,0.56
2022-05-05,HOU,Home,DET,W-wo,0.577
2022-05-06,HOU,Home,DET,W,0.593
2022-05-07,HOU,Home,DET,W,0.607
2022-05-08,HOU,Home,DET,W,0.621
2022-05-10,HOU,@,MIN,W,0.633
2022-05-11,HOU,@,MIN,W,0.645
2022-05-12,HOU,@,MIN,W,0.656
2022-05-13,HOU,@,WSN,W,0.667
2022-05-14,HOU,@,WSN,L,0.647
2022-05-15,HOU,@,WSN,W,0.657
2022-05-16,HOU,@,BOS,L,0.639
2022-05-17,HOU,@,BOS,W,0.649
2022-05-18,HOU,@,BOS,L,0.632
2022-05-19,HOU,Home,TEX,W,0.641
2022-05-20,HOU,Home,TEX,L,0.625
2022-05-21,HOU,Home,TEX,W,0.634
2022-05-22,HOU,Home,TEX,W,0.643
2022-05-23,HOU,Home,CLE,L,0.628
2022-05-24,HOU,Home,CLE,W,0.636
2022-05-25,HOU,Home,CLE,W,0.644
2022-05-27,HOU,@,SEA,L,0.63
2022-05-28,HOU,@,SEA,L,0.617
2022-05-29,HOU,@,SEA,W,0.625
2022-05-30,HOU,@,OAK,W,0.633
2022-05-31,HOU,@,OAK,W,0.64
2022-06-01,HOU,@,OAK,W,0.647
2022-06-03,HOU,@,KCR,W,0.654
2022-06-04,HOU,@,KCR,L,0.642
2022-06-05,HOU,@,KCR,W,0.648
2022-06-06,HOU,Home,SEA,L,0.636
2022-06-07,HOU,Home,SEA,W,0.643
2022-06-08,HOU,Home,SEA,L,0.632
2022-06-10,HOU,Home,MIA,L,0.621
2022-06-11,HOU,Home,MIA,L,0.61
2022-06-12,HOU,Home,MIA,W,0.617
2022-06-13,HOU,@,TEX,L,0.607
2022-06-14,HOU,@,TEX,W,0.613
2022-06-15,HOU,@,TEX,W,0.619
2022-06-17,HOU,Home,CHW,W,0.625
2022-06-18,HOU,Home,CHW,L,0.615
2022-06-19,HOU,Home,CHW,W,0.621
2022-06-21,HOU,Home,NYM,W,0.627
2022-06-22,HOU,Home,NYM,W,0.632
2022-06-23,HOU,@,NYY,L-wo,0.623
2022-06-24,HOU,@,NYY,W,0.629
2022-06-25,HOU,@,NYY,W,0.634
2022-06-26,HOU,@,NYY,L-wo,0.625
2022-06-28,HOU,@,NYM,W,0.63
2022-06-29,HOU,@,NYM,W,0.635
2022-06-30,HOU,Home,NYY,W,0.64
2022-07-01,HOU,Home,LAA,W,0.645
2022-07-02,HOU,Home,LAA,W,0.649
2022-07-03,HOU,Home,LAA,W-wo,0.654
2022-07-04,HOU,Home,KCR,W-wo,0.658
2022-07-05,HOU,Home,KCR,W,0.662
2022-07-06,HOU,Home,KCR,L,0.654
2022-07-07,HOU,Home,KCR,W,0.659
2022-07-08,HOU,@,OAK,W,0.663
2022-07-09,HOU,@,OAK,L,0.655
2022-07-10,HOU,@,OAK,W,0.659
2022-07-12,HOU,@,LAA,W,0.663
2022-07-13,HOU,@,LAA,L,0.655
2022-07-14,HOU,@,LAA,W,0.659
2022-07-15,HOU,Home,OAK,L,0.652
2022-07-16,HOU,Home,OAK,W,0.656
2022-07-17,HOU,Home,OAK,L,0.648
2022-07-21,HOU,Home,NYY,W-wo,0.652
2022-07-21,HOU,Home,NYY,W,0.656
2022-07-22,HOU,@,SEA,W,0.66
2022-07-23,HOU,@,SEA,W,0.663
2022-07-24,HOU,@,SEA,W,0.667
2022-07-25,HOU,@,OAK,L,0.66
2022-07-26,HOU,@,OAK,L,0.653
2022-07-27,HOU,@,OAK,L,0.646
2022-07-28,HOU,Home,SEA,W,0.65
2022-07-29,HOU,Home,SEA,W,0.653
2022-07-30,HOU,Home,SEA,L,0.647
2022-07-31,HOU,Home,SEA,W-wo,0.65
2022-08-01,HOU,Home,BOS,L,0.644
2022-08-02,HOU,Home,BOS,L,0.638
2022-08-03,HOU,Home,BOS,W,0.642
2022-08-04,HOU,@,CLE,W,0.645
2022-08-05,HOU,@,CLE,W,0.648
2022-08-06,HOU,@,CLE,L,0.642
2022-08-07,HOU,@,CLE,L,0.636
2022-08-09,HOU,Home,TEX,W,0.64
2022-08-10,HOU,Home,TEX,L,0.634
2022-08-11,HOU,Home,TEX,W,0.637
2022-08-12,HOU,Home,OAK,W,0.64
2022-08-13,HOU,Home,OAK,W,0.643
2022-08-14,HOU,Home,OAK,W,0.647
2022-08-15,HOU,@,CHW,L,0.641
2022-08-16,HOU,@,CHW,L,0.636
2022-08-17,HOU,@,CHW,W,0.639
2022-08-18,HOU,@,CHW,W,0.642
2022-08-19,HOU,@,ATL,L,0.636
2022-08-20,HOU,@,ATL,L-wo,0.631
2022-08-21,HOU,@,ATL,W,0.634
2022-08-23,HOU,Home,MIN,W,0.637
2022-08-24,HOU,Home,MIN,W,0.64
2022-08-25,HOU,Home,MIN,W,0.643
2022-08-26,HOU,Home,BAL,L,0.638
2022-08-27,HOU,Home,BAL,L,0.633
2022-08-28,HOU,Home,BAL,W,0.636
2022-08-30,HOU,@,TEX,W,0.638
2022-08-31,HOU,@,TEX,W,0.641
2022-09-02,HOU,@,LAA,W,0.644
2022-09-03,HOU,@,LAA,L-wo,0.639
2022-09-04,HOU,@,LAA,W,0.642
2022-09-05,HOU,Home,TEX,W,0.644
2022-09-06,HOU,Home,TEX,L,0.64
2022-09-07,HOU,Home,TEX,W-wo,0.642
2022-09-09,HOU,Home,LAA,W,0.645
2022-09-10,HOU,Home,LAA,L,0.64
2022-09-11,HOU,Home,LAA,W,0.643
2022-09-12,HOU,@,DET,W,0.645
2022-09-13,HOU,@,DET,W,0.648
2022-09-14,HOU,@,DET,W,0.65
2022-09-15,HOU,Home,OAK,W,0.653
2022-09-16,HOU,Home,OAK,W,0.655
2022-09-17,HOU,Home,OAK,L,0.651
2022-09-18,HOU,Home,OAK,W,0.653
2022-09-19,HOU,@,TBR,W,0.655
2022-09-20,HOU,@,TBR,W,0.658
2022-09-21,HOU,@,TBR,W,0.66
2022-09-22,HOU,@,BAL,L,0.656
2022-09-23,HOU,@,BAL,L,0.651
2022-09-24,HOU,@,BAL,W,0.654
2022-09-25,HOU,@,BAL,W,0.656
2022-09-27,HOU,Home,ARI,W,0.658
2022-09-28,HOU,Home,ARI,L,0.654
2022-09-30,HOU,Home,TBR,L,0.65
2022-10-01,HOU,Home,TBR,W,0.652
2022-10-02,HOU,Home,TBR,W,0.654
2022-10-03,HOU,Home,PHI,L,0.65
2022-10-04,HOU,Home,PHI,W,0.652
2022-10-05,HOU,Home,PHI,W,0.654
