date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-07,KCR,Home,CLE,W,1.0
2022-04-09,KCR,Home,CLE,W-wo,1.0
2022-04-10,KCR,Home,CLE,L,0.667
2022-04-11,KCR,Home,CLE,L,0.5
2022-04-12,KCR,@,STL,L,0.4
2022-04-14,KCR,Home,DET,L,0.333
2022-04-15,KCR,Home,DET,L,0.286
2022-04-16,KCR,Home,DET,W,0.375
2022-04-19,KCR,Home,MIN,W,0.444
2022-04-20,KCR,Home,MIN,W,0.5
2022-04-21,KCR,Home,MIN,L,0.455
2022-04-22,KCR,@,SEA,L,0.417
2022-04-23,KCR,@,SEA,L,0.385
2022-04-24,KCR,@,SEA,L-wo,0.357
2022-04-26,KCR,@,CHW,W,0.4
2022-04-27,KCR,@,CHW,L,0.375
2022-04-28,KCR,@,CHW,W,0.412
2022-04-29,KCR,Home,NYY,L,0.389
2022-04-30,KCR,Home,NYY,L,0.368
2022-05-01,KCR,Home,NYY,L,0.35
2022-05-02,KCR,@,STL,L,0.333
2022-05-03,KCR,Home,STL,W,0.364
2022-05-04,KCR,Home,STL,L,0.348
2022-05-08,KCR,@,BAL,W,0.375
2022-05-08,KCR,@,BAL,L,0.36
2022-05-09,KCR,@,BAL,L,0.346
2022-05-10,KCR,@,TEX,L,0.333
2022-05-11,KCR,@,TEX,W,0.357
2022-05-12,KCR,@,TEX,L,0.345
2022-05-13,KCR,@,COL,W,0.367
2022-05-14,KCR,@,COL,L,0.355
2022-05-15,KCR,@,COL,W,0.375
2022-05-16,KCR,Home,CHW,L,0.364
2022-05-17,KCR,Home,CHW,L,0.353
2022-05-17,KCR,Home,CHW,W,0.371
2022-05-18,KCR,Home,CHW,W,0.389
2022-05-19,KCR,Home,CHW,L,0.378
2022-05-20,KCR,Home,MIN,L,0.368
2022-05-21,KCR,Home,MIN,L,0.359
2022-05-22,KCR,Home,MIN,L,0.35
2022-05-23,KCR,@,ARI,L,0.341
2022-05-24,KCR,@,ARI,L,0.333
2022-05-26,KCR,@,MIN,W,0.349
2022-05-27,KCR,@,MIN,L,0.341
2022-05-28,KCR,@,MIN,W,0.356
2022-05-29,KCR,@,MIN,L,0.348
2022-05-30,KCR,@,CLE,L,0.34
2022-05-31,KCR,@,CLE,L,0.333
2022-06-01,KCR,@,CLE,L,0.327
2022-06-03,KCR,Home,HOU,L,0.32
2022-06-04,KCR,Home,HOU,W,0.333
2022-06-05,KCR,Home,HOU,L,0.327
2022-06-06,KCR,Home,TOR,L,0.321
2022-06-07,KCR,Home,TOR,L,0.315
2022-06-08,KCR,Home,TOR,W,0.327
2022-06-09,KCR,Home,BAL,W,0.339
2022-06-10,KCR,Home,BAL,W,0.351
2022-06-11,KCR,Home,BAL,L,0.345
2022-06-12,KCR,Home,BAL,L,0.339
2022-06-13,KCR,@,SFG,L,0.333
2022-06-14,KCR,@,SFG,L,0.328
2022-06-15,KCR,@,SFG,W,0.339
2022-06-17,KCR,@,OAK,W,0.349
2022-06-18,KCR,@,OAK,W,0.359
2022-06-19,KCR,@,OAK,L,0.354
2022-06-20,KCR,@,LAA,W,0.364
2022-06-21,KCR,@,LAA,W,0.373
2022-06-22,KCR,@,LAA,L,0.368
2022-06-24,KCR,Home,OAK,W,0.377
2022-06-25,KCR,Home,OAK,L,0.371
2022-06-26,KCR,Home,OAK,L,0.366
2022-06-27,KCR,Home,TEX,L,0.361
2022-06-28,KCR,Home,TEX,L,0.356
2022-06-29,KCR,Home,TEX,W,0.365
2022-07-01,KCR,@,DET,W,0.373
2022-07-02,KCR,@,DET,L-wo,0.368
2022-07-03,KCR,@,DET,W,0.377
2022-07-04,KCR,@,HOU,L-wo,0.372
2022-07-05,KCR,@,HOU,L,0.367
2022-07-06,KCR,@,HOU,W,0.375
2022-07-07,KCR,@,HOU,L,0.37
2022-07-08,KCR,Home,CLE,W-wo,0.378
2022-07-09,KCR,Home,CLE,L,0.373
2022-07-10,KCR,Home,CLE,W,0.381
2022-07-11,KCR,Home,DET,W,0.388
2022-07-11,KCR,Home,DET,W,0.395
2022-07-12,KCR,Home,DET,L,0.391
2022-07-13,KCR,Home,DET,W,0.398
2022-07-14,KCR,@,TOR,W,0.404
2022-07-15,KCR,@,TOR,L,0.4
2022-07-16,KCR,@,TOR,L-wo,0.396
2022-07-17,KCR,@,TOR,L,0.391
2022-07-22,KCR,Home,TBR,L,0.387
2022-07-23,KCR,Home,TBR,W,0.394
2022-07-24,KCR,Home,TBR,W,0.4
2022-07-25,KCR,Home,LAA,W,0.406
2022-07-26,KCR,Home,LAA,L,0.402
2022-07-27,KCR,Home,LAA,L,0.398
2022-07-28,KCR,@,NYY,L-wo,0.394
2022-07-29,KCR,@,NYY,L,0.39
2022-07-30,KCR,@,NYY,L,0.386
2022-07-31,KCR,@,NYY,W,0.392
2022-08-01,KCR,@,CHW,W,0.398
2022-08-02,KCR,@,CHW,L,0.394
2022-08-03,KCR,@,CHW,L,0.39
2022-08-04,KCR,Home,BOS,W,0.396
2022-08-05,KCR,Home,BOS,L,0.393
2022-08-06,KCR,Home,BOS,W-wo,0.398
2022-08-07,KCR,Home,BOS,W,0.404
2022-08-09,KCR,Home,CHW,W,0.409
2022-08-09,KCR,Home,CHW,L,0.405
2022-08-10,KCR,Home,CHW,W,0.411
2022-08-11,KCR,Home,CHW,W,0.416
2022-08-12,KCR,Home,LAD,L,0.412
2022-08-13,KCR,Home,LAD,L,0.409
2022-08-14,KCR,Home,LAD,W,0.414
2022-08-15,KCR,@,MIN,L,0.41
2022-08-16,KCR,@,MIN,L,0.407
2022-08-17,KCR,@,MIN,L,0.403
2022-08-18,KCR,@,TBR,L,0.4
2022-08-19,KCR,@,TBR,W,0.405
2022-08-20,KCR,@,TBR,L,0.402
2022-08-21,KCR,@,TBR,L,0.398
2022-08-22,KCR,Home,CHW,W,0.403
2022-08-23,KCR,Home,ARI,L,0.4
2022-08-24,KCR,Home,ARI,W,0.405
2022-08-26,KCR,Home,SDP,L,0.402
2022-08-27,KCR,Home,SDP,L,0.398
2022-08-28,KCR,Home,SDP,W,0.403
2022-08-30,KCR,@,CHW,W,0.408
2022-08-31,KCR,@,CHW,L,0.405
2022-09-01,KCR,@,CHW,L,0.402
2022-09-02,KCR,@,DET,L,0.398
2022-09-03,KCR,@,DET,W,0.403
2022-09-04,KCR,@,DET,W,0.407
2022-09-05,KCR,Home,CLE,L,0.404
2022-09-06,KCR,Home,CLE,L,0.401
2022-09-07,KCR,Home,CLE,W-wo,0.406
2022-09-09,KCR,Home,DET,L,0.403
