date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-07,NYM,@,WSN,W,1.0
2022-04-08,NYM,@,WSN,W,1.0
2022-04-09,NYM,@,WSN,W,1.0
2022-04-10,NYM,@,WSN,L,0.75
2022-04-11,NYM,@,PHI,L,0.6
2022-04-12,NYM,@,PHI,W,0.667
2022-04-13,NYM,@,PHI,W,0.714
2022-04-15,NYM,Home,ARI,W,0.75
2022-04-16,NYM,Home,ARI,L,0.667
2022-04-17,NYM,Home,ARI,W,0.7
2022-04-19,NYM,Home,SFG,W-wo,0.727
2022-04-19,NYM,Home,SFG,W,0.75
2022-04-20,NYM,Home,SFG,L,0.692
2022-04-21,NYM,Home,SFG,W,0.714
2022-04-22,NYM,@,ARI,W,0.733
2022-04-23,NYM,@,ARI,L,0.688
2022-04-24,NYM,@,ARI,W,0.706
2022-04-25,NYM,@,STL,W,0.722
2022-04-26,NYM,@,STL,W,0.737
2022-04-27,NYM,@,STL,L,0.7
2022-04-29,NYM,Home,PHI,W,0.714
2022-04-30,NYM,Home,PHI,L,0.682
2022-05-01,NYM,Home,PHI,W,0.696
2022-05-02,NYM,Home,ATL,L,0.667
2022-05-03,NYM,Home,ATL,W,0.68
2022-05-03,NYM,Home,ATL,W,0.692
2022-05-04,NYM,Home,ATL,L,0.667
2022-05-05,NYM,@,PHI,W,0.679
2022-05-08,NYM,@,PHI,L,0.655
2022-05-08,NYM,@,PHI,W,0.667
2022-05-10,NYM,@,WSN,W,0.677
2022-05-11,NYM,@,WSN,L,0.656
2022-05-12,NYM,@,WSN,W,0.667
2022-05-13,NYM,Home,SEA,L,0.647
2022-05-14,NYM,Home,SEA,W,0.657
2022-05-15,NYM,Home,SEA,L,0.639
2022-05-17,NYM,Home,STL,W,0.649
2022-05-17,NYM,Home,STL,L,0.632
2022-05-18,NYM,Home,STL,W,0.641
2022-05-19,NYM,Home,STL,W-wo,0.65
2022-05-21,NYM,@,COL,W,0.659
2022-05-21,NYM,@,COL,L,0.643
2022-05-22,NYM,@,COL,W,0.651
2022-05-23,NYM,@,SFG,W,0.659
2022-05-24,NYM,@,SFG,L-wo,0.644
2022-05-25,NYM,@,SFG,L,0.63
2022-05-27,NYM,Home,PHI,W,0.638
2022-05-28,NYM,Home,PHI,W,0.646
2022-05-29,NYM,Home,PHI,W-wo,0.653
2022-05-30,NYM,Home,WSN,W,0.66
2022-05-31,NYM,Home,WSN,W,0.667
2022-06-01,NYM,Home,WSN,W,0.673
2022-06-02,NYM,@,LAD,L,0.66
2022-06-03,NYM,@,LAD,L,0.648
2022-06-04,NYM,@,LAD,W,0.655
2022-06-05,NYM,@,LAD,W,0.661
2022-06-06,NYM,@,SDP,W,0.667
2022-06-07,NYM,@,SDP,L,0.655
2022-06-08,NYM,@,SDP,L,0.644
2022-06-10,NYM,@,LAA,W,0.65
2022-06-11,NYM,@,LAA,L,0.639
2022-06-12,NYM,@,LAA,W,0.645
2022-06-14,NYM,Home,MIL,W,0.651
2022-06-15,NYM,Home,MIL,L,0.641
2022-06-16,NYM,Home,MIL,W,0.646
2022-06-17,NYM,Home,MIA,W,0.652
2022-06-18,NYM,Home,MIA,W,0.657
2022-06-19,NYM,Home,MIA,L,0.647
2022-06-20,NYM,Home,MIA,W,0.652
2022-06-21,NYM,@,HOU,L,0.643
2022-06-22,NYM,@,HOU,L,0.634
2022-06-24,NYM,@,MIA,W,0.639
2022-06-25,NYM,@,MIA,W,0.644
2022-06-26,NYM,@,MIA,L-wo,0.635
2022-06-28,NYM,Home,HOU,L,0.627
2022-06-29,NYM,Home,HOU,L,0.618
2022-07-01,NYM,Home,TEX,W,0.623
2022-07-02,NYM,Home,TEX,L,0.615
2022-07-03,NYM,Home,TEX,W,0.62
2022-07-04,NYM,@,CIN,W,0.625
2022-07-05,NYM,@,CIN,L-wo,0.617
2022-07-06,NYM,@,CIN,W,0.622
2022-07-07,NYM,Home,MIA,W,0.627
2022-07-08,NYM,Home,MIA,L,0.619
2022-07-09,NYM,Home,MIA,W-wo,0.624
2022-07-10,NYM,Home,MIA,L,0.616
2022-07-11,NYM,@,ATL,W,0.621
2022-07-12,NYM,@,ATL,L,0.614
2022-07-13,NYM,@,ATL,W,0.618
2022-07-14,NYM,@,CHC,W,0.622
2022-07-16,NYM,@,CHC,W,0.626
2022-07-16,NYM,@,CHC,W,0.63
2022-07-17,NYM,@,CHC,L,0.624
2022-07-22,NYM,Home,SDP,L,0.617
2022-07-23,NYM,Home,SDP,L,0.611
2022-07-24,NYM,Home,SDP,W,0.615
2022-07-26,NYM,Home,NYY,W,0.619
2022-07-27,NYM,Home,NYY,W-wo,0.622
2022-07-29,NYM,@,MIA,W,0.626
2022-07-30,NYM,@,MIA,W,0.63
2022-07-31,NYM,@,MIA,W,0.634
2022-08-01,NYM,@,WSN,W,0.637
2022-08-02,NYM,@,WSN,L,0.631
2022-08-03,NYM,@,WSN,W,0.635
2022-08-04,NYM,Home,ATL,W,0.638
2022-08-05,NYM,Home,ATL,L,0.632
2022-08-06,NYM,Home,ATL,W,0.636
2022-08-06,NYM,Home,ATL,W,0.639
2022-08-07,NYM,Home,ATL,W,0.642
2022-08-08,NYM,Home,CIN,W,0.645
2022-08-09,NYM,Home,CIN,W,0.649
2022-08-10,NYM,Home,CIN,W,0.652
2022-08-12,NYM,Home,PHI,L,0.646
2022-08-13,NYM,Home,PHI,W,0.649
2022-08-14,NYM,Home,PHI,W,0.652
2022-08-15,NYM,@,ATL,L,0.647
2022-08-16,NYM,@,ATL,L,0.641
2022-08-17,NYM,@,ATL,W,0.644
2022-08-18,NYM,@,ATL,L,0.639
2022-08-19,NYM,@,PHI,W,0.642
2022-08-20,NYM,@,PHI,W,0.645
2022-08-20,NYM,@,PHI,L,0.639
2022-08-21,NYM,@,PHI,W,0.642
2022-08-22,NYM,@,NYY,L,0.637
2022-08-23,NYM,@,NYY,L,0.632
2022-08-25,NYM,Home,COL,W,0.635
2022-08-26,NYM,Home,COL,W-wo,0.638
2022-08-27,NYM,Home,COL,W,0.641
2022-08-28,NYM,Home,COL,L,0.636
2022-08-30,NYM,Home,LAD,L,0.631
2022-08-31,NYM,Home,LAD,W,0.634
2022-09-01,NYM,Home,LAD,W,0.636
2022-09-02,NYM,Home,WSN,W,0.639
2022-09-03,NYM,Home,WSN,L,0.634
2022-09-04,NYM,Home,WSN,L,0.63
2022-09-06,NYM,@,PIT,L,0.625
2022-09-07,NYM,@,PIT,W,0.628
2022-09-07,NYM,@,PIT,W,0.63
2022-09-09,NYM,@,MIA,L,0.626
2022-09-10,NYM,@,MIA,W,0.629
2022-09-11,NYM,@,MIA,W,0.631
2022-09-12,NYM,Home,CHC,L,0.627
2022-09-13,NYM,Home,CHC,L,0.622
2022-09-14,NYM,Home,CHC,L,0.618
2022-09-15,NYM,Home,PIT,W,0.621
2022-09-16,NYM,Home,PIT,W,0.623
2022-09-17,NYM,Home,PIT,W,0.626
2022-09-18,NYM,Home,PIT,W,0.628
2022-09-19,NYM,@,MIL,W,0.631
2022-09-20,NYM,@,MIL,W,0.633
2022-09-21,NYM,@,MIL,L,0.629
2022-09-23,NYM,@,OAK,W,0.632
2022-09-24,NYM,@,OAK,L,0.627
2022-09-25,NYM,@,OAK,W,0.63
2022-09-27,NYM,Home,MIA,L,0.626
2022-09-28,NYM,Home,MIA,W-wo,0.628
2022-09-30,NYM,@,ATL,L,0.624
2022-10-01,NYM,@,ATL,L,0.62
2022-10-02,NYM,@,ATL,L,0.616
2022-10-04,NYM,Home,WSN,W,0.619
2022-10-04,NYM,Home,WSN,W,0.621
2022-10-05,NYM,Home,WSN,W,0.623
