date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-08,PHI,Home,OAK,W,1.0
2022-04-09,PHI,Home,OAK,W,1.0
2022-04-10,PHI,Home,OAK,L,0.667
2022-04-11,PHI,Home,NYM,W,0.75
2022-04-12,PHI,Home,NYM,L,0.6
2022-04-13,PHI,Home,NYM,L,0.5
2022-04-14,PHI,@,MIA,L,0.429
2022-04-15,PHI,@,MIA,L,0.375
2022-04-16,PHI,@,MIA,W,0.444
2022-04-17,PHI,@,MIA,L,0.4
2022-04-18,PHI,@,COL,L,0.364
2022-04-19,PHI,@,COL,L,0.333
2022-04-20,PHI,@,COL,W,0.385
2022-04-22,PHI,Home,MIL,W,0.429
2022-04-23,PHI,Home,MIL,L,0.4
2022-04-24,PHI,Home,MIL,L,0.375
2022-04-25,PHI,Home,COL,W,0.412
2022-04-26,PHI,Home,COL,W,0.444
2022-04-27,PHI,Home,COL,W,0.474
2022-04-28,PHI,Home,COL,W,0.5
2022-04-29,PHI,@,NYM,L,0.476
2022-04-30,PHI,@,NYM,W,0.5
2022-05-01,PHI,@,NYM,L,0.478
2022-05-03,PHI,Home,TEX,L,0.458
2022-05-04,PHI,Home,TEX,L,0.44
2022-05-05,PHI,Home,NYM,L,0.423
2022-05-08,PHI,Home,NYM,W,0.444
2022-05-08,PHI,Home,NYM,L,0.429
2022-05-09,PHI,@,SEA,W,0.448
2022-05-10,PHI,@,SEA,L,0.433
2022-05-11,PHI,@,SEA,W,0.452
2022-05-12,PHI,@,LAD,W,0.469
2022-05-13,PHI,@,LAD,W,0.485
2022-05-14,PHI,@,LAD,W,0.5
2022-05-15,PHI,@,LAD,L-wo,0.486
2022-05-17,PHI,Home,SDP,L,0.472
2022-05-18,PHI,Home,SDP,W,0.486
2022-05-19,PHI,Home,SDP,L,0.474
2022-05-20,PHI,Home,LAD,L,0.462
2022-05-21,PHI,Home,LAD,L,0.45
2022-05-22,PHI,Home,LAD,W-wo,0.463
2022-05-23,PHI,@,ATL,W,0.476
2022-05-24,PHI,@,ATL,L-wo,0.465
2022-05-25,PHI,@,ATL,L,0.455
2022-05-26,PHI,@,ATL,W,0.467
2022-05-27,PHI,@,NYM,L,0.457
2022-05-28,PHI,@,NYM,L,0.447
2022-05-29,PHI,@,NYM,L-wo,0.438
2022-05-30,PHI,Home,SFG,L,0.429
2022-05-31,PHI,Home,SFG,L,0.42
2022-06-01,PHI,Home,SFG,W,0.431
2022-06-03,PHI,Home,LAA,W,0.442
2022-06-04,PHI,Home,LAA,W,0.453
