date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-07,STL,Home,PIT,W,1.0
2022-04-09,STL,Home,PIT,W,1.0
2022-04-10,STL,Home,PIT,L,0.667
2022-04-12,STL,Home,KCR,W,0.75
2022-04-14,STL,@,MIL,L,0.6
2022-04-15,STL,@,MIL,W,0.667
2022-04-16,STL,@,MIL,W,0.714
2022-04-17,STL,@,MIL,L,0.625
2022-04-19,STL,@,MIA,W,0.667
2022-04-20,STL,@,MIA,W,0.7
2022-04-21,STL,@,MIA,L,0.636
2022-04-22,STL,@,CIN,W,0.667
2022-04-23,STL,@,CIN,W,0.692
2022-04-24,STL,@,CIN,L,0.643
2022-04-25,STL,Home,NYM,L,0.6
2022-04-26,STL,Home,NYM,L,0.562
2022-04-27,STL,Home,NYM,W,0.588
2022-04-28,STL,Home,ARI,W,0.611
2022-04-29,STL,Home,ARI,L,0.579
2022-04-30,STL,Home,ARI,L,0.55
2022-05-01,STL,Home,ARI,W,0.571
2022-05-02,STL,Home,KCR,W,0.591
2022-05-03,STL,@,KCR,L,0.565
2022-05-04,STL,@,KCR,W,0.583
2022-05-05,STL,@,SFG,W,0.6
2022-05-06,STL,@,SFG,W,0.615
2022-05-07,STL,@,SFG,L,0.593
2022-05-08,STL,@,SFG,L,0.571
2022-05-10,STL,Home,BAL,L,0.552
2022-05-11,STL,Home,BAL,W,0.567
2022-05-12,STL,Home,BAL,L,0.548
2022-05-13,STL,Home,SFG,L,0.531
2022-05-14,STL,Home,SFG,W,0.545
2022-05-15,STL,Home,SFG,W,0.559
2022-05-17,STL,@,NYM,L,0.543
2022-05-17,STL,@,NYM,W,0.556
2022-05-18,STL,@,NYM,L,0.541
2022-05-19,STL,@,NYM,L-wo,0.526
2022-05-20,STL,@,PIT,W,0.538
2022-05-21,STL,@,PIT,W,0.55
2022-05-22,STL,@,PIT,W,0.561
2022-05-23,STL,Home,TOR,W-wo,0.571
2022-05-24,STL,Home,TOR,L,0.558
2022-05-26,STL,Home,MIL,L,0.545
2022-05-27,STL,Home,MIL,W,0.556
2022-05-28,STL,Home,MIL,W,0.565
2022-05-29,STL,Home,MIL,L,0.553
2022-05-30,STL,Home,SDP,W,0.562
2022-05-31,STL,Home,SDP,W-wo,0.571
2022-06-01,STL,Home,SDP,W,0.58
2022-06-02,STL,@,CHC,L,0.569
2022-06-03,STL,@,CHC,W,0.577
2022-06-04,STL,@,CHC,L,0.566
2022-06-04,STL,@,CHC,W,0.574
2022-06-05,STL,@,CHC,W,0.582
2022-06-07,STL,@,TBR,L-wo,0.571
2022-06-08,STL,@,TBR,L,0.561
2022-06-09,STL,@,TBR,L,0.552
2022-06-10,STL,Home,CIN,W,0.559
2022-06-11,STL,Home,CIN,W-wo,0.567
2022-06-12,STL,Home,CIN,L,0.557
2022-06-13,STL,Home,PIT,W,0.565
2022-06-14,STL,Home,PIT,W,0.571
2022-06-14,STL,Home,PIT,W,0.578
2022-06-15,STL,Home,PIT,L,0.569
2022-06-17,STL,@,BOS,L,0.561
2022-06-18,STL,@,BOS,W,0.567
2022-06-19,STL,@,BOS,L,0.559
2022-06-20,STL,@,MIL,L,0.551
2022-06-21,STL,@,MIL,W,0.557
2022-06-22,STL,@,MIL,W,0.563
2022-06-23,STL,@,MIL,L,0.556
2022-06-24,STL,Home,CHC,L,0.548
2022-06-25,STL,Home,CHC,W,0.554
2022-06-26,STL,Home,CHC,L,0.547
2022-06-27,STL,Home,MIA,W,0.553
2022-06-28,STL,Home,MIA,W,0.558
2022-06-29,STL,Home,MIA,L,0.551
2022-07-01,STL,@,PHI,L,0.544
2022-07-02,STL,@,PHI,W,0.55
2022-07-03,STL,@,PHI,L,0.543
2022-07-04,STL,@,ATL,L,0.537
2022-07-05,STL,@,ATL,L,0.53
2022-07-06,STL,@,ATL,L,0.524
2022-07-07,STL,@,ATL,W,0.529
2022-07-08,STL,Home,PHI,L,0.523
2022-07-09,STL,Home,PHI,L,0.517
2022-07-10,STL,Home,PHI,W,0.523
2022-07-11,STL,Home,PHI,W,0.528
2022-07-12,STL,Home,LAD,W,0.533
2022-07-13,STL,Home,LAD,L,0.527
2022-07-14,STL,Home,LAD,L,0.522
2022-07-15,STL,Home,CIN,W,0.527
2022-07-16,STL,Home,CIN,W,0.532
