date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-08,TBR,Home,BAL,W,1.0
2022-04-09,TBR,Home,BAL,W,1.0
2022-04-10,TBR,Home,BAL,W,1.0
2022-04-11,TBR,Home,OAK,L,0.75
2022-04-12,TBR,Home,OAK,W-wo,0.8
2022-04-13,TBR,Home,OAK,L,0.667
2022-04-14,TBR,Home,OAK,L,0.571
2022-04-15,TBR,@,CHW,L,0.5
2022-04-16,TBR,@,CHW,L,0.444
2022-04-17,TBR,@,CHW,W,0.5
2022-04-18,TBR,@,CHC,L,0.455
2022-04-19,TBR,@,CHC,W,0.5
2022-04-20,TBR,@,CHC,W,0.538
2022-04-22,TBR,Home,BOS,L,0.5
2022-04-23,TBR,Home,BOS,W-wo,0.533
2022-04-24,TBR,Home,BOS,W,0.562
2022-04-26,TBR,Home,SEA,L,0.529
2022-04-27,TBR,Home,SEA,W,0.556
2022-04-28,TBR,Home,SEA,W,0.579
2022-04-29,TBR,Home,MIN,W,0.6
2022-04-30,TBR,Home,MIN,L,0.571
2022-05-01,TBR,Home,MIN,L,0.545
2022-05-02,TBR,@,OAK,W,0.565
2022-05-03,TBR,@,OAK,W,0.583
2022-05-04,TBR,@,OAK,W,0.6
2022-05-05,TBR,@,SEA,W,0.615
2022-05-06,TBR,@,SEA,W,0.63
2022-05-07,TBR,@,SEA,W,0.643
2022-05-08,TBR,@,SEA,L-wo,0.621
2022-05-09,TBR,@,LAA,L,0.6
2022-05-10,TBR,@,LAA,L,0.581
2022-05-11,TBR,@,LAA,W,0.594
2022-05-13,TBR,Home,TOR,W,0.606
2022-05-14,TBR,Home,TOR,L,0.588
2022-05-15,TBR,Home,TOR,W,0.6
2022-05-16,TBR,Home,DET,L,0.583
2022-05-17,TBR,Home,DET,W,0.595
2022-05-18,TBR,Home,DET,W,0.605
2022-05-20,TBR,@,BAL,L-wo,0.59
2022-05-21,TBR,@,BAL,W,0.6
2022-05-22,TBR,@,BAL,L-wo,0.585
2022-05-24,TBR,Home,MIA,W,0.595
2022-05-25,TBR,Home,MIA,W,0.605
2022-05-26,TBR,Home,NYY,L,0.591
2022-05-27,TBR,Home,NYY,L,0.578
2022-05-28,TBR,Home,NYY,W,0.587
2022-05-29,TBR,Home,NYY,W,0.596
2022-05-30,TBR,@,TEX,L,0.583
2022-05-31,TBR,@,TEX,L,0.571
2022-06-01,TBR,@,TEX,W,0.58
2022-06-02,TBR,@,TEX,W,0.588
2022-06-03,TBR,Home,CHW,W,0.596
2022-06-04,TBR,Home,CHW,L,0.585
2022-06-05,TBR,Home,CHW,L,0.574
2022-06-07,TBR,Home,STL,W-wo,0.582
2022-06-08,TBR,Home,STL,W,0.589
2022-06-09,TBR,Home,STL,W,0.596
2022-06-10,TBR,@,MIN,L,0.586
2022-06-11,TBR,@,MIN,L,0.576
2022-06-12,TBR,@,MIN,W,0.583
2022-06-14,TBR,@,NYY,L,0.574
2022-06-15,TBR,@,NYY,L,0.565
2022-06-16,TBR,@,NYY,L-wo,0.556
2022-06-17,TBR,@,BAL,L,0.547
2022-06-18,TBR,@,BAL,W,0.554
2022-06-19,TBR,@,BAL,L,0.545
2022-06-20,TBR,Home,NYY,L,0.537
2022-06-21,TBR,Home,NYY,W,0.544
2022-06-22,TBR,Home,NYY,L,0.536
2022-06-24,TBR,Home,PIT,W-wo,0.543
2022-06-25,TBR,Home,PIT,W-wo,0.549
2022-06-26,TBR,Home,PIT,W,0.556
2022-06-28,TBR,Home,MIL,L,0.548
2022-06-29,TBR,Home,MIL,L,0.541
2022-06-30,TBR,@,TOR,L,0.533
2022-07-01,TBR,@,TOR,L,0.526
2022-07-02,TBR,@,TOR,W,0.532
2022-07-02,TBR,@,TOR,W,0.538
2022-07-03,TBR,@,TOR,W,0.544
2022-07-04,TBR,@,BOS,L,0.538
2022-07-05,TBR,@,BOS,W,0.543
2022-07-06,TBR,@,BOS,W,0.549
2022-07-08,TBR,@,CIN,L-wo,0.542
2022-07-09,TBR,@,CIN,L-wo,0.536
2022-07-10,TBR,@,CIN,L,0.529
2022-07-11,TBR,Home,BOS,W,0.535
2022-07-12,TBR,Home,BOS,W,0.54
2022-07-13,TBR,Home,BOS,W,0.545
2022-07-14,TBR,Home,BOS,W,0.551
2022-07-15,TBR,Home,BAL,W,0.556
2022-07-16,TBR,Home,BAL,L,0.549
2022-07-17,TBR,Home,BAL,W,0.554
2022-07-22,TBR,@,KCR,W,0.559
2022-07-23,TBR,@,KCR,L,0.553
2022-07-24,TBR,@,KCR,L,0.547
2022-07-25,TBR,@,BAL,L,0.542
2022-07-26,TBR,@,BAL,L,0.536
2022-07-27,TBR,@,BAL,W,0.541
2022-07-28,TBR,@,BAL,L,0.535
2022-07-29,TBR,Home,CLE,L,0.53
2022-07-30,TBR,Home,CLE,W,0.535
2022-07-31,TBR,Home,CLE,L,0.529
2022-08-02,TBR,Home,TOR,L,0.524
2022-08-03,TBR,Home,TOR,W,0.529
2022-08-04,TBR,@,DET,W,0.533
2022-08-05,TBR,@,DET,W,0.538
2022-08-06,TBR,@,DET,L,0.533
2022-08-07,TBR,@,DET,W,0.537
2022-08-09,TBR,@,MIL,L,0.532
2022-08-10,TBR,@,MIL,L-wo,0.527
2022-08-12,TBR,Home,BAL,L,0.523
2022-08-13,TBR,Home,BAL,W,0.527
2022-08-14,TBR,Home,BAL,W,0.531
2022-08-15,TBR,@,NYY,W,0.535
2022-08-16,TBR,@,NYY,W,0.539
2022-08-17,TBR,@,NYY,L-wo,0.534
2022-08-18,TBR,Home,KCR,W,0.538
2022-08-19,TBR,Home,KCR,L,0.534
2022-08-20,TBR,Home,KCR,W,0.538
2022-08-21,TBR,Home,KCR,W,0.542
2022-08-22,TBR,Home,LAA,W,0.545
2022-08-23,TBR,Home,LAA,W,0.549
2022-08-24,TBR,Home,LAA,W-wo,0.553
2022-08-25,TBR,Home,LAA,W,0.556
2022-08-26,TBR,@,BOS,L,0.552
2022-08-27,TBR,@,BOS,L,0.548
2022-08-28,TBR,@,BOS,W,0.551
2022-08-30,TBR,@,MIA,W,0.555
2022-08-31,TBR,@,MIA,W,0.558
2022-09-02,TBR,Home,NYY,W,0.562
2022-09-03,TBR,Home,NYY,W,0.565
2022-09-04,TBR,Home,NYY,L,0.561
2022-09-05,TBR,Home,BOS,W,0.564
2022-09-06,TBR,Home,BOS,W,0.567
2022-09-07,TBR,Home,BOS,W,0.57
2022-09-09,TBR,@,NYY,W,0.574
2022-09-10,TBR,@,NYY,L,0.569
2022-09-11,TBR,@,NYY,L,0.565
2022-09-12,TBR,@,TOR,L,0.561
2022-09-13,TBR,@,TOR,W,0.564
2022-09-13,TBR,@,TOR,L,0.56
2022-09-14,TBR,@,TOR,L,0.556
2022-09-15,TBR,@,TOR,W,0.559
2022-09-16,TBR,Home,TEX,L,0.556
2022-09-17,TBR,Home,TEX,W,0.559
2022-09-18,TBR,Home,TEX,W,0.562
2022-09-19,TBR,Home,HOU,L,0.558
2022-09-20,TBR,Home,HOU,L,0.554
2022-09-21,TBR,Home,HOU,L,0.55
2022-09-22,TBR,Home,TOR,W,0.553
2022-09-23,TBR,Home,TOR,W,0.556
2022-09-24,TBR,Home,TOR,L,0.553
2022-09-25,TBR,Home,TOR,L,0.549
2022-09-27,TBR,@,CLE,W,0.552
2022-09-28,TBR,@,CLE,L-wo,0.548
2022-09-29,TBR,@,CLE,L,0.545
2022-09-30,TBR,@,HOU,W,0.548
2022-10-01,TBR,@,HOU,L,0.544
2022-10-02,TBR,@,HOU,L,0.541
2022-10-03,TBR,@,BOS,L,0.538
2022-10-04,TBR,@,BOS,L,0.534
2022-10-05,TBR,@,BOS,L,0.531
