date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,BOS,Home,BAL,L,0.0
2023-04-01,BOS,Home,BAL,W-wo,0.5
2023-04-02,BOS,Home,BAL,W,0.667
2023-04-03,BOS,Home,PIT,L,0.5
2023-04-04,BOS,Home,PIT,L,0.4
2023-04-05,BOS,Home,PIT,L,0.333
2023-04-06,BOS,@,DET,W,0.429
2023-04-08,BOS,@,DET,W,0.5
2023-04-09,BOS,@,DET,W,0.556
2023-04-10,BOS,@,TBR,L,0.5
2023-04-11,BOS,@,TBR,L,0.455
2023-04-12,BOS,@,TBR,L,0.417
2023-04-13,BOS,@,TBR,L,0.385
2023-04-14,BOS,Home,LAA,W,0.429
2023-04-15,BOS,Home,LAA,W,0.467
2023-04-16,BOS,Home,LAA,W,0.5
2023-04-17,BOS,Home,LAA,L,0.471
2023-04-18,BOS,Home,MIN,W-wo,0.5
2023-04-19,BOS,Home,MIN,L,0.474
2023-04-20,BOS,Home,MIN,W,0.5
2023-04-21,BOS,@,MIL,W,0.524
2023-04-22,BOS,@,MIL,L,0.5
2023-04-23,BOS,@,MIL,W,0.522
2023-04-24,BOS,@,BAL,L,0.5
2023-04-25,BOS,@,BAL,W,0.52
2023-04-26,BOS,@,BAL,L,0.5
2023-04-28,BOS,Home,CLE,L,0.481
2023-04-29,BOS,Home,CLE,W-wo,0.5
2023-04-30,BOS,Home,CLE,W,0.517
2023-05-01,BOS,Home,TOR,W-wo,0.533
2023-05-02,BOS,Home,TOR,W,0.548
2023-05-03,BOS,Home,TOR,W,0.562
2023-05-04,BOS,Home,TOR,W,0.576
2023-05-05,BOS,@,PHI,W,0.588
2023-05-06,BOS,@,PHI,W,0.6
2023-05-07,BOS,@,PHI,L,0.583
2023-05-09,BOS,@,ATL,L,0.568
2023-05-10,BOS,@,ATL,W,0.579
2023-05-12,BOS,Home,STL,L,0.564
2023-05-13,BOS,Home,STL,L,0.55
2023-05-14,BOS,Home,STL,L,0.537
2023-05-15,BOS,Home,SEA,L,0.524
2023-05-16,BOS,Home,SEA,W,0.535
2023-05-17,BOS,Home,SEA,W,0.545
2023-05-19,BOS,@,SDP,W,0.556
2023-05-20,BOS,@,SDP,W,0.565
2023-05-21,BOS,@,SDP,L,0.553
2023-05-22,BOS,@,LAA,L,0.542
2023-05-23,BOS,@,LAA,L,0.531
2023-05-24,BOS,@,LAA,L,0.52
2023-05-26,BOS,@,ARI,W,0.529
2023-05-27,BOS,@,ARI,W,0.538
2023-05-28,BOS,@,ARI,L,0.528
2023-05-30,BOS,Home,CIN,L,0.519
2023-05-31,BOS,Home,CIN,L,0.509
2023-06-01,BOS,Home,CIN,W,0.518
2023-06-03,BOS,Home,TBR,W,0.526
2023-06-03,BOS,Home,TBR,L,0.517
2023-06-04,BOS,Home,TBR,L,0.508
2023-06-05,BOS,Home,TBR,L,0.5
2023-06-06,BOS,@,CLE,W,0.508
2023-06-07,BOS,@,CLE,L,0.5
2023-06-08,BOS,@,CLE,L,0.492
2023-06-09,BOS,@,NYY,W,0.5
2023-06-10,BOS,@,NYY,L,0.492
2023-06-11,BOS,@,NYY,W,0.5
2023-06-12,BOS,Home,COL,L,0.493
2023-06-13,BOS,Home,COL,L,0.485
2023-06-14,BOS,Home,COL,W,0.493
2023-06-16,BOS,Home,NYY,W,0.5
2023-06-18,BOS,Home,NYY,W,0.507
2023-06-18,BOS,Home,NYY,W,0.514
2023-06-19,BOS,@,MIN,W,0.521
2023-06-20,BOS,@,MIN,W,0.527
2023-06-21,BOS,@,MIN,L-wo,0.52
2023-06-22,BOS,@,MIN,L,0.513
2023-06-23,BOS,@,CHW,W,0.519
2023-06-24,BOS,@,CHW,L-wo,0.513
2023-06-25,BOS,@,CHW,L,0.506
2023-06-27,BOS,Home,MIA,L,0.5
2023-06-28,BOS,Home,MIA,L,0.494
2023-06-29,BOS,Home,MIA,L,0.488
2023-06-30,BOS,@,TOR,W,0.494
2023-07-01,BOS,@,TOR,W,0.5
2023-07-02,BOS,@,TOR,W,0.506
2023-07-04,BOS,Home,TEX,L,0.5
2023-07-05,BOS,Home,TEX,W,0.506
2023-07-06,BOS,Home,TEX,W,0.511
2023-07-07,BOS,Home,OAK,W,0.517
2023-07-08,BOS,Home,OAK,W,0.522
2023-07-09,BOS,Home,OAK,W,0.527
2023-07-14,BOS,@,CHC,W,0.533
2023-07-15,BOS,@,CHC,L,0.527
2023-07-16,BOS,@,CHC,W,0.532
2023-07-17,BOS,@,OAK,W,0.537
2023-07-18,BOS,@,OAK,L,0.531
2023-07-19,BOS,@,OAK,L,0.526
2023-07-21,BOS,Home,NYM,L,0.52
2023-07-22,BOS,Home,NYM,W,0.525
2023-07-23,BOS,Home,NYM,W,0.53
2023-07-25,BOS,Home,ATL,W,0.535
2023-07-26,BOS,Home,ATL,W,0.539
2023-07-28,BOS,@,SFG,W,0.544
2023-07-29,BOS,@,SFG,L-wo,0.538
2023-07-30,BOS,@,SFG,L-wo,0.533
2023-07-31,BOS,@,SEA,L,0.528
2023-08-01,BOS,@,SEA,W,0.533
2023-08-02,BOS,@,SEA,L,0.528
2023-08-04,BOS,Home,TOR,L,0.523
2023-08-05,BOS,Home,TOR,L,0.518
2023-08-06,BOS,Home,TOR,L,0.514
2023-08-07,BOS,Home,KCR,W-wo,0.518
2023-08-08,BOS,Home,KCR,L,0.513
2023-08-09,BOS,Home,KCR,W,0.518
2023-08-10,BOS,Home,KCR,W,0.522
2023-08-11,BOS,Home,DET,W,0.526
2023-08-12,BOS,Home,DET,L,0.521
