date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,CHC,Home,MIL,W,1.0
2023-04-01,CHC,Home,MIL,L,0.5
2023-04-02,CHC,Home,MIL,L,0.333
2023-04-03,CHC,@,CIN,L,0.25
2023-04-04,CHC,@,CIN,W,0.4
2023-04-07,CHC,Home,TEX,W,0.5
2023-04-08,CHC,Home,TEX,W,0.571
2023-04-09,CHC,Home,TEX,L,0.5
2023-04-10,CHC,Home,SEA,W-wo,0.556
2023-04-11,CHC,Home,SEA,W,0.6
2023-04-12,CHC,Home,SEA,L,0.545
2023-04-14,CHC,@,LAD,W,0.583
2023-04-15,CHC,@,LAD,L-wo,0.538
2023-04-16,CHC,@,LAD,W,0.571
2023-04-17,CHC,@,OAK,W,0.6
2023-04-18,CHC,@,OAK,W,0.625
2023-04-19,CHC,@,OAK,W,0.647
2023-04-20,CHC,Home,LAD,L,0.611
2023-04-21,CHC,Home,LAD,W,0.632
2023-04-22,CHC,Home,LAD,L,0.6
2023-04-23,CHC,Home,LAD,L,0.571
2023-04-25,CHC,Home,SDP,W,0.591
2023-04-26,CHC,Home,SDP,L,0.565
2023-04-27,CHC,Home,SDP,W,0.583
2023-04-28,CHC,@,MIA,L-wo,0.56
2023-04-29,CHC,@,MIA,L,0.538
2023-04-30,CHC,@,MIA,L,0.519
2023-05-01,CHC,@,WSN,W,0.536
2023-05-02,CHC,@,WSN,L,0.517
2023-05-03,CHC,@,WSN,L,0.5
2023-05-04,CHC,@,WSN,L-wo,0.484
2023-05-05,CHC,Home,MIA,W,0.5
2023-05-06,CHC,Home,MIA,W,0.515
2023-05-07,CHC,Home,MIA,L,0.5
2023-05-08,CHC,Home,STL,L,0.486
2023-05-09,CHC,Home,STL,L,0.472
2023-05-10,CHC,Home,STL,W,0.486
2023-05-12,CHC,@,MIN,W,0.5
2023-05-13,CHC,@,MIN,L,0.487
2023-05-14,CHC,@,MIN,L,0.475
2023-05-15,CHC,@,HOU,L,0.463
2023-05-16,CHC,@,HOU,L,0.452
2023-05-17,CHC,@,HOU,L-wo,0.442
2023-05-19,CHC,@,PHI,W,0.455
2023-05-20,CHC,@,PHI,L,0.444
2023-05-21,CHC,@,PHI,L,0.435
2023-05-23,CHC,Home,NYM,W,0.447
2023-05-24,CHC,Home,NYM,W,0.458
2023-05-25,CHC,Home,NYM,L,0.449
2023-05-26,CHC,Home,CIN,L,0.44
2023-05-27,CHC,Home,CIN,L,0.431
2023-05-28,CHC,Home,CIN,L,0.423
2023-05-29,CHC,Home,TBR,W,0.434
2023-05-30,CHC,Home,TBR,W,0.444
2023-05-31,CHC,Home,TBR,L,0.436
2023-06-02,CHC,@,SDP,W,0.446
2023-06-03,CHC,@,SDP,L,0.439
2023-06-04,CHC,@,SDP,W,0.448
2023-06-05,CHC,@,SDP,L,0.441
2023-06-06,CHC,@,LAA,L,0.433
2023-06-07,CHC,@,LAA,L,0.426
2023-06-08,CHC,@,LAA,L,0.419
2023-06-09,CHC,@,SFG,W,0.429
2023-06-10,CHC,@,SFG,W,0.438
2023-06-11,CHC,@,SFG,L,0.431
2023-06-13,CHC,Home,PIT,W,0.439
2023-06-14,CHC,Home,PIT,W,0.448
2023-06-15,CHC,Home,PIT,W,0.456
2023-06-16,CHC,Home,BAL,W,0.464
2023-06-17,CHC,Home,BAL,W,0.471
2023-06-18,CHC,Home,BAL,L,0.465
2023-06-19,CHC,@,PIT,W,0.472
2023-06-20,CHC,@,PIT,W,0.479
2023-06-21,CHC,@,PIT,W,0.486
2023-06-24,CHC,@,STL,W,0.493
2023-06-25,CHC,@,STL,L,0.487
2023-06-27,CHC,Home,PHI,L,0.481
2023-06-28,CHC,Home,PHI,L,0.474
2023-06-29,CHC,Home,PHI,L,0.468
2023-06-30,CHC,Home,CLE,W,0.475
2023-07-01,CHC,Home,CLE,L,0.469
2023-07-02,CHC,Home,CLE,L,0.463
2023-07-03,CHC,@,MIL,L,0.458
2023-07-04,CHC,@,MIL,W,0.464
2023-07-05,CHC,@,MIL,W,0.471
2023-07-06,CHC,@,MIL,L,0.465
2023-07-07,CHC,@,NYY,W,0.471
2023-07-08,CHC,@,NYY,L,0.466
2023-07-09,CHC,@,NYY,W,0.472
2023-07-14,CHC,Home,BOS,L,0.467
2023-07-15,CHC,Home,BOS,W,0.473
2023-07-16,CHC,Home,BOS,L,0.467
2023-07-17,CHC,Home,WSN,L,0.462
2023-07-18,CHC,Home,WSN,W,0.468
2023-07-19,CHC,Home,WSN,W,0.474
2023-07-20,CHC,Home,STL,L,0.469
2023-07-21,CHC,Home,STL,W,0.474
2023-07-22,CHC,Home,STL,W,0.48
2023-07-23,CHC,Home,STL,W,0.485
2023-07-25,CHC,@,CHW,W,0.49
2023-07-26,CHC,@,CHW,W,0.495
2023-07-27,CHC,@,STL,W,0.5
2023-07-28,CHC,@,STL,W,0.505
2023-07-29,CHC,@,STL,W,0.51
2023-07-30,CHC,@,STL,L,0.505
2023-07-31,CHC,Home,CIN,L,0.5
2023-08-01,CHC,Home,CIN,W,0.505
2023-08-02,CHC,Home,CIN,W,0.509
2023-08-03,CHC,Home,CIN,W,0.514
2023-08-04,CHC,Home,ATL,L,0.509
2023-08-05,CHC,Home,ATL,W,0.514
2023-08-06,CHC,Home,ATL,W,0.518
2023-08-07,CHC,@,NYM,L,0.513
2023-08-08,CHC,@,NYM,W,0.518
2023-08-09,CHC,@,NYM,L,0.513
2023-08-11,CHC,@,TOR,W,0.517
2023-08-12,CHC,@,TOR,W,0.521
2023-08-13,CHC,@,TOR,L,0.517
2023-08-15,CHC,Home,CHW,L,0.513
2023-08-16,CHC,Home,CHW,W-wo,0.517
2023-08-18,CHC,Home,KCR,L,0.512
2023-08-19,CHC,Home,KCR,W,0.516
2023-08-20,CHC,Home,KCR,W,0.52
2023-08-21,CHC,@,DET,W,0.524
2023-08-22,CHC,@,DET,L,0.52
2023-08-23,CHC,@,DET,W,0.524
2023-08-24,CHC,@,PIT,W,0.528
2023-08-25,CHC,@,PIT,L,0.523
2023-08-26,CHC,@,PIT,W,0.527
2023-08-27,CHC,@,PIT,W,0.531
2023-08-28,CHC,Home,MIL,L,0.527
2023-08-29,CHC,Home,MIL,W,0.53
2023-08-30,CHC,Home,MIL,W,0.534
2023-09-01,CHC,@,CIN,W,0.537
2023-09-01,CHC,@,CIN,L-wo,0.533
2023-09-02,CHC,@,CIN,L-wo,0.529
2023-09-03,CHC,@,CIN,W,0.533
2023-09-04,CHC,Home,SFG,W,0.536
2023-09-05,CHC,Home,SFG,W,0.54
2023-09-06,CHC,Home,SFG,W,0.543
2023-09-07,CHC,Home,ARI,L,0.539
2023-09-08,CHC,Home,ARI,L,0.535
2023-09-09,CHC,Home,ARI,L,0.531
2023-09-10,CHC,Home,ARI,W,0.535
2023-09-11,CHC,@,COL,W,0.538
2023-09-12,CHC,@,COL,L,0.534
2023-09-13,CHC,@,COL,L,0.531
2023-09-15,CHC,@,ARI,L,0.527
2023-09-16,CHC,@,ARI,L-wo,0.523
