date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,DET,@,TBR,L,0.0
2023-04-01,DET,@,TBR,L,0.0
2023-04-02,DET,@,TBR,L,0.0
2023-04-03,DET,@,HOU,W,0.25
2023-04-04,DET,@,HOU,W,0.4
2023-04-05,DET,@,HOU,L,0.333
2023-04-06,DET,Home,BOS,L,0.286
2023-04-08,DET,Home,BOS,L,0.25
2023-04-09,DET,Home,BOS,L,0.222
2023-04-11,DET,@,TOR,L,0.2
2023-04-12,DET,@,TOR,L-wo,0.182
2023-04-13,DET,@,TOR,W,0.25
2023-04-14,DET,Home,SFG,W-wo,0.308
2023-04-15,DET,Home,SFG,W-wo,0.357
2023-04-18,DET,Home,CLE,W-wo,0.4
2023-04-18,DET,Home,CLE,W,0.438
2023-04-19,DET,Home,CLE,L,0.412
2023-04-21,DET,@,BAL,L-wo,0.389
2023-04-22,DET,@,BAL,L,0.368
2023-04-23,DET,@,BAL,L-wo,0.35
2023-04-24,DET,@,MIL,W,0.381
2023-04-25,DET,@,MIL,W,0.409
2023-04-26,DET,@,MIL,L,0.391
2023-04-27,DET,Home,BAL,L,0.375
2023-04-29,DET,Home,BAL,W,0.4
2023-04-29,DET,Home,BAL,L,0.385
2023-04-30,DET,Home,BAL,L,0.37
2023-05-03,DET,Home,NYM,W,0.393
2023-05-03,DET,Home,NYM,W,0.414
2023-05-04,DET,Home,NYM,W,0.433
2023-05-05,DET,@,STL,W,0.452
2023-05-06,DET,@,STL,W,0.469
2023-05-07,DET,@,STL,L,0.455
2023-05-08,DET,@,CLE,W,0.471
2023-05-09,DET,@,CLE,L,0.457
2023-05-10,DET,@,CLE,W,0.472
2023-05-12,DET,Home,SEA,L,0.459
2023-05-13,DET,Home,SEA,L,0.447
2023-05-14,DET,Home,SEA,W,0.462
2023-05-16,DET,Home,PIT,W,0.475
2023-05-17,DET,Home,PIT,L,0.463
2023-05-19,DET,@,WSN,W,0.476
2023-05-20,DET,@,WSN,L,0.465
2023-05-21,DET,@,WSN,L,0.455
2023-05-22,DET,@,KCR,W,0.467
2023-05-23,DET,@,KCR,L,0.457
2023-05-24,DET,@,KCR,W,0.468
2023-05-25,DET,Home,CHW,W,0.479
2023-05-26,DET,Home,CHW,L,0.469
