date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,LAD,Home,ARI,W,1.0
2023-03-31,LAD,Home,ARI,L,0.5
2023-04-01,LAD,Home,ARI,W,0.667
2023-04-02,LAD,Home,ARI,L,0.5
2023-04-03,LAD,Home,COL,W,0.6
2023-04-04,LAD,Home,COL,W,0.667
2023-04-06,LAD,@,ARI,W,0.714
2023-04-07,LAD,@,ARI,L,0.625
2023-04-08,LAD,@,ARI,L,0.556
2023-04-09,LAD,@,ARI,L,0.5
2023-04-10,LAD,@,SFG,W,0.545
2023-04-11,LAD,@,SFG,L,0.5
2023-04-12,LAD,@,SFG,W,0.538
2023-04-14,LAD,Home,CHC,L,0.5
2023-04-15,LAD,Home,CHC,W-wo,0.533
2023-04-16,LAD,Home,CHC,L,0.5
2023-04-17,LAD,Home,NYM,L,0.471
2023-04-18,LAD,Home,NYM,W,0.5
2023-04-19,LAD,Home,NYM,L,0.474
2023-04-20,LAD,@,CHC,W,0.5
2023-04-21,LAD,@,CHC,L,0.476
2023-04-22,LAD,@,CHC,W,0.5
2023-04-23,LAD,@,CHC,W,0.522
2023-04-25,LAD,@,PIT,W,0.542
2023-04-26,LAD,@,PIT,L,0.52
2023-04-27,LAD,@,PIT,L,0.5
2023-04-28,LAD,Home,STL,W,0.519
2023-04-29,LAD,Home,STL,W,0.536
2023-04-30,LAD,Home,STL,W,0.552
2023-05-01,LAD,Home,PHI,W,0.567
2023-05-02,LAD,Home,PHI,W,0.581
2023-05-03,LAD,Home,PHI,W-wo,0.594
2023-05-05,LAD,@,SDP,L,0.576
2023-05-06,LAD,@,SDP,W,0.588
2023-05-07,LAD,@,SDP,W,0.6
2023-05-08,LAD,@,MIL,L,0.583
2023-05-09,LAD,@,MIL,W,0.595
2023-05-10,LAD,@,MIL,W,0.605
2023-05-12,LAD,Home,SDP,W,0.615
2023-05-13,LAD,Home,SDP,W,0.625
2023-05-14,LAD,Home,SDP,W,0.634
2023-05-15,LAD,Home,MIN,W-wo,0.643
2023-05-16,LAD,Home,MIN,L,0.628
2023-05-17,LAD,Home,MIN,W,0.636
2023-05-18,LAD,@,STL,L,0.622
2023-05-19,LAD,@,STL,W,0.63
2023-05-20,LAD,@,STL,L,0.617
2023-05-21,LAD,@,STL,L,0.604
2023-05-22,LAD,@,ATL,W,0.612
2023-05-23,LAD,@,ATL,W,0.62
2023-05-24,LAD,@,ATL,L-wo,0.608
2023-05-26,LAD,@,TBR,L,0.596
2023-05-27,LAD,@,TBR,W,0.604
2023-05-28,LAD,@,TBR,L,0.593
2023-05-29,LAD,Home,WSN,W,0.6
2023-05-30,LAD,Home,WSN,W,0.607
2023-05-31,LAD,Home,WSN,L,0.596
2023-06-02,LAD,Home,NYY,W,0.603
2023-06-03,LAD,Home,NYY,L,0.593
2023-06-04,LAD,Home,NYY,L,0.583
2023-06-06,LAD,@,CIN,L-wo,0.574
2023-06-07,LAD,@,CIN,L-wo,0.565
2023-06-08,LAD,@,CIN,W,0.571
2023-06-09,LAD,@,PHI,L-wo,0.562
2023-06-10,LAD,@,PHI,W,0.569
2023-06-11,LAD,@,PHI,L,0.561
2023-06-13,LAD,Home,CHW,W,0.567
2023-06-14,LAD,Home,CHW,L,0.559
2023-06-15,LAD,Home,CHW,W-wo,0.565
2023-06-16,LAD,Home,SFG,L,0.557
2023-06-17,LAD,Home,SFG,L,0.549
2023-06-18,LAD,Home,SFG,L,0.542
2023-06-20,LAD,@,LAA,W,0.548
2023-06-21,LAD,@,LAA,W,0.554
2023-06-23,LAD,Home,HOU,W,0.56
2023-06-24,LAD,Home,HOU,W,0.566
2023-06-25,LAD,Home,HOU,L,0.558
2023-06-27,LAD,@,COL,W,0.564
2023-06-28,LAD,@,COL,L,0.557
2023-06-29,LAD,@,COL,W,0.562
2023-06-30,LAD,@,KCR,W,0.568
2023-07-01,LAD,@,KCR,L,0.561
2023-07-02,LAD,@,KCR,L,0.554
2023-07-03,LAD,Home,PIT,W,0.56
2023-07-04,LAD,Home,PIT,L,0.553
2023-07-05,LAD,Home,PIT,W,0.558
2023-07-06,LAD,Home,PIT,W,0.563
2023-07-07,LAD,Home,LAA,W,0.568
2023-07-08,LAD,Home,LAA,W,0.573
2023-07-14,LAD,@,NYM,W,0.578
2023-07-15,LAD,@,NYM,W,0.582
2023-07-16,LAD,@,NYM,L-wo,0.576
2023-07-17,LAD,@,BAL,W,0.581
2023-07-18,LAD,@,BAL,W,0.585
2023-07-19,LAD,@,BAL,L,0.579
2023-07-21,LAD,@,TEX,W,0.583
2023-07-22,LAD,@,TEX,W,0.588
2023-07-23,LAD,@,TEX,L,0.582
2023-07-24,LAD,Home,TOR,L,0.576
2023-07-25,LAD,Home,TOR,W-wo,0.58
2023-07-26,LAD,Home,TOR,L,0.574
2023-07-28,LAD,Home,CIN,L,0.569
2023-07-29,LAD,Home,CIN,W,0.573
2023-07-30,LAD,Home,CIN,L,0.567
2023-08-01,LAD,Home,OAK,W,0.571
2023-08-02,LAD,Home,OAK,W,0.575
2023-08-03,LAD,Home,OAK,W,0.579
2023-08-04,LAD,@,SDP,W,0.583
2023-08-05,LAD,@,SDP,L,0.578
2023-08-06,LAD,@,SDP,W,0.582
2023-08-07,LAD,@,SDP,W,0.586
2023-08-08,LAD,@,ARI,W,0.589
2023-08-09,LAD,@,ARI,W,0.593
2023-08-10,LAD,Home,COL,W,0.596
2023-08-11,LAD,Home,COL,W,0.6
2023-08-12,LAD,Home,COL,W,0.603
2023-08-13,LAD,Home,COL,W,0.607
2023-08-15,LAD,Home,MIL,W,0.61
2023-08-16,LAD,Home,MIL,W,0.613
2023-08-17,LAD,Home,MIL,W,0.617
2023-08-18,LAD,Home,MIA,L,0.612
2023-08-19,LAD,Home,MIA,W,0.615
2023-08-19,LAD,Home,MIA,W,0.618
2023-08-22,LAD,@,CLE,L,0.613
2023-08-23,LAD,@,CLE,W,0.616
2023-08-24,LAD,@,CLE,W,0.619
2023-08-25,LAD,@,BOS,W,0.622
2023-08-26,LAD,@,BOS,L,0.617
2023-08-27,LAD,@,BOS,W,0.62
2023-08-28,LAD,Home,ARI,W,0.623
2023-08-29,LAD,Home,ARI,W,0.626
2023-08-30,LAD,Home,ARI,W,0.629
2023-08-31,LAD,Home,ATL,L,0.624
2023-09-01,LAD,Home,ATL,L,0.619
2023-09-02,LAD,Home,ATL,L,0.615
2023-09-03,LAD,Home,ATL,W,0.618
2023-09-05,LAD,@,MIA,L,0.613
2023-09-06,LAD,@,MIA,L,0.609
2023-09-07,LAD,@,MIA,W,0.612
2023-09-08,LAD,@,WSN,W,0.614
2023-09-09,LAD,@,WSN,L-wo,0.61
2023-09-10,LAD,@,WSN,W,0.613
2023-09-11,LAD,Home,SDP,L,0.608
2023-09-12,LAD,Home,SDP,W,0.611
2023-09-13,LAD,Home,SDP,L,0.607
2023-09-15,LAD,@,SEA,W,0.61
2023-09-16,LAD,@,SEA,W,0.612
2023-09-17,LAD,@,SEA,W,0.615
2023-09-18,LAD,Home,DET,W,0.617
2023-09-19,LAD,Home,DET,W-wo,0.62
2023-09-20,LAD,Home,DET,L,0.616
2023-09-21,LAD,Home,SFG,W,0.618
2023-09-22,LAD,Home,SFG,L,0.614
2023-09-23,LAD,Home,SFG,W,0.617
2023-09-24,LAD,Home,SFG,W-wo,0.619
2023-09-26,LAD,@,COL,L,0.615
2023-09-26,LAD,@,COL,W,0.618
2023-09-27,LAD,@,COL,W,0.62
2023-09-28,LAD,@,COL,L,0.616
2023-09-29,LAD,@,SFG,W,0.619
2023-09-30,LAD,@,SFG,L,0.615
2023-10-01,LAD,@,SFG,W,0.617
