date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,MIA,Home,NYM,L,0.0
2023-03-31,MIA,Home,NYM,W,0.5
2023-04-01,MIA,Home,NYM,L,0.333
2023-04-02,MIA,Home,NYM,L,0.25
2023-04-03,MIA,Home,MIN,L,0.2
2023-04-04,MIA,Home,MIN,W,0.333
2023-04-05,MIA,Home,MIN,W,0.429
2023-04-07,MIA,@,NYM,L,0.375
2023-04-08,MIA,@,NYM,L,0.333
2023-04-09,MIA,@,NYM,W,0.4
2023-04-10,MIA,@,PHI,L,0.364
2023-04-11,MIA,@,PHI,W,0.417
2023-04-12,MIA,@,PHI,W,0.462
2023-04-14,MIA,Home,ARI,W,0.5
2023-04-15,MIA,Home,ARI,W,0.533
2023-04-16,MIA,Home,ARI,L,0.5
2023-04-17,MIA,Home,SFG,W,0.529
2023-04-18,MIA,Home,SFG,W,0.556
2023-04-19,MIA,Home,SFG,L,0.526
2023-04-22,MIA,@,CLE,W,0.55
2023-04-22,MIA,@,CLE,W,0.571
2023-04-23,MIA,@,CLE,L,0.545
2023-04-24,MIA,@,ATL,L,0.522
2023-04-25,MIA,@,ATL,L,0.5
2023-04-26,MIA,@,ATL,L,0.48
2023-04-27,MIA,@,ATL,W,0.5
2023-04-28,MIA,Home,CHC,W-wo,0.519
2023-04-29,MIA,Home,CHC,W,0.536
2023-04-30,MIA,Home,CHC,W,0.552
2023-05-02,MIA,Home,ATL,L,0.533
2023-05-03,MIA,Home,ATL,L,0.516
2023-05-04,MIA,Home,ATL,L,0.5
2023-05-05,MIA,@,CHC,L,0.485
2023-05-06,MIA,@,CHC,L,0.471
2023-05-07,MIA,@,CHC,W,0.486
2023-05-08,MIA,@,ARI,L,0.472
2023-05-09,MIA,@,ARI,W,0.486
2023-05-10,MIA,@,ARI,W,0.5
2023-05-12,MIA,Home,CIN,L,0.487
2023-05-13,MIA,Home,CIN,L,0.475
2023-05-14,MIA,Home,CIN,W,0.488
2023-05-16,MIA,Home,WSN,W-wo,0.5
2023-05-17,MIA,Home,WSN,W,0.512
2023-05-18,MIA,Home,WSN,W,0.523
2023-05-19,MIA,@,SFG,L,0.511
2023-05-20,MIA,@,SFG,W,0.522
2023-05-21,MIA,@,SFG,L,0.511
2023-05-22,MIA,@,COL,L,0.5
2023-05-23,MIA,@,COL,L,0.49
2023-05-24,MIA,@,COL,W,0.5
2023-05-25,MIA,@,COL,L-wo,0.49
2023-05-26,MIA,@,LAA,W,0.5
2023-05-27,MIA,@,LAA,W,0.509
2023-05-28,MIA,@,LAA,W,0.519
2023-05-30,MIA,Home,SDP,L,0.509
2023-05-31,MIA,Home,SDP,W-wo,0.518
2023-06-01,MIA,Home,SDP,L,0.509
2023-06-02,MIA,Home,OAK,W,0.517
2023-06-03,MIA,Home,OAK,W,0.525
2023-06-04,MIA,Home,OAK,W,0.533
2023-06-05,MIA,Home,KCR,W,0.541
2023-06-06,MIA,Home,KCR,W,0.548
2023-06-07,MIA,Home,KCR,W,0.556
2023-06-09,MIA,@,CHW,L-wo,0.547
2023-06-10,MIA,@,CHW,W,0.554
2023-06-11,MIA,@,CHW,W,0.561
2023-06-12,MIA,@,SEA,L,0.552
2023-06-13,MIA,@,SEA,L,0.544
2023-06-14,MIA,@,SEA,W,0.551
2023-06-16,MIA,@,WSN,W,0.557
2023-06-17,MIA,@,WSN,W,0.563
2023-06-18,MIA,@,WSN,W,0.569
2023-06-19,MIA,Home,TOR,W,0.575
2023-06-20,MIA,Home,TOR,L,0.568
2023-06-21,MIA,Home,TOR,L,0.56
2023-06-22,MIA,Home,PIT,W,0.566
2023-06-23,MIA,Home,PIT,L,0.558
2023-06-24,MIA,Home,PIT,W-wo,0.564
2023-06-25,MIA,Home,PIT,W,0.57
2023-06-27,MIA,@,BOS,W,0.575
2023-06-28,MIA,@,BOS,W,0.58
2023-06-29,MIA,@,BOS,W,0.585
2023-06-30,MIA,@,ATL,L,0.578
2023-07-01,MIA,@,ATL,L,0.571
2023-07-02,MIA,@,ATL,L,0.565
2023-07-03,MIA,Home,STL,W,0.57
2023-07-04,MIA,Home,STL,W,0.575
2023-07-05,MIA,Home,STL,W-wo,0.58
2023-07-06,MIA,Home,STL,L,0.573
2023-07-07,MIA,Home,PHI,L,0.567
2023-07-08,MIA,Home,PHI,W,0.571
2023-07-09,MIA,Home,PHI,W,0.576
2023-07-14,MIA,@,BAL,L,0.57
2023-07-15,MIA,@,BAL,L,0.564
2023-07-16,MIA,@,BAL,L,0.558
2023-07-17,MIA,@,STL,L,0.552
2023-07-18,MIA,@,STL,L-wo,0.546
2023-07-19,MIA,@,STL,L,0.541
2023-07-21,MIA,Home,COL,L,0.535
2023-07-22,MIA,Home,COL,L,0.53
2023-07-23,MIA,Home,COL,W-wo,0.535
2023-07-25,MIA,@,TBR,L,0.529
2023-07-26,MIA,@,TBR,W,0.534
2023-07-28,MIA,Home,DET,W,0.538
2023-07-29,MIA,Home,DET,L,0.533
2023-07-30,MIA,Home,DET,W,0.538
