date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,PIT,@,CIN,W,1.0
2023-04-01,PIT,@,CIN,L,0.5
2023-04-02,PIT,@,CIN,L,0.333
2023-04-03,PIT,@,BOS,W,0.5
2023-04-04,PIT,@,BOS,W,0.6
2023-04-05,PIT,@,BOS,W,0.667
2023-04-07,PIT,Home,CHW,W,0.714
2023-04-08,PIT,Home,CHW,L,0.625
2023-04-09,PIT,Home,CHW,W,0.667
2023-04-10,PIT,Home,HOU,L,0.6
2023-04-11,PIT,Home,HOU,W-wo,0.636
2023-04-12,PIT,Home,HOU,L,0.583
2023-04-13,PIT,@,STL,W,0.615
2023-04-14,PIT,@,STL,L,0.571
2023-04-15,PIT,@,STL,W,0.6
2023-04-16,PIT,@,STL,L-wo,0.562
2023-04-17,PIT,@,COL,W,0.588
2023-04-18,PIT,@,COL,W,0.611
2023-04-19,PIT,@,COL,W,0.632
2023-04-20,PIT,Home,CIN,W,0.65
2023-04-21,PIT,Home,CIN,W,0.667
2023-04-22,PIT,Home,CIN,W,0.682
2023-04-23,PIT,Home,CIN,W,0.696
2023-04-25,PIT,Home,LAD,L,0.667
2023-04-26,PIT,Home,LAD,W,0.68
2023-04-27,PIT,Home,LAD,W,0.692
2023-04-29,PIT,@,WSN,W,0.704
2023-04-29,PIT,@,WSN,W,0.714
2023-04-30,PIT,@,WSN,L,0.69
2023-05-02,PIT,@,TBR,L,0.667
2023-05-03,PIT,@,TBR,L,0.645
2023-05-04,PIT,@,TBR,L,0.625
2023-05-05,PIT,Home,TOR,L,0.606
2023-05-06,PIT,Home,TOR,L,0.588
2023-05-07,PIT,Home,TOR,L,0.571
2023-05-08,PIT,Home,COL,W,0.583
2023-05-09,PIT,Home,COL,L,0.568
2023-05-10,PIT,Home,COL,L,0.553
2023-05-12,PIT,@,BAL,L,0.538
2023-05-13,PIT,@,BAL,L,0.525
2023-05-14,PIT,@,BAL,W,0.537
2023-05-16,PIT,@,DET,L,0.524
2023-05-17,PIT,@,DET,W,0.535
2023-05-19,PIT,Home,ARI,W,0.545
2023-05-20,PIT,Home,ARI,L,0.533
2023-05-21,PIT,Home,ARI,L,0.522
2023-05-22,PIT,Home,TEX,W,0.532
2023-05-23,PIT,Home,TEX,L,0.521
2023-05-24,PIT,Home,TEX,L,0.51
2023-05-26,PIT,@,SEA,W,0.52
2023-05-27,PIT,@,SEA,L,0.51
2023-05-28,PIT,@,SEA,L-wo,0.5
2023-05-29,PIT,@,SFG,L,0.491
2023-05-30,PIT,@,SFG,W,0.5
2023-05-31,PIT,@,SFG,W,0.509
2023-06-02,PIT,Home,STL,W,0.518
2023-06-03,PIT,Home,STL,W,0.526
2023-06-04,PIT,Home,STL,W,0.534
2023-06-05,PIT,Home,OAK,W,0.542
2023-06-06,PIT,Home,OAK,L,0.533
2023-06-07,PIT,Home,OAK,L,0.525
2023-06-09,PIT,Home,NYM,W,0.532
2023-06-10,PIT,Home,NYM,L,0.524
2023-06-11,PIT,Home,NYM,W,0.531
2023-06-13,PIT,@,CHC,L,0.523
2023-06-14,PIT,@,CHC,L,0.515
2023-06-15,PIT,@,CHC,L,0.507
2023-06-16,PIT,@,MIL,L,0.5
2023-06-17,PIT,@,MIL,L,0.493
2023-06-18,PIT,@,MIL,L,0.486
2023-06-19,PIT,Home,CHC,L,0.479
2023-06-20,PIT,Home,CHC,L,0.472
2023-06-21,PIT,Home,CHC,L,0.466
2023-06-22,PIT,@,MIA,L,0.459
2023-06-23,PIT,@,MIA,W,0.467
2023-06-24,PIT,@,MIA,L-wo,0.461
2023-06-25,PIT,@,MIA,L,0.455
2023-06-27,PIT,Home,SDP,W,0.462
2023-06-28,PIT,Home,SDP,W,0.468
2023-06-29,PIT,Home,SDP,W,0.475
2023-06-30,PIT,Home,MIL,W-wo,0.481
2023-07-01,PIT,Home,MIL,L,0.476
2023-07-02,PIT,Home,MIL,L,0.47
2023-07-03,PIT,@,LAD,L,0.464
2023-07-04,PIT,@,LAD,W,0.471
2023-07-05,PIT,@,LAD,L,0.465
2023-07-06,PIT,@,LAD,L,0.46
2023-07-07,PIT,@,ARI,L,0.455
2023-07-08,PIT,@,ARI,L-wo,0.449
2023-07-09,PIT,@,ARI,W,0.456
2023-07-14,PIT,Home,SFG,L,0.451
2023-07-15,PIT,Home,SFG,L,0.446
2023-07-16,PIT,Home,SFG,L,0.441
2023-07-17,PIT,Home,CLE,L,0.436
2023-07-18,PIT,Home,CLE,L,0.432
2023-07-19,PIT,Home,CLE,W,0.438
2023-07-21,PIT,@,LAA,L,0.433
2023-07-22,PIT,@,LAA,W,0.439
2023-07-23,PIT,@,LAA,L,0.434
2023-07-24,PIT,@,SDP,W,0.44
2023-07-25,PIT,@,SDP,L,0.436
2023-07-26,PIT,@,SDP,W,0.441
2023-07-28,PIT,Home,PHI,L,0.437
2023-07-29,PIT,Home,PHI,W,0.442
2023-07-30,PIT,Home,PHI,W-wo,0.448
2023-08-01,PIT,Home,DET,W,0.453
2023-08-02,PIT,Home,DET,L,0.449
2023-08-03,PIT,@,MIL,L,0.444
2023-08-04,PIT,@,MIL,W,0.45
2023-08-05,PIT,@,MIL,L-wo,0.445
2023-08-06,PIT,@,MIL,W,0.45
2023-08-07,PIT,Home,ATL,W,0.455
2023-08-08,PIT,Home,ATL,L,0.451
2023-08-09,PIT,Home,ATL,L,0.447
2023-08-10,PIT,Home,ATL,W,0.452
2023-08-11,PIT,Home,CIN,L,0.448
2023-08-13,PIT,Home,CIN,W,0.453
2023-08-13,PIT,Home,CIN,L,0.449
2023-08-14,PIT,@,NYM,L,0.445
2023-08-15,PIT,@,NYM,W,0.45
2023-08-16,PIT,@,NYM,L,0.446
2023-08-18,PIT,@,MIN,L,0.443
2023-08-19,PIT,@,MIN,W,0.447
2023-08-20,PIT,@,MIN,L,0.444
2023-08-21,PIT,Home,STL,W,0.448
2023-08-22,PIT,Home,STL,W,0.452
2023-08-23,PIT,Home,STL,L,0.449
2023-08-24,PIT,Home,CHC,L,0.445
2023-08-25,PIT,Home,CHC,W,0.45
2023-08-26,PIT,Home,CHC,L,0.446
2023-08-27,PIT,Home,CHC,L,0.443
2023-08-28,PIT,@,KCR,W,0.447
2023-08-29,PIT,@,KCR,W,0.451
2023-08-30,PIT,@,KCR,W,0.455
2023-09-01,PIT,@,STL,W,0.459
2023-09-02,PIT,@,STL,W,0.463
2023-09-03,PIT,@,STL,L,0.46
2023-09-04,PIT,Home,MIL,W,0.464
2023-09-05,PIT,Home,MIL,L,0.46
2023-09-06,PIT,Home,MIL,W,0.464
2023-09-08,PIT,@,ATL,L,0.461
2023-09-09,PIT,@,ATL,W,0.465
2023-09-10,PIT,@,ATL,L,0.462
2023-09-11,PIT,Home,WSN,L,0.458
2023-09-12,PIT,Home,WSN,W,0.462
2023-09-13,PIT,Home,WSN,W,0.466
2023-09-14,PIT,Home,WSN,W,0.469
2023-09-15,PIT,Home,NYY,L,0.466
2023-09-16,PIT,Home,NYY,L,0.463
2023-09-17,PIT,Home,NYY,W,0.467
2023-09-19,PIT,@,CHC,L,0.464
2023-09-20,PIT,@,CHC,W,0.467
2023-09-21,PIT,@,CHC,W,0.471
2023-09-22,PIT,@,CIN,W,0.474
2023-09-23,PIT,@,CIN,W,0.477
2023-09-24,PIT,@,CIN,L,0.474
2023-09-26,PIT,@,PHI,L-wo,0.471
2023-09-27,PIT,@,PHI,L,0.468
2023-09-28,PIT,@,PHI,W,0.472
2023-09-29,PIT,Home,MIA,L,0.469
2023-09-30,PIT,Home,MIA,L,0.466
2023-10-01,PIT,Home,MIA,W,0.469
