date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,SDP,Home,COL,L,0.0
2023-03-31,SDP,Home,COL,L,0.0
2023-04-01,SDP,Home,COL,W,0.333
2023-04-02,SDP,Home,COL,W,0.5
2023-04-03,SDP,Home,ARI,W-wo,0.6
2023-04-04,SDP,Home,ARI,L,0.5
2023-04-06,SDP,@,ATL,L-wo,0.429
2023-04-07,SDP,@,ATL,W,0.5
2023-04-08,SDP,@,ATL,W,0.556
2023-04-09,SDP,@,ATL,W,0.6
2023-04-10,SDP,@,NYM,L,0.545
2023-04-11,SDP,@,NYM,W,0.583
2023-04-12,SDP,@,NYM,L,0.538
2023-04-13,SDP,Home,MIL,L,0.5
2023-04-14,SDP,Home,MIL,L,0.467
2023-04-15,SDP,Home,MIL,W,0.5
2023-04-16,SDP,Home,MIL,L,0.471
2023-04-17,SDP,Home,ATL,L,0.444
2023-04-18,SDP,Home,ATL,L,0.421
2023-04-19,SDP,Home,ATL,W,0.45
2023-04-20,SDP,@,ARI,W,0.476
2023-04-21,SDP,@,ARI,L,0.455
2023-04-22,SDP,@,ARI,W,0.478
2023-04-23,SDP,@,ARI,W,0.5
2023-04-25,SDP,@,CHC,L,0.48
2023-04-26,SDP,@,CHC,W,0.5
2023-04-27,SDP,@,CHC,L,0.481
2023-04-29,SDP,Home,SFG,W,0.5
2023-04-30,SDP,Home,SFG,W,0.517
2023-05-01,SDP,Home,CIN,W,0.533
2023-05-02,SDP,Home,CIN,L,0.516
2023-05-03,SDP,Home,CIN,W,0.531
2023-05-05,SDP,Home,LAD,W,0.545
2023-05-06,SDP,Home,LAD,L,0.529
2023-05-07,SDP,Home,LAD,L,0.514
2023-05-09,SDP,@,MIN,W,0.528
2023-05-10,SDP,@,MIN,L-wo,0.514
2023-05-11,SDP,@,MIN,L,0.5
2023-05-12,SDP,@,LAD,L,0.487
2023-05-13,SDP,@,LAD,L,0.475
2023-05-14,SDP,@,LAD,L,0.463
2023-05-15,SDP,Home,KCR,W,0.476
2023-05-16,SDP,Home,KCR,L,0.465
2023-05-17,SDP,Home,KCR,L,0.455
2023-05-19,SDP,Home,BOS,L,0.444
2023-05-20,SDP,Home,BOS,L,0.435
2023-05-21,SDP,Home,BOS,W,0.447
2023-05-23,SDP,@,WSN,W,0.458
2023-05-24,SDP,@,WSN,L,0.449
2023-05-25,SDP,@,WSN,W,0.46
2023-05-26,SDP,@,NYY,W,0.471
2023-05-27,SDP,@,NYY,L-wo,0.462
2023-05-28,SDP,@,NYY,L,0.453
2023-05-30,SDP,@,MIA,W,0.463
2023-05-31,SDP,@,MIA,L-wo,0.455
2023-06-01,SDP,@,MIA,W,0.464
2023-06-02,SDP,Home,CHC,L,0.456
2023-06-03,SDP,Home,CHC,W,0.466
2023-06-04,SDP,Home,CHC,L,0.458
2023-06-05,SDP,Home,CHC,W,0.467
2023-06-06,SDP,Home,SEA,L,0.459
2023-06-07,SDP,Home,SEA,W,0.468
2023-06-09,SDP,@,COL,W,0.476
2023-06-10,SDP,@,COL,W,0.484
2023-06-11,SDP,@,COL,L-wo,0.477
2023-06-13,SDP,Home,CLE,W,0.485
2023-06-14,SDP,Home,CLE,W,0.493
2023-06-15,SDP,Home,CLE,L,0.485
2023-06-16,SDP,Home,TBR,L,0.478
2023-06-17,SDP,Home,TBR,W,0.486
2023-06-18,SDP,Home,TBR,W,0.493
2023-06-19,SDP,@,SFG,L-wo,0.486
2023-06-20,SDP,@,SFG,L-wo,0.479
2023-06-21,SDP,@,SFG,L,0.473
2023-06-22,SDP,@,SFG,W,0.48
2023-06-23,SDP,Home,WSN,W,0.487
2023-06-24,SDP,Home,WSN,L,0.481
2023-06-25,SDP,Home,WSN,L,0.474
2023-06-27,SDP,@,PIT,L,0.468
2023-06-28,SDP,@,PIT,L,0.462
2023-06-29,SDP,@,PIT,L,0.457
2023-06-30,SDP,@,CIN,L-wo,0.451
2023-07-01,SDP,@,CIN,W,0.458
2023-07-02,SDP,@,CIN,L,0.452
2023-07-03,SDP,Home,LAA,W,0.459
2023-07-04,SDP,Home,LAA,W,0.465
2023-07-05,SDP,Home,LAA,W,0.471
2023-07-07,SDP,Home,NYM,L,0.466
2023-07-08,SDP,Home,NYM,W,0.472
2023-07-09,SDP,Home,NYM,W,0.478
2023-07-14,SDP,@,PHI,W,0.484
2023-07-15,SDP,@,PHI,L,0.478
2023-07-15,SDP,@,PHI,L,0.473
2023-07-16,SDP,@,PHI,L-wo,0.468
2023-07-18,SDP,@,TOR,W,0.474
2023-07-19,SDP,@,TOR,W,0.479
2023-07-20,SDP,@,TOR,L,0.474
2023-07-21,SDP,@,DET,W,0.48
2023-07-22,SDP,@,DET,W,0.485
2023-07-23,SDP,@,DET,L,0.48
2023-07-24,SDP,Home,PIT,L,0.475
2023-07-25,SDP,Home,PIT,W,0.48
2023-07-26,SDP,Home,PIT,L,0.476
2023-07-28,SDP,Home,TEX,W,0.481
2023-07-29,SDP,Home,TEX,W,0.486
2023-07-30,SDP,Home,TEX,W,0.491
2023-07-31,SDP,@,COL,L-wo,0.486
2023-08-01,SDP,@,COL,W,0.491
2023-08-02,SDP,@,COL,W,0.495
2023-08-04,SDP,Home,LAD,L,0.491
2023-08-05,SDP,Home,LAD,W,0.495
2023-08-06,SDP,Home,LAD,L,0.491
2023-08-07,SDP,Home,LAD,L,0.487
2023-08-08,SDP,@,SEA,L,0.482
2023-08-09,SDP,@,SEA,L,0.478
2023-08-11,SDP,@,ARI,W,0.483
2023-08-12,SDP,@,ARI,L,0.479
2023-08-13,SDP,@,ARI,L,0.475
2023-08-14,SDP,Home,BAL,L,0.471
