date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,SEA,Home,CLE,W,1.0
2023-03-31,SEA,Home,CLE,L,0.5
2023-04-01,SEA,Home,CLE,L,0.333
2023-04-02,SEA,Home,CLE,L,0.25
2023-04-03,SEA,Home,LAA,L,0.2
2023-04-04,SEA,Home,LAA,W,0.333
2023-04-05,SEA,Home,LAA,L,0.286
2023-04-07,SEA,@,CLE,W,0.375
2023-04-08,SEA,@,CLE,W,0.444
2023-04-09,SEA,@,CLE,L-wo,0.4
2023-04-10,SEA,@,CHC,L-wo,0.364
2023-04-11,SEA,@,CHC,L,0.333
2023-04-12,SEA,@,CHC,W,0.385
2023-04-14,SEA,Home,COL,W,0.429
2023-04-15,SEA,Home,COL,W,0.467
2023-04-16,SEA,Home,COL,W,0.5
2023-04-17,SEA,Home,MIL,L,0.471
2023-04-18,SEA,Home,MIL,L,0.444
2023-04-19,SEA,Home,MIL,L,0.421
2023-04-21,SEA,Home,STL,W,0.45
2023-04-22,SEA,Home,STL,W,0.476
2023-04-23,SEA,Home,STL,L,0.455
2023-04-25,SEA,@,PHI,W,0.478
2023-04-26,SEA,@,PHI,L,0.458
2023-04-27,SEA,@,PHI,L,0.44
2023-04-28,SEA,@,TOR,L,0.423
2023-04-29,SEA,@,TOR,L-wo,0.407
2023-04-30,SEA,@,TOR,W,0.429
2023-05-02,SEA,@,OAK,W,0.448
2023-05-03,SEA,@,OAK,W,0.467
2023-05-04,SEA,@,OAK,W,0.484
2023-05-05,SEA,Home,HOU,L,0.469
2023-05-06,SEA,Home,HOU,W,0.485
2023-05-07,SEA,Home,HOU,W,0.5
2023-05-08,SEA,Home,TEX,L,0.486
2023-05-09,SEA,Home,TEX,W,0.5
2023-05-10,SEA,Home,TEX,L,0.486
2023-05-12,SEA,@,DET,W,0.5
2023-05-13,SEA,@,DET,W,0.513
2023-05-14,SEA,@,DET,L,0.5
2023-05-15,SEA,@,BOS,W,0.512
2023-05-16,SEA,@,BOS,L,0.5
2023-05-17,SEA,@,BOS,L,0.488
2023-05-19,SEA,@,ATL,L,0.477
2023-05-20,SEA,@,ATL,W,0.489
2023-05-21,SEA,@,ATL,L,0.478
2023-05-22,SEA,Home,OAK,W,0.489
2023-05-23,SEA,Home,OAK,W,0.5
2023-05-24,SEA,Home,OAK,W,0.51
2023-05-25,SEA,Home,OAK,W,0.52
2023-05-26,SEA,Home,PIT,L,0.51
2023-05-27,SEA,Home,PIT,W,0.519
2023-05-28,SEA,Home,PIT,W-wo,0.528
2023-05-29,SEA,Home,NYY,L,0.519
2023-05-30,SEA,Home,NYY,L,0.509
2023-05-31,SEA,Home,NYY,W-wo,0.518
2023-06-02,SEA,@,TEX,L,0.509
2023-06-03,SEA,@,TEX,L,0.5
2023-06-04,SEA,@,TEX,L,0.492
2023-06-06,SEA,@,SDP,W,0.5
2023-06-07,SEA,@,SDP,L,0.492
2023-06-09,SEA,@,LAA,L,0.484
2023-06-10,SEA,@,LAA,W,0.492
2023-06-11,SEA,@,LAA,L,0.484
2023-06-12,SEA,Home,MIA,W,0.492
2023-06-13,SEA,Home,MIA,W,0.5
2023-06-14,SEA,Home,MIA,L,0.493
2023-06-16,SEA,Home,CHW,W,0.5
2023-06-17,SEA,Home,CHW,L,0.493
2023-06-18,SEA,Home,CHW,W,0.5
2023-06-20,SEA,@,NYY,L,0.493
2023-06-21,SEA,@,NYY,L,0.486
2023-06-22,SEA,@,NYY,W,0.493
2023-06-23,SEA,@,BAL,W,0.5
2023-06-24,SEA,@,BAL,L-wo,0.493
2023-06-25,SEA,@,BAL,L,0.487
2023-06-26,SEA,Home,WSN,W,0.494
2023-06-27,SEA,Home,WSN,L,0.487
2023-06-28,SEA,Home,WSN,L,0.481
2023-06-30,SEA,Home,TBR,L,0.475
2023-07-01,SEA,Home,TBR,W,0.481
2023-07-02,SEA,Home,TBR,W,0.488
2023-07-03,SEA,@,SFG,W,0.494
2023-07-04,SEA,@,SFG,W,0.5
2023-07-05,SEA,@,SFG,L,0.494
2023-07-06,SEA,@,HOU,W,0.5
2023-07-07,SEA,@,HOU,W,0.506
2023-07-08,SEA,@,HOU,L,0.5
2023-07-09,SEA,@,HOU,W,0.506
2023-07-14,SEA,Home,DET,L,0.5
2023-07-15,SEA,Home,DET,L,0.495
2023-07-16,SEA,Home,DET,W,0.5
2023-07-17,SEA,Home,MIN,W,0.505
2023-07-18,SEA,Home,MIN,L,0.5
2023-07-19,SEA,Home,MIN,L,0.495
2023-07-20,SEA,Home,MIN,W,0.5
2023-07-21,SEA,Home,TOR,W-wo,0.505
2023-07-22,SEA,Home,TOR,W,0.51
