date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,TOR,@,STL,W,1.0
2023-04-01,TOR,@,STL,L,0.5
2023-04-02,TOR,@,STL,L,0.333
2023-04-03,TOR,@,KCR,L,0.25
2023-04-04,TOR,@,KCR,W,0.4
2023-04-05,TOR,@,KCR,W,0.5
2023-04-06,TOR,@,KCR,W,0.571
2023-04-07,TOR,@,LAA,W,0.625
2023-04-08,TOR,@,LAA,L,0.556
2023-04-09,TOR,@,LAA,W,0.6
2023-04-11,TOR,Home,DET,W,0.636
2023-04-12,TOR,Home,DET,W-wo,0.667
2023-04-13,TOR,Home,DET,L,0.615
2023-04-14,TOR,Home,TBR,W,0.643
2023-04-15,TOR,Home,TBR,W,0.667
2023-04-16,TOR,Home,TBR,L,0.625
2023-04-17,TOR,@,HOU,L,0.588
2023-04-18,TOR,@,HOU,W,0.611
2023-04-19,TOR,@,HOU,L,0.579
2023-04-21,TOR,@,NYY,W,0.6
2023-04-22,TOR,@,NYY,L-wo,0.571
2023-04-23,TOR,@,NYY,W,0.591
2023-04-24,TOR,Home,CHW,W,0.609
2023-04-25,TOR,Home,CHW,W,0.625
2023-04-26,TOR,Home,CHW,W,0.64
2023-04-28,TOR,Home,SEA,W,0.654
2023-04-29,TOR,Home,SEA,W-wo,0.667
2023-04-30,TOR,Home,SEA,L,0.643
2023-05-01,TOR,@,BOS,L-wo,0.621
2023-05-02,TOR,@,BOS,L,0.6
2023-05-03,TOR,@,BOS,L,0.581
2023-05-04,TOR,@,BOS,L,0.562
2023-05-05,TOR,@,PIT,W,0.576
2023-05-06,TOR,@,PIT,W,0.588
2023-05-07,TOR,@,PIT,W,0.6
2023-05-09,TOR,@,PHI,L,0.583
2023-05-10,TOR,@,PHI,L-wo,0.568
2023-05-12,TOR,Home,ATL,W,0.579
2023-05-13,TOR,Home,ATL,W,0.59
2023-05-14,TOR,Home,ATL,W-wo,0.6
2023-05-15,TOR,Home,NYY,L,0.585
2023-05-16,TOR,Home,NYY,L,0.571
2023-05-17,TOR,Home,NYY,W-wo,0.581
2023-05-18,TOR,Home,NYY,L,0.568
2023-05-19,TOR,Home,BAL,L,0.556
2023-05-20,TOR,Home,BAL,L,0.543
2023-05-21,TOR,Home,BAL,L,0.532
2023-05-22,TOR,@,TBR,L,0.521
2023-05-23,TOR,@,TBR,W,0.531
2023-05-24,TOR,@,TBR,L,0.52
2023-05-25,TOR,@,TBR,L,0.51
2023-05-26,TOR,@,MIN,W,0.519
2023-05-27,TOR,@,MIN,L,0.509
2023-05-28,TOR,@,MIN,W,0.519
2023-05-30,TOR,Home,MIL,W,0.527
2023-05-31,TOR,Home,MIL,L,0.518
2023-06-01,TOR,Home,MIL,W,0.526
2023-06-02,TOR,@,NYM,W,0.534
2023-06-03,TOR,@,NYM,W,0.542
2023-06-04,TOR,@,NYM,W,0.55
2023-06-05,TOR,Home,HOU,L,0.541
2023-06-06,TOR,Home,HOU,W,0.548
2023-06-07,TOR,Home,HOU,W,0.556
2023-06-08,TOR,Home,HOU,W,0.562
2023-06-09,TOR,Home,MIN,L,0.554
2023-06-10,TOR,Home,MIN,L,0.545
2023-06-11,TOR,Home,MIN,W,0.552
2023-06-13,TOR,@,BAL,L,0.544
2023-06-14,TOR,@,BAL,W,0.551
2023-06-15,TOR,@,BAL,L,0.543
2023-06-16,TOR,@,TEX,W,0.549
2023-06-17,TOR,@,TEX,L,0.542
2023-06-18,TOR,@,TEX,L,0.534
2023-06-19,TOR,@,MIA,L,0.527
2023-06-20,TOR,@,MIA,W,0.533
2023-06-21,TOR,@,MIA,W,0.539
2023-06-23,TOR,Home,OAK,L,0.532
2023-06-24,TOR,Home,OAK,W,0.538
2023-06-25,TOR,Home,OAK,W,0.544
2023-06-27,TOR,Home,SFG,L,0.538
2023-06-28,TOR,Home,SFG,W,0.543
2023-06-29,TOR,Home,SFG,W,0.549
2023-06-30,TOR,Home,BOS,L,0.542
2023-07-01,TOR,Home,BOS,L,0.536
2023-07-02,TOR,Home,BOS,L,0.529
2023-07-04,TOR,@,CHW,W,0.535
2023-07-06,TOR,@,CHW,W,0.54
2023-07-06,TOR,@,CHW,W,0.545
2023-07-07,TOR,@,DET,W,0.551
2023-07-08,TOR,@,DET,L,0.544
2023-07-09,TOR,@,DET,W,0.549
2023-07-14,TOR,Home,ARI,W,0.554
2023-07-15,TOR,Home,ARI,W,0.559
2023-07-16,TOR,Home,ARI,W,0.564
2023-07-18,TOR,Home,SDP,L,0.558
2023-07-19,TOR,Home,SDP,L,0.552
2023-07-20,TOR,Home,SDP,W,0.557
2023-07-21,TOR,@,SEA,L-wo,0.551
2023-07-22,TOR,@,SEA,L,0.545
2023-07-23,TOR,@,SEA,W,0.55
2023-07-24,TOR,@,LAD,W,0.554
2023-07-25,TOR,@,LAD,L-wo,0.549
2023-07-26,TOR,@,LAD,W,0.553
2023-07-28,TOR,Home,LAA,W,0.558
2023-07-29,TOR,Home,LAA,W,0.562
2023-07-30,TOR,Home,LAA,L,0.557
