date,team_ID,home_or_away,opponent,result,win_percentage
2024-03-28,LAA,@,BAL,L,0.0
2024-03-30,LAA,@,BAL,L,0.0
2024-03-31,LAA,@,BAL,W,0.333
2024-04-01,LAA,@,MIA,W,0.5
2024-04-02,LAA,@,MIA,W,0.6
2024-04-03,LAA,@,MIA,W,0.667
2024-04-05,LAA,Home,BOS,L,0.571
2024-04-06,LAA,Home,BOS,W,0.625
2024-04-07,LAA,Home,BOS,L,0.556
2024-04-08,LAA,Home,TBR,W,0.6
2024-04-09,LAA,Home,TBR,L,0.545
2024-04-10,LAA,Home,TBR,L,0.5
2024-04-12,LAA,@,BOS,W,0.538
2024-04-13,LAA,@,BOS,L,0.5
2024-04-14,LAA,@,BOS,L,0.467
2024-04-15,LAA,@,TBR,W,0.5
2024-04-16,LAA,@,TBR,L-wo,0.471
2024-04-17,LAA,@,TBR,W,0.5
2024-04-18,LAA,@,TBR,L,0.474
2024-04-19,LAA,@,CIN,L,0.45
2024-04-20,LAA,@,CIN,L,0.429
2024-04-21,LAA,@,CIN,L,0.409
2024-04-22,LAA,Home,BAL,L,0.391
2024-04-23,LAA,Home,BAL,W,0.417
2024-04-24,LAA,Home,BAL,L,0.4
2024-04-26,LAA,Home,MIN,L,0.385
2024-04-27,LAA,Home,MIN,L,0.37
2024-04-28,LAA,Home,MIN,L,0.357
2024-04-29,LAA,Home,PHI,W,0.379
2024-04-30,LAA,Home,PHI,L,0.367
2024-05-01,LAA,Home,PHI,L,0.355
2024-05-03,LAA,@,CLE,W,0.375
2024-05-04,LAA,@,CLE,L,0.364
2024-05-05,LAA,@,CLE,L,0.353
2024-05-06,LAA,@,PIT,L,0.343
2024-05-07,LAA,@,PIT,W,0.361
2024-05-08,LAA,@,PIT,W,0.378
2024-05-09,LAA,Home,KCR,L,0.368
2024-05-10,LAA,Home,KCR,L,0.359
2024-05-11,LAA,Home,KCR,W,0.375
2024-05-12,LAA,Home,KCR,L,0.366
2024-05-13,LAA,Home,STL,L,0.357
2024-05-14,LAA,Home,STL,L,0.349
2024-05-15,LAA,Home,STL,W,0.364
2024-05-17,LAA,@,TEX,W,0.378
2024-05-18,LAA,@,TEX,L-wo,0.37
2024-05-19,LAA,@,TEX,W,0.383
2024-05-20,LAA,@,HOU,W,0.396
2024-05-21,LAA,@,HOU,L-wo,0.388
2024-05-22,LAA,@,HOU,W,0.4
2024-05-24,LAA,Home,CLE,L,0.392
2024-05-25,LAA,Home,CLE,L,0.385
2024-05-26,LAA,Home,CLE,L,0.377
2024-05-28,LAA,Home,NYY,W,0.389
2024-05-29,LAA,Home,NYY,L,0.382
2024-05-30,LAA,Home,NYY,L,0.375
2024-05-31,LAA,@,SEA,L,0.368
2024-06-01,LAA,@,SEA,L,0.362
2024-06-02,LAA,@,SEA,L,0.356
2024-06-03,LAA,Home,SDP,W,0.367
2024-06-04,LAA,Home,SDP,W,0.377
2024-06-05,LAA,Home,SDP,W,0.387
2024-06-07,LAA,Home,HOU,L,0.381
2024-06-08,LAA,Home,HOU,L,0.375
2024-06-09,LAA,Home,HOU,W-wo,0.385
2024-06-11,LAA,@,ARI,L,0.379
2024-06-12,LAA,@,ARI,W,0.388
2024-06-13,LAA,@,ARI,L,0.382
2024-06-14,LAA,@,SFG,W,0.391
2024-06-15,LAA,@,SFG,W,0.4
2024-06-16,LAA,@,SFG,L,0.394
2024-06-17,LAA,Home,MIL,W,0.403
2024-06-18,LAA,Home,MIL,L,0.397
2024-06-19,LAA,Home,MIL,L,0.392
2024-06-21,LAA,@,LAD,W,0.4
2024-06-22,LAA,@,LAD,L,0.395
2024-06-24,LAA,Home,OAK,W,0.403
2024-06-25,LAA,Home,OAK,W,0.41
2024-06-26,LAA,Home,OAK,W,0.418
2024-06-27,LAA,Home,DET,W,0.425
2024-06-28,LAA,Home,DET,W,0.432
2024-06-29,LAA,Home,DET,W-wo,0.439
2024-06-30,LAA,Home,DET,L,0.434
2024-07-02,LAA,@,OAK,L,0.429
2024-07-03,LAA,@,OAK,L,0.424
2024-07-04,LAA,@,OAK,L,0.419
2024-07-05,LAA,@,CHC,L,0.414
2024-07-06,LAA,@,CHC,W,0.42
2024-07-07,LAA,@,CHC,L,0.416
2024-07-08,LAA,Home,TEX,L,0.411
2024-07-09,LAA,Home,TEX,L,0.407
2024-07-10,LAA,Home,TEX,W,0.413
2024-07-11,LAA,Home,SEA,L,0.409
2024-07-12,LAA,Home,SEA,W-wo,0.415
2024-07-13,LAA,Home,SEA,W,0.421
2024-07-14,LAA,Home,SEA,W,0.427
2024-07-19,LAA,@,OAK,L,0.423
2024-07-20,LAA,@,OAK,L,0.418
2024-07-21,LAA,@,OAK,W,0.424
2024-07-22,LAA,@,SEA,W,0.43
2024-07-23,LAA,@,SEA,W,0.436
2024-07-24,LAA,@,SEA,W,0.441
2024-07-25,LAA,Home,OAK,L,0.437
2024-07-26,LAA,Home,OAK,L,0.433
2024-07-27,LAA,Home,OAK,L,0.429
2024-07-28,LAA,Home,OAK,W,0.434
2024-07-30,LAA,Home,COL,W,0.439
2024-07-31,LAA,Home,COL,L,0.435
