date,team_ID,home_or_away,opponent,result,win_percentage
2024-03-28,MIN,@,KCR,W,1.0
2024-03-30,MIN,@,KCR,W,1.0
2024-03-31,MIN,@,KCR,L,0.667
2024-04-02,MIN,@,MIL,L,0.5
2024-04-03,MIN,@,MIL,W,0.6
2024-04-04,MIN,Home,CLE,L,0.5
2024-04-06,MIN,Home,CLE,L,0.429
2024-04-08,MIN,Home,LAD,L,0.375
2024-04-09,MIN,Home,LAD,L,0.333
2024-04-10,MIN,Home,LAD,W,0.4
2024-04-12,MIN,@,DET,L,0.364
2024-04-13,MIN,@,DET,W,0.417
2024-04-13,MIN,@,DET,W,0.462
2024-04-14,MIN,@,DET,L,0.429
2024-04-15,MIN,@,BAL,L,0.4
2024-04-16,MIN,@,BAL,L,0.375
2024-04-17,MIN,@,BAL,L-wo,0.353
2024-04-19,MIN,Home,DET,L,0.333
2024-04-20,MIN,Home,DET,W,0.368
2024-04-21,MIN,Home,DET,L,0.35
2024-04-22,MIN,Home,CHW,W,0.381
2024-04-23,MIN,Home,CHW,W-wo,0.409
2024-04-24,MIN,Home,CHW,W,0.435
2024-04-25,MIN,Home,CHW,W,0.458
2024-04-26,MIN,@,LAA,W,0.48
2024-04-27,MIN,@,LAA,W,0.5
2024-04-28,MIN,@,LAA,W,0.519
2024-04-29,MIN,@,CHW,W,0.536
2024-04-30,MIN,@,CHW,W,0.552
2024-05-01,MIN,@,CHW,W,0.567
2024-05-03,MIN,Home,BOS,W,0.581
2024-05-04,MIN,Home,BOS,W,0.594
2024-05-05,MIN,Home,BOS,L,0.576
2024-05-06,MIN,Home,SEA,W,0.588
2024-05-07,MIN,Home,SEA,L,0.571
2024-05-08,MIN,Home,SEA,W,0.583
2024-05-09,MIN,Home,SEA,W,0.595
2024-05-10,MIN,@,TOR,W,0.605
2024-05-11,MIN,@,TOR,L,0.59
2024-05-12,MIN,@,TOR,W,0.6
2024-05-14,MIN,Home,NYY,L,0.585
2024-05-15,MIN,Home,NYY,L,0.571
2024-05-16,MIN,Home,NYY,L,0.558
2024-05-17,MIN,@,CLE,L,0.545
2024-05-18,MIN,@,CLE,L,0.533
2024-05-19,MIN,@,CLE,L-wo,0.522
2024-05-20,MIN,@,WSN,L,0.511
2024-05-21,MIN,@,WSN,W,0.521
2024-05-22,MIN,@,WSN,W,0.531
2024-05-24,MIN,Home,TEX,W,0.54
2024-05-25,MIN,Home,TEX,W,0.549
2024-05-26,MIN,Home,TEX,L,0.538
2024-05-27,MIN,Home,KCR,W,0.547
2024-05-28,MIN,Home,KCR,W,0.556
2024-05-29,MIN,Home,KCR,L,0.545
2024-05-30,MIN,Home,KCR,W,0.554
2024-05-31,MIN,@,HOU,W,0.561
2024-06-01,MIN,@,HOU,L,0.552
2024-06-02,MIN,@,HOU,W,0.559
2024-06-04,MIN,@,NYY,L,0.55
2024-06-05,MIN,@,NYY,L,0.541
2024-06-06,MIN,@,NYY,L,0.532
2024-06-07,MIN,@,PIT,L,0.524
2024-06-08,MIN,@,PIT,L,0.516
2024-06-09,MIN,@,PIT,W,0.523
2024-06-10,MIN,Home,COL,W,0.53
2024-06-11,MIN,Home,COL,L,0.522
2024-06-12,MIN,Home,COL,W,0.529
2024-06-13,MIN,Home,OAK,W,0.536
2024-06-14,MIN,Home,OAK,W-wo,0.543
2024-06-16,MIN,Home,OAK,W,0.549
2024-06-16,MIN,Home,OAK,W,0.556
2024-06-18,MIN,Home,TBR,W-wo,0.562
