date,team_ID,home_or_away,opponent,result,win_percentage
2024-03-28,NYY,@,HOU,W,1.0
2024-03-29,NYY,@,HOU,W,1.0
2024-03-30,NYY,@,HOU,W,1.0
2024-03-31,NYY,@,HOU,W,1.0
2024-04-01,NYY,@,ARI,W,1.0
2024-04-02,NYY,@,ARI,L,0.833
2024-04-03,NYY,@,ARI,W,0.857
2024-04-05,NYY,Home,TOR,L,0.75
2024-04-06,NYY,Home,TOR,W,0.778
2024-04-07,NYY,Home,TOR,W,0.8
2024-04-08,NYY,Home,MIA,W,0.818
2024-04-09,NYY,Home,MIA,W,0.833
2024-04-10,NYY,Home,MIA,L,0.769
2024-04-13,NYY,@,CLE,W,0.786
2024-04-13,NYY,@,CLE,W,0.8
2024-04-14,NYY,@,CLE,L-wo,0.75
2024-04-15,NYY,@,TOR,L,0.706
2024-04-16,NYY,@,TOR,L,0.667
2024-04-17,NYY,@,TOR,W,0.684
2024-04-19,NYY,Home,TBR,W,0.7
2024-04-20,NYY,Home,TBR,L,0.667
2024-04-21,NYY,Home,TBR,W,0.682
2024-04-22,NYY,Home,OAK,L,0.652
2024-04-23,NYY,Home,OAK,W,0.667
2024-04-24,NYY,Home,OAK,W,0.68
2024-04-25,NYY,Home,OAK,L,0.654
2024-04-26,NYY,@,MIL,L-wo,0.63
2024-04-27,NYY,@,MIL,W,0.643
2024-04-28,NYY,@,MIL,W,0.655
2024-04-29,NYY,@,BAL,L,0.633
2024-04-30,NYY,@,BAL,L,0.613
2024-05-01,NYY,@,BAL,W,0.625
2024-05-02,NYY,@,BAL,L,0.606
2024-05-03,NYY,Home,DET,W-wo,0.618
2024-05-04,NYY,Home,DET,W,0.629
2024-05-05,NYY,Home,DET,W,0.639
2024-05-07,NYY,Home,HOU,W,0.649
2024-05-08,NYY,Home,HOU,W,0.658
2024-05-09,NYY,Home,HOU,L,0.641
2024-05-10,NYY,@,TBR,W,0.65
2024-05-11,NYY,@,TBR,L,0.634
2024-05-12,NYY,@,TBR,W,0.643
2024-05-14,NYY,@,MIN,W,0.651
2024-05-15,NYY,@,MIN,W,0.659
2024-05-16,NYY,@,MIN,W,0.667
2024-05-17,NYY,Home,CHW,W,0.674
2024-05-18,NYY,Home,CHW,W,0.681
2024-05-19,NYY,Home,CHW,W,0.688
2024-05-20,NYY,Home,SEA,L,0.673
2024-05-21,NYY,Home,SEA,L,0.66
2024-05-22,NYY,Home,SEA,W,0.667
2024-05-23,NYY,Home,SEA,W,0.673
2024-05-24,NYY,@,SDP,W,0.679
2024-05-25,NYY,@,SDP,W,0.685
2024-05-26,NYY,@,SDP,L,0.673
2024-05-28,NYY,@,LAA,L,0.661
2024-05-29,NYY,@,LAA,W,0.667
2024-05-30,NYY,@,LAA,W,0.672
2024-05-31,NYY,@,SFG,W,0.678
2024-06-01,NYY,@,SFG,W,0.683
2024-06-02,NYY,@,SFG,W,0.689
2024-06-04,NYY,Home,MIN,W,0.694
2024-06-05,NYY,Home,MIN,W,0.698
2024-06-06,NYY,Home,MIN,W,0.703
2024-06-07,NYY,Home,LAD,L,0.692
2024-06-08,NYY,Home,LAD,L,0.682
2024-06-09,NYY,Home,LAD,W,0.687
2024-06-10,NYY,@,KCR,W,0.691
2024-06-11,NYY,@,KCR,W,0.696
2024-06-12,NYY,@,KCR,W,0.7
2024-06-13,NYY,@,KCR,L-wo,0.69
2024-06-14,NYY,@,BOS,W,0.694
2024-06-15,NYY,@,BOS,L,0.685
2024-06-16,NYY,@,BOS,L,0.676
2024-06-18,NYY,Home,BAL,W,0.68
2024-06-19,NYY,Home,BAL,L,0.671
2024-06-20,NYY,Home,BAL,L,0.662
2024-06-21,NYY,Home,ATL,L,0.654
2024-06-22,NYY,Home,ATL,W,0.658
2024-06-23,NYY,Home,ATL,L,0.65
2024-06-25,NYY,@,NYM,L,0.642
2024-06-26,NYY,@,NYM,L,0.634
2024-06-27,NYY,@,TOR,L,0.627
2024-06-28,NYY,@,TOR,W,0.631
2024-06-29,NYY,@,TOR,L,0.624
2024-06-30,NYY,@,TOR,W,0.628
2024-07-02,NYY,Home,CIN,L,0.621
2024-07-03,NYY,Home,CIN,L,0.614
2024-07-04,NYY,Home,CIN,L,0.607
2024-07-05,NYY,Home,BOS,L,0.6
2024-07-06,NYY,Home,BOS,W,0.604
2024-07-07,NYY,Home,BOS,L,0.598
2024-07-09,NYY,@,TBR,L,0.591
2024-07-10,NYY,@,TBR,W,0.596
2024-07-11,NYY,@,TBR,L,0.589
2024-07-12,NYY,@,BAL,W,0.594
2024-07-13,NYY,@,BAL,W,0.598
2024-07-14,NYY,@,BAL,L-wo,0.592
2024-07-19,NYY,Home,TBR,W,0.596
2024-07-20,NYY,Home,TBR,L,0.59
2024-07-21,NYY,Home,TBR,L,0.584
2024-07-22,NYY,Home,TBR,W,0.588
