date,team_ID,home_or_away,opponent,result,win_percentage
2024-03-28,TEX,Home,CHC,W-wo,1.0
2024-03-30,TEX,Home,CHC,W,1.0
2024-03-31,TEX,Home,CHC,L,0.667
2024-04-01,TEX,@,TBR,W,0.75
2024-04-02,TEX,@,TBR,L,0.6
2024-04-03,TEX,@,TBR,W,0.667
2024-04-05,TEX,Home,HOU,W,0.714
2024-04-06,TEX,Home,HOU,W,0.75
2024-04-07,TEX,Home,HOU,L,0.667
2024-04-08,TEX,Home,HOU,L,0.6
2024-04-09,TEX,Home,OAK,L,0.545
2024-04-10,TEX,Home,OAK,W,0.583
2024-04-11,TEX,Home,OAK,L,0.538
2024-04-12,TEX,@,HOU,W,0.571
2024-04-13,TEX,@,HOU,L,0.533
2024-04-14,TEX,@,HOU,L,0.5
2024-04-15,TEX,@,DET,W,0.529
2024-04-16,TEX,@,DET,L,0.5
2024-04-17,TEX,@,DET,W,0.526
2024-04-18,TEX,@,DET,W,0.55
2024-04-19,TEX,@,ATL,L,0.524
2024-04-20,TEX,@,ATL,L,0.5
2024-04-21,TEX,@,ATL,W,0.522
2024-04-23,TEX,Home,SEA,L,0.5
2024-04-24,TEX,Home,SEA,W,0.52
2024-04-25,TEX,Home,SEA,L,0.5
2024-04-26,TEX,Home,CIN,W,0.519
2024-04-27,TEX,Home,CIN,L,0.5
2024-04-28,TEX,Home,CIN,W,0.517
2024-04-30,TEX,Home,WSN,W,0.533
2024-05-01,TEX,Home,WSN,L,0.516
2024-05-02,TEX,Home,WSN,W,0.531
2024-05-03,TEX,@,KCR,L,0.515
2024-05-04,TEX,@,KCR,W,0.529
2024-05-05,TEX,@,KCR,W,0.543
2024-05-06,TEX,@,OAK,W,0.556
2024-05-07,TEX,@,OAK,W,0.568
2024-05-08,TEX,@,OAK,L,0.553
2024-05-08,TEX,@,OAK,W,0.564
2024-05-10,TEX,@,COL,L,0.55
2024-05-11,TEX,@,COL,L,0.537
2024-05-12,TEX,@,COL,L,0.524
2024-05-13,TEX,Home,CLE,L,0.512
2024-05-14,TEX,Home,CLE,L,0.5
2024-05-15,TEX,Home,CLE,W,0.511
2024-05-17,TEX,Home,LAA,L,0.5
2024-05-18,TEX,Home,LAA,W-wo,0.511
2024-05-19,TEX,Home,LAA,L,0.5
2024-05-21,TEX,@,PHI,L,0.49
2024-05-22,TEX,@,PHI,L,0.48
2024-05-23,TEX,@,PHI,L,0.471
2024-05-24,TEX,@,MIN,L,0.462
2024-05-25,TEX,@,MIN,L,0.453
2024-05-26,TEX,@,MIN,W,0.463
2024-05-28,TEX,Home,ARI,W,0.473
2024-05-29,TEX,Home,ARI,W,0.482
2024-05-31,TEX,@,MIA,L,0.474
2024-06-01,TEX,@,MIA,W,0.483
2024-06-02,TEX,@,MIA,W,0.492
