date,team_ID,home_or_away,opponent,result,win_percentage
2024-03-28,WSN,@,CIN,L,0.0
2024-03-30,WSN,@,CIN,W,0.5
2024-03-31,WSN,@,CIN,L-wo,0.333
2024-04-01,WSN,Home,PIT,L,0.25
2024-04-03,WSN,Home,PIT,W,0.4
2024-04-04,WSN,Home,PIT,L,0.333
2024-04-05,WSN,Home,PHI,L,0.286
2024-04-06,WSN,Home,PHI,L,0.25
2024-04-07,WSN,Home,PHI,W,0.333
2024-04-08,WSN,@,SFG,W,0.4
2024-04-09,WSN,@,SFG,W,0.455
2024-04-10,WSN,@,SFG,L,0.417
2024-04-12,WSN,@,OAK,L-wo,0.385
2024-04-13,WSN,@,OAK,W,0.429
2024-04-14,WSN,@,OAK,L,0.4
2024-04-15,WSN,@,LAD,W,0.438
2024-04-16,WSN,@,LAD,L,0.412
2024-04-17,WSN,@,LAD,W,0.444
2024-04-19,WSN,Home,HOU,L,0.421
2024-04-20,WSN,Home,HOU,W-wo,0.45
2024-04-21,WSN,Home,HOU,W,0.476
2024-04-23,WSN,Home,LAD,L,0.455
2024-04-24,WSN,Home,LAD,L,0.435
2024-04-25,WSN,Home,LAD,L,0.417
2024-04-26,WSN,@,MIA,W,0.44
2024-04-27,WSN,@,MIA,W,0.462
2024-04-28,WSN,@,MIA,W,0.481
2024-04-29,WSN,@,MIA,W,0.5
2024-04-30,WSN,@,TEX,L,0.483
2024-05-01,WSN,@,TEX,W,0.5
2024-05-02,WSN,@,TEX,L,0.484
2024-05-03,WSN,Home,TOR,W,0.5
2024-05-04,WSN,Home,TOR,L,0.485
2024-05-05,WSN,Home,TOR,W,0.5
2024-05-07,WSN,Home,BAL,W,0.514
2024-05-08,WSN,Home,BAL,L,0.5
2024-05-10,WSN,@,BOS,W,0.514
2024-05-11,WSN,@,BOS,L,0.5
2024-05-12,WSN,@,BOS,L,0.487
2024-05-14,WSN,@,CHW,W,0.5
2024-05-14,WSN,@,CHW,L,0.488
2024-05-15,WSN,@,CHW,L,0.476
2024-05-17,WSN,@,PHI,L,0.465
2024-05-18,WSN,@,PHI,L-wo,0.455
2024-05-19,WSN,@,PHI,L,0.444
2024-05-20,WSN,Home,MIN,W,0.457
2024-05-21,WSN,Home,MIN,L,0.447
2024-05-22,WSN,Home,MIN,L,0.438
2024-05-24,WSN,Home,SEA,W,0.449
2024-05-25,WSN,Home,SEA,W,0.46
2024-05-26,WSN,Home,SEA,L,0.451
2024-05-27,WSN,@,ATL,W,0.462
2024-05-28,WSN,@,ATL,L,0.453
2024-05-29,WSN,@,ATL,W,0.463
2024-05-30,WSN,@,ATL,W,0.473
2024-05-31,WSN,@,CLE,L,0.464
2024-06-01,WSN,@,CLE,L,0.456
2024-06-02,WSN,@,CLE,W,0.466
2024-06-03,WSN,Home,NYM,L,0.458
2024-06-04,WSN,Home,NYM,L,0.45
2024-06-05,WSN,Home,NYM,L,0.443
2024-06-06,WSN,Home,ATL,L,0.435
2024-06-07,WSN,Home,ATL,W,0.444
2024-06-08,WSN,Home,ATL,W,0.453
2024-06-09,WSN,Home,ATL,W,0.462
2024-06-11,WSN,@,DET,W,0.47
