gameId,startDate,homeTeam,awayTeam,homePitcher,awayPitcher,homeScore,awayScore,betmgm_opening_homeOdds,betmgm_opening_awayOdds,betmgm_current_homeOdds,betmgm_current_awayOdds,fanduel_opening_homeOdds,fanduel_opening_awayOdds,fanduel_current_homeOdds,fanduel_current_awayOdds,caesars_opening_homeOdds,caesars_opening_awayOdds,caesars_current_homeOdds,caesars_current_awayOdds,bet365_opening_homeOdds,bet365_opening_awayOdds,bet365_current_homeOdds,bet365_current_awayOdds,draftkings_opening_homeOdds,draftkings_opening_awayOdds,draftkings_current_homeOdds,draftkings_current_awayOdds,homeTeam_abbr,awayTeam_abbr,year,game_date,homeTeam_win_pct,awayTeam_win_pct,homeTeam_batting_avg,awayTeam_batting_avg,homePitcher_normalized,awayPitcher_normalized,game_year,homePitcher_era,awayPitcher_era,alpha,beta,gamma,X
259014,2022-05-21T00:10:00+00:00,Milwaukee,Washington,Eric Lauer,Erick Fedde,7,0,-190.0,155.0,-225.0,180.0,-190.0,160.0,-260.0,190.0,-179.0,160.0,-208.0,180.0,-192.0,167.0,-225.0,185.0,-170.0,150.0,-245.0,185.0,MIL,WSN,2022,2022-05-21,0.641,0.325,0.23328,0.249616,Eric Lauer,Erick Fedde,2022,2.16,4.08,1.9723076923076923,0.9345554772129991,1.8888888888888888,1
259007,2022-05-21T00:10:00+00:00,Houston,Texas,Cristian Javier,Martin Perez,0,3,-185.0,150.0,-175.0,145.0,-190.0,160.0,-174.0,146.0,-161.0,140.0,-175.0,155.0,-170.0,150.0,-170.0,150.0,-160.0,140.0,-165.0,145.0,HOU,TEX,2022,2022-05-21,0.625,0.474,0.231481,0.221405,Cristian Javier,Martin Perez,2022,2.87,1.64,1.3185654008438819,1.0455093606738781,0.5714285714285714,0
259026,2022-05-21T17:05:00+00:00,NY Yankees,Chi. White Sox,Nestor Cortes,Dallas Keuchel,7,5,-225.0,180.0,-225.0,180.0,-220.0,184.0,-230.0,190.0,-222.0,190.0,-222.0,190.0,-220.0,180.0,-225.0,185.0,-155.0,135.0,-210.0,165.0,NYY,CHW,2022,2022-05-21,0.737,0.5,0.245433,0.231073,Nestor Cortes,Dallas Keuchel,2022,1.35,5.54,1.474,1.0621448633115942,4.103703703703704,1
259023,2022-05-21T19:07:00+00:00,Toronto,Cincinnati,Alek Manoah,Hunter Greene,3,1,-250.0,200.0,-275.0,220.0,-250.0,205.0,-260.0,215.0,-256.0,215.0,-256.0,215.0,-260.0,215.0,-270.0,220.0,-220.0,180.0,-250.0,200.0,TOR,CIN,2022,2022-05-21,0.538,0.289,0.2343,0.218593,Alek Manoah,Hunter Greene,2022,1.71,6.21,1.8615916955017304,1.0718549999313793,3.6315789473684212,1
265633,2022-05-21T19:10:00+00:00,Colorado,NY Mets,German Marquez,Carlos Carrasco,1,5,-105.0,-115.0,105.0,-125.0,-102.0,-116.0,116.0,-136.0,105.0,-125.0,105.0,-125.0,105.0,-125.0,125.0,-145.0,105.0,-125.0,120.0,-140.0,COL,NYM,2022,2022-05-21,0.486,0.65,0.263789,0.252246,German Marquez,Carlos Carrasco,2022,6.16,3.73,0.7476923076923077,1.0457608842162016,0.6055194805194805,0
259018,2022-05-21T20:10:00+00:00,Boston,Seattle,Garrett Whitlock,Chris Flexen,6,5,-150.0,125.0,-155.0,125.0,-156.0,132.0,-164.0,138.0,-154.0,135.0,-154.0,135.0,-145.0,125.0,-160.0,140.0,-135.0,115.0,-160.0,140.0,BOS,SEA,2022,2022-05-21,0.436,0.425,0.241886,0.232666,Garrett Whitlock,Chris Flexen,2022,2.43,4.35,1.0258823529411765,1.0396276207095148,1.7901234567901232,1
259025,2022-05-21T22:05:00+00:00,Philadelphia,LA Dodgers,Aaron Nola,Mitch White,4,7,-125.0,105.0,-120.0,100.0,-132.0,112.0,-120.0,102.0,-125.0,105.0,-125.0,105.0,-125.0,105.0,-120.0,100.0,-130.0,110.0,-115.0,-115.0,PHI,LAD,2022,2022-05-21,0.462,0.684,0.250784,0.244898,Aaron Nola,Mitch White,2022,3.64,4.82,0.6754385964912281,1.0240344959942507,1.3241758241758241,0
259028,2022-05-21T22:10:00+00:00,Miami,Atlanta,Elieser Hernandez,Kyle Wright,3,4,110.0,-135.0,125.0,-150.0,120.0,-142.0,118.0,-138.0,120.0,-141.0,125.0,-145.0,110.0,-130.0,130.0,-150.0,130.0,-150.0,120.0,-150.0,MIA,ATL,2022,2022-05-21,0.447,0.462,0.24257,0.223108,Elieser Hernandez,Kyle Wright,2022,6.15,2.79,0.9675324675324675,1.087231296053929,0.4536585365853658,0
259020,2022-05-21T22:35:00+00:00,Pittsburgh,St. Louis,Jose Quintana,Matthew Liberatore,4,5,115.0,-140.0,120.0,-145.0,120.0,-142.0,100.0,-128.0,115.0,-135.0,125.0,-145.0,115.0,-135.0,115.0,-135.0,115.0,-135.0,120.0,-140.0,PIT,STL,2022,2022-05-21,0.421,0.538,0.224354,0.249024,Jose Quintana,Matthew Liberatore,2022,2.19,,0.7825278810408921,0.900933243382164,,0
259029,2022-05-21T23:10:00+00:00,Milwaukee,Washington,Brandon Woodruff,Patrick Corbin,5,1,-200.0,170.0,-225.0,180.0,-220.0,184.0,-250.0,188.0,-213.0,185.0,-233.0,195.0,-210.0,175.0,-250.0,210.0,-165.0,145.0,-245.0,185.0,MIL,WSN,2022,2022-05-21,0.641,0.325,0.23328,0.249616,Brandon Woodruff,Patrick Corbin,2022,5.35,6.28,1.9723076923076923,0.9345554772129991,1.1738317757009347,1
259022,2022-05-21T23:10:00+00:00,Houston,Texas,Justin Verlander,Jon Gray,2,1,-250.0,200.0,-225.0,180.0,-245.0,200.0,-192.0,150.0,-244.0,205.0,-263.0,220.0,-250.0,210.0,-225.0,185.0,-235.0,190.0,-235.0,180.0,HOU,TEX,2022,2022-05-21,0.625,0.474,0.231481,0.221405,Justin Verlander,Jon Gray,2022,1.38,5.73,1.3185654008438819,1.0455093606738781,4.1521739130434785,1
