Game Date,Day of Week,Local Time,Time - ET,Game,Away Team,Home Team,Location
3/18/25,Tuesday,6:00 AM,6:00 AM,Dodgers at Cubs,Dodgers,Cubs,Tokyo Dome - Tokyo
3/19/25,Wednesday,6:00 AM,6:00 AM,Dodgers at Cubs,Dodgers,Cubs,Tokyo Dome - Tokyo
3/27/25,Thursday,3:10 PM,4:10 PM,Mets at Astros,Mets,Astros,Daikin Park - Houston
3/27/25,Thursday,3:07 PM,3:07 PM,Orioles at Blue Jays,Orioles,Blue Jays,Rogers Centre - Toronto
3/27/25,Thursday,3:15 PM,4:15 PM,Twins at Cardinals,Twins,Cardinals,Busch Stadium - St. Louis
3/27/25,Thursday,7:10 PM,10:10 PM,Cubs at D-backs,Cubs,D-backs,Chase Field - Phoenix
3/27/25,Thursday,4:10 PM,7:10 PM,Tigers at Dodgers,Tigers,Dodgers,Dodger Stadium - Los Angeles
3/27/25,Thursday,7:10 PM,10:10 PM,Athletics at Mariners,Athletics,Mariners,T-Mobile Park - Seattle
3/27/25,Thursday,4:10 PM,4:10 PM,Pirates at Marlins,Pirates,Marlins,loanDepot park - Miami
3/27/25,Thursday,4:05 PM,4:05 PM,Phillies at Nationals,Phillies,Nationals,Nationals Park - Washington
3/27/25,Thursday,1:10 PM,4:10 PM,Braves at Padres,Braves,Padres,Petco Park - San Diego
3/27/25,Thursday,3:05 PM,4:05 PM,Red Sox at Rangers,Red Sox,Rangers,Globe Life Field - Arlington
3/27/25,Thursday,4:10 PM,4:10 PM,Giants at Reds,Giants,Reds,Great American Ball Park - Cincinnati
3/27/25,Thursday,3:10 PM,4:10 PM,Guardians at Royals,Guardians,Royals,Kauffman Stadium - Kansas City
3/27/25,Thursday,3:10 PM,4:10 PM,Angels at White Sox,Angels,White Sox,Rate Field - Chicago
3/27/25,Thursday,3:05 PM,3:05 PM,Brewers at Yankees,Brewers,Yankees,Yankee Stadium - Bronx
3/28/25,Friday,7:10 PM,8:10 PM,Mets at Astros,Mets,Astros,Daikin Park - Houston
3/28/25,Friday,7:07 PM,7:07 PM,Orioles at Blue Jays,Orioles,Blue Jays,Rogers Centre - Toronto
3/28/25,Friday,6:40 PM,9:40 PM,Cubs at D-backs,Cubs,D-backs,Chase Field - Phoenix
3/28/25,Friday,7:10 PM,10:10 PM,Tigers at Dodgers,Tigers,Dodgers,Dodger Stadium - Los Angeles
3/28/25,Friday,6:40 PM,9:40 PM,Athletics at Mariners,Athletics,Mariners,T-Mobile Park - Seattle
3/28/25,Friday,7:10 PM,7:10 PM,Pirates at Marlins,Pirates,Marlins,loanDepot park - Miami
3/28/25,Friday,6:40 PM,9:40 PM,Braves at Padres,Braves,Padres,Petco Park - San Diego
3/28/25,Friday,7:05 PM,8:05 PM,Red Sox at Rangers,Red Sox,Rangers,Globe Life Field - Arlington
3/28/25,Friday,4:10 PM,4:10 PM,Rockies at Rays,Rockies,Rays,George M. Steinbrenner Field - Tampa
3/29/25,Saturday,6:15 PM,7:15 PM,Mets at Astros,Mets,Astros,Daikin Park - Houston
3/29/25,Saturday,3:07 PM,3:07 PM,Orioles at Blue Jays,Orioles,Blue Jays,Rogers Centre - Toronto
3/29/25,Saturday,1:15 PM,2:15 PM,Twins at Cardinals,Twins,Cardinals,Busch Stadium - St. Louis
3/29/25,Saturday,5:10 PM,8:10 PM,Cubs at D-backs,Cubs,D-backs,Chase Field - Phoenix
3/29/25,Saturday,6:10 PM,9:10 PM,Tigers at Dodgers,Tigers,Dodgers,Dodger Stadium - Los Angeles
3/29/25,Saturday,6:40 PM,9:40 PM,Athletics at Mariners,Athletics,Mariners,T-Mobile Park - Seattle
3/29/25,Saturday,4:10 PM,4:10 PM,Pirates at Marlins,Pirates,Marlins,loanDepot park - Miami
3/29/25,Saturday,4:05 PM,4:05 PM,Phillies at Nationals,Phillies,Nationals,Nationals Park - Washington
3/29/25,Saturday,4:15 PM,7:15 PM,Braves at Padres,Braves,Padres,Petco Park - San Diego
3/29/25,Saturday,6:05 PM,7:05 PM,Red Sox at Rangers,Red Sox,Rangers,Globe Life Field - Arlington
3/29/25,Saturday,4:10 PM,4:10 PM,Rockies at Rays,Rockies,Rays,George M. Steinbrenner Field - Tampa
3/29/25,Saturday,4:10 PM,4:10 PM,Giants at Reds,Giants,Reds,Great American Ball Park - Cincinnati
3/29/25,Saturday,3:10 PM,4:10 PM,Guardians at Royals,Guardians,Royals,Kauffman Stadium - Kansas City
3/29/25,Saturday,1:10 PM,2:10 PM,Angels at White Sox,Angels,White Sox,Rate Field - Chicago
3/29/25,Saturday,1:05 PM,1:05 PM,Brewers at Yankees,Brewers,Yankees,Yankee Stadium - Bronx
3/30/25,Sunday,1:37 PM,1:37 PM,Orioles at Blue Jays,Orioles,Blue Jays,Rogers Centre - Toronto
3/30/25,Sunday,1:15 PM,2:15 PM,Twins at Cardinals,Twins,Cardinals,Busch Stadium - St. Louis
3/30/25,Sunday,1:10 PM,4:10 PM,Cubs at D-backs,Cubs,D-backs,Chase Field - Phoenix
3/30/25,Sunday,1:10 PM,4:10 PM,Athletics at Mariners,Athletics,Mariners,T-Mobile Park - Seattle
