date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-08,CHW,@,DET,L-wo,0.0
2022-04-09,CHW,@,DET,W,0.5
2022-04-10,CHW,@,DET,W,0.667
2022-04-12,CHW,Home,SEA,W,0.75
2022-04-13,CHW,Home,SEA,W,0.8
2022-04-14,CHW,Home,SEA,L,0.667
2022-04-15,CHW,Home,TBR,W,0.714
2022-04-16,CHW,Home,TBR,W,0.75
2022-04-17,CHW,Home,TBR,L,0.667
2022-04-20,CHW,@,CLE,L,0.6
2022-04-20,CHW,@,CLE,L,0.545
2022-04-21,CHW,@,CLE,L,0.5
2022-04-22,CHW,@,MIN,L,0.462
2022-04-23,CHW,@,MIN,L,0.429
2022-04-24,CHW,@,MIN,L-wo,0.4
2022-04-26,CHW,Home,KCR,L,0.375
2022-04-27,CHW,Home,KCR,W,0.412
2022-04-28,CHW,Home,KCR,L,0.389
2022-04-29,CHW,Home,LAA,L,0.368
2022-04-30,CHW,Home,LAA,W,0.4
2022-05-01,CHW,Home,LAA,L,0.381
2022-05-02,CHW,Home,LAA,W,0.409
2022-05-03,CHW,@,CHC,W,0.435
2022-05-04,CHW,@,CHC,W,0.458
2022-05-06,CHW,@,BOS,W,0.48
2022-05-07,CHW,@,BOS,W,0.5
2022-05-08,CHW,@,BOS,W,0.519
2022-05-09,CHW,Home,CLE,L,0.5
2022-05-10,CHW,Home,CLE,W,0.517
2022-05-12,CHW,Home,NYY,L,0.5
2022-05-13,CHW,Home,NYY,L,0.484
2022-05-14,CHW,Home,NYY,W-wo,0.5
2022-05-15,CHW,Home,NYY,L,0.485
2022-05-16,CHW,@,KCR,W,0.5
2022-05-17,CHW,@,KCR,W,0.514
2022-05-17,CHW,@,KCR,L,0.5
2022-05-18,CHW,@,KCR,L,0.486
2022-05-19,CHW,@,KCR,W,0.5
2022-05-21,CHW,@,NYY,L,0.487
2022-05-22,CHW,@,NYY,W,0.5
2022-05-22,CHW,@,NYY,W,0.512
2022-05-24,CHW,Home,BOS,L,0.5
2022-05-25,CHW,Home,BOS,W,0.512
2022-05-26,CHW,Home,BOS,L,0.5
2022-05-28,CHW,Home,CHC,L,0.489
2022-05-29,CHW,Home,CHC,W-wo,0.5
2022-05-31,CHW,@,TOR,L,0.489
2022-06-01,CHW,@,TOR,L,0.479
2022-06-02,CHW,@,TOR,L,0.469
2022-06-03,CHW,@,TBR,L,0.46
2022-06-04,CHW,@,TBR,W,0.471
2022-06-05,CHW,@,TBR,W,0.481
2022-06-07,CHW,Home,LAD,W,0.491
2022-06-08,CHW,Home,LAD,L,0.481
2022-06-09,CHW,Home,LAD,L,0.473
2022-06-10,CHW,Home,TEX,W,0.482
2022-06-11,CHW,Home,TEX,L,0.474
2022-06-12,CHW,Home,TEX,L,0.466
2022-06-13,CHW,@,DET,W,0.475
2022-06-14,CHW,@,DET,W,0.483
2022-06-15,CHW,@,DET,W,0.492
2022-06-17,CHW,@,HOU,L,0.484
2022-06-18,CHW,@,HOU,W,0.492
2022-06-19,CHW,@,HOU,L,0.484
2022-06-20,CHW,Home,TOR,W,0.492
2022-06-21,CHW,Home,TOR,W-wo,0.5
2022-06-22,CHW,Home,TOR,L,0.493
2022-06-23,CHW,Home,BAL,L,0.485
2022-06-24,CHW,Home,BAL,L,0.478
2022-06-25,CHW,Home,BAL,L,0.471
2022-06-26,CHW,Home,BAL,W,0.479
2022-06-27,CHW,@,LAA,L,0.472
2022-06-28,CHW,@,LAA,W,0.479
2022-06-29,CHW,@,LAA,L,0.473
2022-07-01,CHW,@,SFG,W,0.48
2022-07-02,CHW,@,SFG,W,0.487
2022-07-03,CHW,@,SFG,W,0.494
2022-07-04,CHW,Home,MIN,L,0.487
2022-07-05,CHW,Home,MIN,L,0.481
2022-07-06,CHW,Home,MIN,W-wo,0.488
2022-07-07,CHW,Home,DET,L,0.481
2022-07-08,CHW,Home,DET,L,0.476
2022-07-09,CHW,Home,DET,W,0.482
2022-07-10,CHW,Home,DET,W,0.488
2022-07-11,CHW,@,CLE,L,0.482
2022-07-12,CHW,@,CLE,L,0.477
2022-07-12,CHW,@,CLE,W,0.483
2022-07-13,CHW,@,CLE,W,0.489
2022-07-14,CHW,@,MIN,W,0.494
2022-07-15,CHW,@,MIN,W,0.5
2022-07-16,CHW,@,MIN,L,0.495
2022-07-17,CHW,@,MIN,W,0.5
2022-07-22,CHW,Home,CLE,L,0.495
2022-07-23,CHW,Home,CLE,L,0.489
