date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-07,LAA,Home,HOU,L,0.0
2022-04-08,LAA,Home,HOU,L,0.0
2022-04-09,LAA,Home,HOU,W,0.333
2022-04-10,LAA,Home,HOU,L,0.25
2022-04-11,LAA,Home,MIA,W,0.4
2022-04-12,LAA,Home,MIA,W-wo,0.5
2022-04-14,LAA,@,TEX,L,0.429
2022-04-15,LAA,@,TEX,W,0.5
2022-04-16,LAA,@,TEX,W,0.556
2022-04-17,LAA,@,TEX,W,0.6
2022-04-18,LAA,@,HOU,L,0.545
2022-04-19,LAA,@,HOU,W,0.583
2022-04-20,LAA,@,HOU,W,0.615
2022-04-22,LAA,Home,BAL,L,0.571
2022-04-23,LAA,Home,BAL,L,0.533
2022-04-24,LAA,Home,BAL,W,0.562
2022-04-25,LAA,Home,CLE,W,0.588
2022-04-26,LAA,Home,CLE,W,0.611
2022-04-27,LAA,Home,CLE,W,0.632
2022-04-28,LAA,Home,CLE,W,0.65
2022-04-29,LAA,@,CHW,W,0.667
2022-04-30,LAA,@,CHW,L,0.636
2022-05-01,LAA,@,CHW,W,0.652
2022-05-02,LAA,@,CHW,L,0.625
2022-05-03,LAA,@,BOS,L,0.6
2022-05-04,LAA,@,BOS,W,0.615
2022-05-05,LAA,@,BOS,W,0.63
2022-05-06,LAA,Home,WSN,W,0.643
2022-05-07,LAA,Home,WSN,L,0.621
2022-05-08,LAA,Home,WSN,W-wo,0.633
2022-05-09,LAA,Home,TBR,W,0.645
2022-05-10,LAA,Home,TBR,W,0.656
2022-05-11,LAA,Home,TBR,L,0.636
2022-05-13,LAA,@,OAK,W,0.647
2022-05-14,LAA,@,OAK,L-wo,0.629
2022-05-14,LAA,@,OAK,W,0.639
2022-05-15,LAA,@,OAK,W,0.649
2022-05-16,LAA,@,TEX,L,0.632
2022-05-17,LAA,@,TEX,L,0.615
2022-05-18,LAA,@,TEX,L-wo,0.6
2022-05-20,LAA,Home,OAK,L,0.585
2022-05-21,LAA,Home,OAK,W,0.595
2022-05-22,LAA,Home,OAK,W,0.605
2022-05-24,LAA,Home,TEX,W,0.614
2022-05-25,LAA,Home,TEX,L,0.6
2022-05-26,LAA,Home,TOR,L,0.587
2022-05-27,LAA,Home,TOR,L,0.574
2022-05-28,LAA,Home,TOR,L,0.562
2022-05-29,LAA,Home,TOR,L,0.551
2022-05-31,LAA,@,NYY,L,0.54
2022-06-02,LAA,@,NYY,L,0.529
2022-06-02,LAA,@,NYY,L,0.519
2022-06-03,LAA,@,PHI,L,0.509
2022-06-04,LAA,@,PHI,L,0.5
2022-06-05,LAA,@,PHI,L-wo,0.491
2022-06-06,LAA,Home,BOS,L,0.482
2022-06-07,LAA,Home,BOS,L,0.474
2022-06-08,LAA,Home,BOS,L,0.466
2022-06-09,LAA,Home,BOS,W,0.475
2022-06-10,LAA,Home,NYM,L,0.467
2022-06-11,LAA,Home,NYM,W,0.475
2022-06-12,LAA,Home,NYM,L,0.468
2022-06-14,LAA,@,LAD,L,0.46
2022-06-15,LAA,@,LAD,L,0.453
2022-06-16,LAA,@,SEA,W,0.462
2022-06-17,LAA,@,SEA,L,0.455
2022-06-18,LAA,@,SEA,W,0.463
2022-06-18,LAA,@,SEA,W,0.471
2022-06-19,LAA,@,SEA,W,0.478
2022-06-20,LAA,Home,KCR,L,0.471
2022-06-21,LAA,Home,KCR,L,0.465
2022-06-22,LAA,Home,KCR,W,0.472
2022-06-24,LAA,Home,SEA,L,0.466
2022-06-25,LAA,Home,SEA,L,0.459
2022-06-26,LAA,Home,SEA,W,0.467
2022-06-27,LAA,Home,CHW,W,0.474
2022-06-28,LAA,Home,CHW,L,0.468
2022-06-29,LAA,Home,CHW,W,0.474
2022-07-01,LAA,@,HOU,L,0.468
2022-07-02,LAA,@,HOU,L,0.462
2022-07-03,LAA,@,HOU,L-wo,0.457
2022-07-05,LAA,@,MIA,L,0.451
2022-07-06,LAA,@,MIA,W,0.458
2022-07-07,LAA,@,BAL,L,0.452
2022-07-08,LAA,@,BAL,L-wo,0.447
2022-07-09,LAA,@,BAL,L,0.442
2022-07-10,LAA,@,BAL,L,0.437
2022-07-12,LAA,Home,HOU,L,0.432
2022-07-13,LAA,Home,HOU,W,0.438
2022-07-14,LAA,Home,HOU,L,0.433
2022-07-15,LAA,Home,LAD,L,0.429
2022-07-16,LAA,Home,LAD,L,0.424
2022-07-22,LAA,@,ATL,L,0.419
2022-07-23,LAA,@,ATL,L,0.415
2022-07-24,LAA,@,ATL,W,0.421
2022-07-25,LAA,@,KCR,L,0.417
2022-07-26,LAA,@,KCR,W,0.423
2022-07-27,LAA,@,KCR,W,0.429
2022-07-28,LAA,Home,TEX,L,0.424
2022-07-29,LAA,Home,TEX,L,0.42
2022-07-30,LAA,Home,TEX,W,0.426
2022-07-31,LAA,Home,TEX,L,0.422
2022-08-02,LAA,Home,OAK,W,0.427
2022-08-03,LAA,Home,OAK,L,0.423
2022-08-04,LAA,Home,OAK,L,0.419
2022-08-05,LAA,@,SEA,W,0.425
2022-08-06,LAA,@,SEA,L,0.421
2022-08-06,LAA,@,SEA,W,0.426
2022-08-07,LAA,@,SEA,L,0.422
2022-08-08,LAA,@,OAK,W,0.427
2022-08-09,LAA,@,OAK,W,0.432
2022-08-10,LAA,@,OAK,W,0.438
2022-08-12,LAA,Home,MIN,L,0.434
2022-08-13,LAA,Home,MIN,W-wo,0.439
2022-08-14,LAA,Home,MIN,W,0.443
2022-08-15,LAA,Home,SEA,L,0.44
2022-08-16,LAA,Home,SEA,L,0.436
2022-08-17,LAA,Home,SEA,L,0.432
2022-08-19,LAA,@,DET,W,0.437
2022-08-20,LAA,@,DET,L,0.433
2022-08-21,LAA,@,DET,L,0.43
2022-08-22,LAA,@,TBR,L,0.426
2022-08-23,LAA,@,TBR,L,0.423
2022-08-24,LAA,@,TBR,L-wo,0.419
2022-08-25,LAA,@,TBR,L,0.416
2022-08-26,LAA,@,TOR,W,0.421
2022-08-27,LAA,@,TOR,W,0.425
2022-08-28,LAA,@,TOR,W,0.43
2022-08-29,LAA,Home,NYY,W,0.434
2022-08-30,LAA,Home,NYY,L,0.431
2022-08-31,LAA,Home,NYY,W,0.435
2022-09-02,LAA,Home,HOU,L,0.432
2022-09-03,LAA,Home,HOU,W-wo,0.436
2022-09-04,LAA,Home,HOU,L,0.433
2022-09-05,LAA,Home,DET,W,0.437
2022-09-06,LAA,Home,DET,W-wo,0.441
2022-09-07,LAA,Home,DET,L,0.438
2022-09-09,LAA,@,HOU,L,0.435
2022-09-10,LAA,@,HOU,W,0.439
2022-09-11,LAA,@,HOU,L,0.436
2022-09-12,LAA,@,CLE,L,0.433
2022-09-13,LAA,@,CLE,L,0.43
2022-09-14,LAA,@,CLE,L,0.427
2022-09-16,LAA,Home,SEA,W,0.431
2022-09-17,LAA,Home,SEA,W,0.434
2022-09-18,LAA,Home,SEA,W,0.438
2022-09-19,LAA,Home,SEA,L,0.435
2022-09-20,LAA,@,TEX,W,0.439
2022-09-21,LAA,@,TEX,L,0.436
2022-09-22,LAA,@,TEX,L,0.433
2022-09-23,LAA,@,MIN,W,0.437
2022-09-24,LAA,@,MIN,L,0.434
2022-09-25,LAA,@,MIN,W,0.438
2022-09-27,LAA,Home,OAK,W,0.442
2022-09-28,LAA,Home,OAK,W,0.445
2022-09-29,LAA,Home,OAK,W,0.449
2022-09-30,LAA,Home,TEX,W,0.452
2022-10-01,LAA,Home,TEX,W,0.456
2022-10-02,LAA,Home,TEX,W,0.459
2022-10-03,LAA,@,OAK,L-wo,0.456
2022-10-04,LAA,@,OAK,L-wo,0.453
2022-10-05,LAA,@,OAK,L,0.451
