date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-08,MIA,@,SFG,L-wo,0.0
2022-04-09,MIA,@,SFG,W,0.5
2022-04-10,MIA,@,SFG,L,0.333
2022-04-11,MIA,@,LAA,L,0.25
2022-04-12,MIA,@,LAA,L-wo,0.2
2022-04-14,MIA,Home,PHI,W,0.333
2022-04-15,MIA,Home,PHI,W,0.429
2022-04-16,MIA,Home,PHI,L,0.375
2022-04-17,MIA,Home,PHI,W,0.444
2022-04-19,MIA,Home,STL,L,0.4
2022-04-20,MIA,Home,STL,L,0.364
2022-04-21,MIA,Home,STL,W,0.417
2022-04-22,MIA,@,ATL,L,0.385
2022-04-23,MIA,@,ATL,W,0.429
2022-04-24,MIA,@,ATL,W,0.467
2022-04-26,MIA,@,WSN,W,0.5
2022-04-27,MIA,@,WSN,W,0.529
2022-04-28,MIA,@,WSN,W,0.556
2022-04-29,MIA,Home,SEA,W,0.579
2022-04-30,MIA,Home,SEA,W,0.6
2022-05-01,MIA,Home,SEA,L,0.571
2022-05-02,MIA,Home,ARI,L,0.545
2022-05-03,MIA,Home,ARI,L,0.522
2022-05-04,MIA,Home,ARI,L,0.5
2022-05-05,MIA,@,SDP,L,0.48
2022-05-06,MIA,@,SDP,L,0.462
2022-05-07,MIA,@,SDP,W,0.481
2022-05-08,MIA,@,SDP,L-wo,0.464
2022-05-09,MIA,@,ARI,L,0.448
2022-05-10,MIA,@,ARI,L,0.433
2022-05-11,MIA,@,ARI,W,0.452
2022-05-13,MIA,Home,MIL,L,0.438
2022-05-14,MIA,Home,MIL,W,0.455
2022-05-15,MIA,Home,MIL,L,0.441
2022-05-16,MIA,Home,WSN,W,0.457
2022-05-17,MIA,Home,WSN,W,0.472
2022-05-18,MIA,Home,WSN,L,0.459
2022-05-20,MIA,Home,ATL,L,0.447
2022-05-21,MIA,Home,ATL,L,0.436
2022-05-22,MIA,Home,ATL,W,0.45
2022-05-24,MIA,@,TBR,L,0.439
2022-05-25,MIA,@,TBR,L,0.429
2022-05-27,MIA,@,ATL,L,0.419
2022-05-28,MIA,@,ATL,W,0.432
2022-05-29,MIA,@,ATL,L,0.422
2022-05-30,MIA,@,COL,L,0.413
2022-06-01,MIA,@,COL,W,0.426
2022-06-01,MIA,@,COL,L-wo,0.417
2022-06-02,MIA,Home,SFG,W,0.429
2022-06-03,MIA,Home,SFG,L,0.42
2022-06-04,MIA,Home,SFG,W-wo,0.431
2022-06-05,MIA,Home,SFG,L,0.423
2022-06-07,MIA,Home,WSN,W,0.434
2022-06-08,MIA,Home,WSN,W-wo,0.444
2022-06-09,MIA,Home,WSN,W,0.455
2022-06-10,MIA,@,HOU,W,0.464
2022-06-11,MIA,@,HOU,W,0.474
