date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-08,MIN,Home,SEA,L,0.0
2022-04-09,MIN,Home,SEA,L,0.0
2022-04-10,MIN,Home,SEA,W,0.333
2022-04-11,MIN,Home,SEA,W,0.5
2022-04-12,MIN,Home,LAD,L,0.4
2022-04-13,MIN,Home,LAD,L,0.333
2022-04-15,MIN,@,BOS,W,0.429
2022-04-16,MIN,@,BOS,L,0.375
2022-04-17,MIN,@,BOS,L,0.333
2022-04-18,MIN,@,BOS,W,0.4
2022-04-19,MIN,@,KCR,L,0.364
2022-04-20,MIN,@,KCR,L,0.333
2022-04-21,MIN,@,KCR,W,0.385
2022-04-22,MIN,Home,CHW,W,0.429
2022-04-23,MIN,Home,CHW,W,0.467
2022-04-24,MIN,Home,CHW,W-wo,0.5
2022-04-26,MIN,Home,DET,W-wo,0.529
2022-04-27,MIN,Home,DET,W,0.556
2022-04-28,MIN,Home,DET,W,0.579
2022-04-29,MIN,@,TBR,L,0.55
2022-04-30,MIN,@,TBR,W,0.571
2022-05-01,MIN,@,TBR,W,0.591
2022-05-02,MIN,@,BAL,W,0.609
2022-05-03,MIN,@,BAL,W,0.625
2022-05-04,MIN,@,BAL,L,0.6
2022-05-05,MIN,@,BAL,L,0.577
2022-05-06,MIN,Home,OAK,W,0.593
2022-05-07,MIN,Home,OAK,W,0.607
2022-05-08,MIN,Home,OAK,W,0.621
2022-05-10,MIN,Home,HOU,L,0.6
2022-05-11,MIN,Home,HOU,L,0.581
2022-05-12,MIN,Home,HOU,L,0.562
2022-05-13,MIN,Home,CLE,W,0.576
2022-05-14,MIN,Home,CLE,L,0.559
2022-05-15,MIN,Home,CLE,W,0.571
2022-05-16,MIN,@,OAK,W,0.583
2022-05-17,MIN,@,OAK,L,0.568
2022-05-18,MIN,@,OAK,W,0.579
2022-05-20,MIN,@,KCR,W,0.59
2022-05-21,MIN,@,KCR,W,0.6
2022-05-22,MIN,@,KCR,W,0.61
2022-05-23,MIN,Home,DET,W-wo,0.619
2022-05-24,MIN,Home,DET,W,0.628
2022-05-25,MIN,Home,DET,L,0.614
2022-05-26,MIN,Home,KCR,L,0.6
2022-05-27,MIN,Home,KCR,W,0.609
2022-05-28,MIN,Home,KCR,L,0.596
2022-05-29,MIN,Home,KCR,W,0.604
2022-05-30,MIN,@,DET,L,0.592
2022-05-31,MIN,@,DET,W,0.6
2022-05-31,MIN,@,DET,L,0.588
2022-06-01,MIN,@,DET,L,0.577
2022-06-02,MIN,@,DET,L,0.566
2022-06-03,MIN,@,TOR,W,0.574
2022-06-04,MIN,@,TOR,L,0.564
2022-06-05,MIN,@,TOR,W,0.571
2022-06-07,MIN,Home,NYY,L,0.561
2022-06-08,MIN,Home,NYY,W,0.569
2022-06-09,MIN,Home,NYY,L,0.559
2022-06-10,MIN,Home,TBR,W,0.567
2022-06-11,MIN,Home,TBR,W,0.574
2022-06-12,MIN,Home,TBR,L,0.565
2022-06-13,MIN,@,SEA,W,0.571
2022-06-14,MIN,@,SEA,L,0.562
2022-06-15,MIN,@,SEA,W,0.569
2022-06-17,MIN,@,ARI,L,0.561
2022-06-18,MIN,@,ARI,W,0.567
2022-06-19,MIN,@,ARI,L,0.559
2022-06-21,MIN,Home,CLE,L,0.551
2022-06-22,MIN,Home,CLE,L,0.543
2022-06-23,MIN,Home,CLE,W,0.549
