date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-08,NYY,Home,BOS,W-wo,1.0
2022-04-09,NYY,Home,BOS,W,1.0
2022-04-10,NYY,Home,BOS,L,0.667
2022-04-11,NYY,Home,TOR,L,0.5
2022-04-12,NYY,Home,TOR,W,0.6
2022-04-13,NYY,Home,TOR,L,0.5
2022-04-14,NYY,Home,TOR,W,0.571
2022-04-15,NYY,@,BAL,L-wo,0.5
2022-04-16,NYY,@,BAL,W,0.556
2022-04-17,NYY,@,BAL,L,0.5
2022-04-19,NYY,@,DET,W,0.545
2022-04-20,NYY,@,DET,W,0.583
2022-04-21,NYY,@,DET,L,0.538
2022-04-22,NYY,Home,CLE,W,0.571
2022-04-23,NYY,Home,CLE,W-wo,0.6
2022-04-24,NYY,Home,CLE,W,0.625
2022-04-26,NYY,Home,BAL,W,0.647
2022-04-27,NYY,Home,BAL,W,0.667
2022-04-28,NYY,Home,BAL,W,0.684
2022-04-29,NYY,@,KCR,W,0.7
2022-04-30,NYY,@,KCR,W,0.714
2022-05-01,NYY,@,KCR,W,0.727
2022-05-02,NYY,@,TOR,W,0.739
2022-05-03,NYY,@,TOR,W,0.75
2022-05-04,NYY,@,TOR,L,0.72
2022-05-08,NYY,Home,TEX,W-wo,0.731
2022-05-08,NYY,Home,TEX,L,0.704
2022-05-09,NYY,Home,TEX,W,0.714
2022-05-10,NYY,Home,TOR,W-wo,0.724
2022-05-11,NYY,Home,TOR,W,0.733
2022-05-12,NYY,@,CHW,W,0.742
2022-05-13,NYY,@,CHW,W,0.75
2022-05-14,NYY,@,CHW,L-wo,0.727
2022-05-15,NYY,@,CHW,W,0.735
2022-05-16,NYY,@,BAL,W,0.743
2022-05-17,NYY,@,BAL,W,0.75
2022-05-18,NYY,@,BAL,W,0.757
2022-05-19,NYY,@,BAL,L-wo,0.737
2022-05-21,NYY,Home,CHW,W,0.744
2022-05-22,NYY,Home,CHW,L,0.725
2022-05-22,NYY,Home,CHW,L,0.707
2022-05-23,NYY,Home,BAL,L,0.69
2022-05-24,NYY,Home,BAL,W-wo,0.698
2022-05-25,NYY,Home,BAL,W,0.705
2022-05-26,NYY,@,TBR,W,0.711
2022-05-27,NYY,@,TBR,W,0.717
2022-05-28,NYY,@,TBR,L,0.702
2022-05-29,NYY,@,TBR,L,0.688
2022-05-31,NYY,Home,LAA,W,0.694
2022-06-02,NYY,Home,LAA,W,0.7
2022-06-02,NYY,Home,LAA,W,0.706
2022-06-03,NYY,Home,DET,W,0.712
2022-06-04,NYY,Home,DET,W,0.717
2022-06-05,NYY,Home,DET,W-wo,0.722
2022-06-07,NYY,@,MIN,W,0.727
2022-06-08,NYY,@,MIN,L,0.714
2022-06-09,NYY,@,MIN,W,0.719
2022-06-10,NYY,Home,CHC,W-wo,0.724
2022-06-11,NYY,Home,CHC,W,0.729
2022-06-12,NYY,Home,CHC,W,0.733
2022-06-14,NYY,Home,TBR,W,0.738
2022-06-15,NYY,Home,TBR,W,0.742
2022-06-16,NYY,Home,TBR,W-wo,0.746
2022-06-17,NYY,@,TOR,W,0.75
2022-06-18,NYY,@,TOR,W,0.754
2022-06-19,NYY,@,TOR,L,0.742
2022-06-20,NYY,@,TBR,W,0.746
2022-06-21,NYY,@,TBR,L,0.735
2022-06-22,NYY,@,TBR,W,0.739
2022-06-23,NYY,Home,HOU,W-wo,0.743
2022-06-24,NYY,Home,HOU,L,0.732
2022-06-25,NYY,Home,HOU,L,0.722
2022-06-26,NYY,Home,HOU,W-wo,0.726
2022-06-27,NYY,Home,OAK,W,0.73
2022-06-28,NYY,Home,OAK,W,0.733
2022-06-29,NYY,Home,OAK,W,0.737
2022-06-30,NYY,@,HOU,L,0.727
2022-07-02,NYY,@,CLE,W,0.731
2022-07-02,NYY,@,CLE,W,0.734
2022-07-03,NYY,@,CLE,L,0.725
2022-07-05,NYY,@,PIT,L,0.716
2022-07-06,NYY,@,PIT,W,0.72
2022-07-07,NYY,@,BOS,W,0.723
2022-07-08,NYY,@,BOS,W,0.726
2022-07-09,NYY,@,BOS,L-wo,0.718
2022-07-10,NYY,@,BOS,L,0.709
2022-07-12,NYY,Home,CIN,L,0.701
2022-07-13,NYY,Home,CIN,W-wo,0.705
2022-07-14,NYY,Home,CIN,L,0.697
2022-07-15,NYY,Home,BOS,L,0.689
2022-07-16,NYY,Home,BOS,W,0.692
2022-07-17,NYY,Home,BOS,W,0.696
2022-07-21,NYY,@,HOU,L-wo,0.688
2022-07-21,NYY,@,HOU,L,0.681
2022-07-22,NYY,@,BAL,W,0.684
2022-07-23,NYY,@,BAL,L,0.677
2022-07-24,NYY,@,BAL,W,0.68
2022-07-26,NYY,@,NYM,L,0.673
2022-07-27,NYY,@,NYM,L-wo,0.667
2022-07-28,NYY,Home,KCR,W-wo,0.67
2022-07-29,NYY,Home,KCR,W,0.673
2022-07-30,NYY,Home,KCR,W,0.676
2022-07-31,NYY,Home,KCR,L,0.67
2022-08-01,NYY,Home,SEA,W,0.673
2022-08-02,NYY,Home,SEA,L,0.667
2022-08-03,NYY,Home,SEA,L,0.66
2022-08-05,NYY,@,STL,L,0.654
2022-08-06,NYY,@,STL,L,0.648
2022-08-07,NYY,@,STL,L,0.642
2022-08-08,NYY,@,SEA,W,0.645
2022-08-09,NYY,@,SEA,L-wo,0.64
2022-08-10,NYY,@,SEA,L,0.634
2022-08-12,NYY,@,BOS,L-wo,0.628
2022-08-13,NYY,@,BOS,W,0.632
2022-08-14,NYY,@,BOS,L,0.626
2022-08-15,NYY,Home,TBR,L,0.621
2022-08-16,NYY,Home,TBR,L,0.615
2022-08-17,NYY,Home,TBR,W-wo,0.619
2022-08-18,NYY,Home,TOR,L,0.613
2022-08-19,NYY,Home,TOR,L,0.608
2022-08-20,NYY,Home,TOR,L,0.603
2022-08-21,NYY,Home,TOR,W,0.607
2022-08-22,NYY,Home,NYM,W,0.61
2022-08-23,NYY,Home,NYM,W,0.613
2022-08-25,NYY,@,OAK,W,0.616
2022-08-26,NYY,@,OAK,W,0.619
2022-08-27,NYY,@,OAK,L-wo,0.614
2022-08-28,NYY,@,OAK,L,0.609
2022-08-29,NYY,@,LAA,L,0.605
2022-08-30,NYY,@,LAA,W,0.608
2022-08-31,NYY,@,LAA,L,0.603
2022-09-02,NYY,@,TBR,L,0.598
2022-09-03,NYY,@,TBR,L,0.594
2022-09-04,NYY,@,TBR,W,0.597
2022-09-05,NYY,Home,MIN,W,0.6
2022-09-07,NYY,Home,MIN,W-wo,0.603
2022-09-07,NYY,Home,MIN,W,0.606
2022-09-08,NYY,Home,MIN,L,0.601
2022-09-09,NYY,Home,TBR,L,0.597
2022-09-10,NYY,Home,TBR,W,0.6
2022-09-11,NYY,Home,TBR,W,0.603
2022-09-13,NYY,@,BOS,W,0.606
2022-09-14,NYY,@,BOS,W,0.608
2022-09-16,NYY,@,MIL,L-wo,0.604
2022-09-17,NYY,@,MIL,L,0.6
2022-09-18,NYY,@,MIL,W,0.603
2022-09-20,NYY,Home,PIT,W-wo,0.605
2022-09-21,NYY,Home,PIT,W,0.608
2022-09-22,NYY,Home,BOS,W-wo,0.611
2022-09-23,NYY,Home,BOS,W,0.613
2022-09-24,NYY,Home,BOS,W,0.616
2022-09-25,NYY,Home,BOS,W,0.618
2022-09-26,NYY,@,TOR,L-wo,0.614
2022-09-27,NYY,@,TOR,W,0.617
2022-09-28,NYY,@,TOR,W,0.619
2022-09-30,NYY,Home,BAL,L,0.615
2022-10-01,NYY,Home,BAL,W,0.618
2022-10-02,NYY,Home,BAL,L,0.614
2022-10-03,NYY,@,TEX,W,0.616
2022-10-04,NYY,@,TEX,W,0.619
2022-10-04,NYY,@,TEX,L,0.615
2022-10-05,NYY,@,TEX,L,0.611
