date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-08,OAK,@,PHI,L,0.0
2022-04-09,OAK,@,PHI,L,0.0
2022-04-10,OAK,@,PHI,W,0.333
2022-04-11,OAK,@,TBR,W,0.5
2022-04-12,OAK,@,TBR,L-wo,0.4
2022-04-13,OAK,@,TBR,W,0.5
2022-04-14,OAK,@,TBR,W,0.571
2022-04-15,OAK,@,TOR,L,0.5
2022-04-16,OAK,@,TOR,W,0.556
2022-04-17,OAK,@,TOR,L,0.5
2022-04-18,OAK,Home,BAL,W,0.545
2022-04-19,OAK,Home,BAL,W,0.583
2022-04-20,OAK,Home,BAL,L,0.538
2022-04-21,OAK,Home,BAL,W,0.571
2022-04-22,OAK,Home,TEX,L,0.533
2022-04-23,OAK,Home,TEX,L,0.5
2022-04-24,OAK,Home,TEX,W,0.529
2022-04-26,OAK,@,SFG,L,0.5
2022-04-27,OAK,@,SFG,W,0.526
2022-04-29,OAK,Home,CLE,L,0.5
2022-04-30,OAK,Home,CLE,L,0.476
2022-05-01,OAK,Home,CLE,L,0.455
2022-05-02,OAK,Home,TBR,L,0.435
2022-05-03,OAK,Home,TBR,L,0.417
2022-05-04,OAK,Home,TBR,L,0.4
2022-05-06,OAK,@,MIN,L,0.385
2022-05-07,OAK,@,MIN,L,0.37
2022-05-08,OAK,@,MIN,L,0.357
2022-05-09,OAK,@,DET,W,0.379
2022-05-10,OAK,@,DET,L,0.367
2022-05-10,OAK,@,DET,W,0.387
2022-05-11,OAK,@,DET,W,0.406
2022-05-12,OAK,@,DET,W,0.424
2022-05-13,OAK,Home,LAA,L,0.412
2022-05-14,OAK,Home,LAA,W-wo,0.429
2022-05-14,OAK,Home,LAA,L,0.417
2022-05-15,OAK,Home,LAA,L,0.405
2022-05-16,OAK,Home,MIN,L,0.395
2022-05-17,OAK,Home,MIN,W,0.41
2022-05-18,OAK,Home,MIN,L,0.4
2022-05-20,OAK,@,LAA,W,0.415
2022-05-21,OAK,@,LAA,L,0.405
2022-05-22,OAK,@,LAA,L,0.395
2022-05-23,OAK,@,SEA,L,0.386
2022-05-24,OAK,@,SEA,W,0.4
2022-05-25,OAK,@,SEA,W,0.413
2022-05-26,OAK,Home,TEX,L,0.404
2022-05-27,OAK,Home,TEX,L,0.396
2022-05-28,OAK,Home,TEX,L,0.388
2022-05-29,OAK,Home,TEX,W-wo,0.4
2022-05-30,OAK,Home,HOU,L,0.392
2022-05-31,OAK,Home,HOU,L,0.385
2022-06-01,OAK,Home,HOU,L,0.377
2022-06-03,OAK,Home,BOS,L,0.37
2022-06-04,OAK,Home,BOS,L,0.364
2022-06-05,OAK,Home,BOS,L,0.357
2022-06-07,OAK,@,ATL,L,0.351
2022-06-08,OAK,@,ATL,L,0.345
2022-06-09,OAK,@,CLE,L,0.339
2022-06-10,OAK,@,CLE,L-wo,0.333
2022-06-11,OAK,@,CLE,W,0.344
2022-06-12,OAK,@,CLE,L,0.339
2022-06-14,OAK,@,BOS,L,0.333
2022-06-15,OAK,@,BOS,L,0.328
2022-06-16,OAK,@,BOS,W,0.338
2022-06-17,OAK,Home,KCR,L,0.333
2022-06-18,OAK,Home,KCR,L,0.328
2022-06-19,OAK,Home,KCR,W,0.338
2022-06-21,OAK,Home,SEA,L,0.333
2022-06-22,OAK,Home,SEA,L,0.329
2022-06-23,OAK,Home,SEA,L,0.324
2022-06-24,OAK,@,KCR,L,0.319
2022-06-25,OAK,@,KCR,W,0.329
2022-06-26,OAK,@,KCR,W,0.338
2022-06-27,OAK,@,NYY,L,0.333
2022-06-28,OAK,@,NYY,L,0.329
2022-06-29,OAK,@,NYY,L,0.325
2022-06-30,OAK,@,SEA,L,0.321
2022-07-01,OAK,@,SEA,W,0.329
2022-07-02,OAK,@,SEA,L-wo,0.325
2022-07-03,OAK,@,SEA,L,0.321
2022-07-04,OAK,Home,TOR,W,0.329
2022-07-05,OAK,Home,TOR,W,0.337
2022-07-06,OAK,Home,TOR,L,0.333
2022-07-08,OAK,Home,HOU,L,0.329
2022-07-09,OAK,Home,HOU,W,0.337
2022-07-10,OAK,Home,HOU,L,0.333
2022-07-11,OAK,@,TEX,L,0.33
2022-07-12,OAK,@,TEX,W,0.337
2022-07-13,OAK,@,TEX,L,0.333
