date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-08,SEA,@,MIN,W,1.0
2022-04-09,SEA,@,MIN,W,1.0
2022-04-10,SEA,@,MIN,L,0.667
2022-04-11,SEA,@,MIN,L,0.5
2022-04-12,SEA,@,CHW,L,0.4
2022-04-13,SEA,@,CHW,L,0.333
2022-04-14,SEA,@,CHW,W,0.429
2022-04-15,SEA,Home,HOU,W,0.5
2022-04-16,SEA,Home,HOU,L,0.444
2022-04-17,SEA,Home,HOU,W,0.5
2022-04-19,SEA,Home,TEX,W,0.545
2022-04-20,SEA,Home,TEX,W,0.583
2022-04-21,SEA,Home,TEX,L,0.538
2022-04-22,SEA,Home,KCR,W,0.571
2022-04-23,SEA,Home,KCR,W,0.6
2022-04-24,SEA,Home,KCR,W-wo,0.625
2022-04-26,SEA,@,TBR,W,0.647
2022-04-27,SEA,@,TBR,L,0.611
2022-04-28,SEA,@,TBR,L,0.579
2022-04-29,SEA,@,MIA,L,0.55
2022-04-30,SEA,@,MIA,L,0.524
2022-05-01,SEA,@,MIA,W,0.545
2022-05-02,SEA,@,HOU,L,0.522
2022-05-03,SEA,@,HOU,L,0.5
2022-05-04,SEA,@,HOU,L,0.48
2022-05-05,SEA,Home,TBR,L,0.462
2022-05-06,SEA,Home,TBR,L,0.444
2022-05-07,SEA,Home,TBR,L,0.429
2022-05-08,SEA,Home,TBR,W-wo,0.448
2022-05-09,SEA,Home,PHI,L,0.433
2022-05-10,SEA,Home,PHI,W,0.452
2022-05-11,SEA,Home,PHI,L,0.438
2022-05-13,SEA,@,NYM,W,0.455
2022-05-14,SEA,@,NYM,L,0.441
2022-05-15,SEA,@,NYM,W,0.457
2022-05-16,SEA,@,TOR,L,0.444
2022-05-17,SEA,@,TOR,L,0.432
2022-05-18,SEA,@,TOR,W,0.447
2022-05-19,SEA,@,BOS,L,0.436
2022-05-20,SEA,@,BOS,L,0.425
2022-05-21,SEA,@,BOS,L,0.415
2022-05-22,SEA,@,BOS,L-wo,0.405
2022-05-23,SEA,Home,OAK,W,0.419
2022-05-24,SEA,Home,OAK,L,0.409
2022-05-25,SEA,Home,OAK,L,0.4
2022-05-27,SEA,Home,HOU,W,0.413
2022-05-28,SEA,Home,HOU,W,0.426
2022-05-29,SEA,Home,HOU,L,0.417
2022-05-31,SEA,@,BAL,W,0.429
2022-06-01,SEA,@,BAL,L,0.42
2022-06-02,SEA,@,BAL,W,0.431
2022-06-03,SEA,@,TEX,W,0.442
2022-06-04,SEA,@,TEX,L,0.434
2022-06-05,SEA,@,TEX,W,0.444
2022-06-06,SEA,@,HOU,W,0.455
2022-06-07,SEA,@,HOU,L,0.446
2022-06-08,SEA,@,HOU,W,0.456
2022-06-10,SEA,Home,BOS,L,0.448
