date,team_ID,home_or_away,opponent,result,win_percentage
2022-04-08,SFG,Home,MIA,W-wo,1.0
2022-04-09,SFG,Home,MIA,L,0.5
2022-04-10,SFG,Home,MIA,W,0.667
2022-04-11,SFG,Home,SDP,L,0.5
2022-04-12,SFG,Home,SDP,W,0.6
2022-04-13,SFG,Home,SDP,W,0.667
2022-04-15,SFG,@,CLE,W,0.714
2022-04-16,SFG,@,CLE,W,0.75
2022-04-17,SFG,@,CLE,W,0.778
2022-04-19,SFG,@,NYM,L-wo,0.7
2022-04-19,SFG,@,NYM,L,0.636
2022-04-20,SFG,@,NYM,W,0.667
2022-04-21,SFG,@,NYM,L,0.615
2022-04-22,SFG,@,WSN,W,0.643
2022-04-23,SFG,@,WSN,W,0.667
2022-04-24,SFG,@,WSN,W,0.688
2022-04-25,SFG,@,MIL,W,0.706
2022-04-26,SFG,Home,OAK,W,0.722
2022-04-27,SFG,Home,OAK,L,0.684
2022-04-29,SFG,Home,WSN,L,0.65
2022-04-30,SFG,Home,WSN,W,0.667
2022-05-01,SFG,Home,WSN,L,0.636
2022-05-03,SFG,@,LAD,L,0.609
2022-05-04,SFG,@,LAD,L,0.583
2022-05-05,SFG,Home,STL,L,0.56
2022-05-06,SFG,Home,STL,L,0.538
2022-05-07,SFG,Home,STL,W,0.556
2022-05-08,SFG,Home,STL,W,0.571
2022-05-09,SFG,Home,COL,W,0.586
2022-05-10,SFG,Home,COL,W,0.6
2022-05-11,SFG,Home,COL,W,0.613
2022-05-13,SFG,@,STL,W,0.625
2022-05-14,SFG,@,STL,L,0.606
2022-05-15,SFG,@,STL,L,0.588
2022-05-16,SFG,@,COL,W,0.6
2022-05-17,SFG,@,COL,W,0.611
2022-05-18,SFG,@,COL,L,0.595
2022-05-20,SFG,Home,SDP,L,0.579
2022-05-21,SFG,Home,SDP,L,0.564
2022-05-22,SFG,Home,SDP,L,0.55
2022-05-23,SFG,Home,NYM,L,0.537
2022-05-24,SFG,Home,NYM,W-wo,0.548
2022-05-25,SFG,Home,NYM,W,0.558
2022-05-27,SFG,@,CIN,L,0.545
2022-05-28,SFG,@,CIN,L,0.533
2022-05-29,SFG,@,CIN,W,0.543
2022-05-30,SFG,@,PHI,W,0.553
2022-05-31,SFG,@,PHI,W,0.562
2022-06-01,SFG,@,PHI,L,0.551
2022-06-02,SFG,@,MIA,L,0.54
2022-06-03,SFG,@,MIA,W,0.549
2022-06-04,SFG,@,MIA,L-wo,0.538
2022-06-05,SFG,@,MIA,W,0.547
2022-06-07,SFG,Home,COL,L,0.537
2022-06-08,SFG,Home,COL,W-wo,0.545
2022-06-09,SFG,Home,COL,L,0.536
2022-06-10,SFG,Home,LAD,W,0.544
2022-06-11,SFG,Home,LAD,W,0.552
2022-06-12,SFG,Home,LAD,W,0.559
2022-06-13,SFG,Home,KCR,W,0.567
2022-06-14,SFG,Home,KCR,W,0.574
2022-06-15,SFG,Home,KCR,L,0.565
2022-06-17,SFG,@,PIT,W,0.571
2022-06-18,SFG,@,PIT,W,0.578
2022-06-19,SFG,@,PIT,L-wo,0.569
2022-06-20,SFG,@,ATL,L-wo,0.561
2022-06-21,SFG,@,ATL,W,0.567
2022-06-22,SFG,@,ATL,L-wo,0.559
2022-06-23,SFG,@,ATL,L,0.551
2022-06-24,SFG,Home,CIN,L,0.543
2022-06-25,SFG,Home,CIN,W,0.549
2022-06-26,SFG,Home,CIN,L,0.542
2022-06-28,SFG,Home,DET,W,0.548
2022-06-29,SFG,Home,DET,L,0.541
2022-07-01,SFG,Home,CHW,L,0.533
2022-07-02,SFG,Home,CHW,L,0.526
2022-07-03,SFG,Home,CHW,L,0.519
2022-07-04,SFG,@,ARI,L,0.513
2022-07-05,SFG,@,ARI,L,0.506
2022-07-06,SFG,@,ARI,W,0.512
2022-07-07,SFG,@,SDP,L-wo,0.506
2022-07-08,SFG,@,SDP,L,0.5
2022-07-09,SFG,@,SDP,W,0.506
2022-07-10,SFG,@,SDP,W,0.512
2022-07-11,SFG,Home,ARI,L,0.506
2022-07-12,SFG,Home,ARI,W,0.512
2022-07-13,SFG,Home,ARI,W-wo,0.517
2022-07-14,SFG,Home,MIL,L,0.511
2022-07-15,SFG,Home,MIL,W-wo,0.517
2022-07-16,SFG,Home,MIL,W,0.522
2022-07-17,SFG,Home,MIL,W,0.527
2022-07-21,SFG,@,LAD,L,0.522
2022-07-22,SFG,@,LAD,L,0.516
2022-07-23,SFG,@,LAD,L,0.511
2022-07-24,SFG,@,LAD,L,0.505
2022-07-25,SFG,@,ARI,L,0.5
2022-07-26,SFG,@,ARI,L,0.495
2022-07-27,SFG,@,ARI,L,0.49
2022-07-28,SFG,Home,CHC,W,0.495
2022-07-29,SFG,Home,CHC,L,0.49
2022-07-30,SFG,Home,CHC,W,0.495
2022-07-31,SFG,Home,CHC,W,0.5
2022-08-01,SFG,Home,LAD,L,0.495
2022-08-02,SFG,Home,LAD,L,0.49
2022-08-03,SFG,Home,LAD,L,0.486
2022-08-04,SFG,Home,LAD,L,0.481
2022-08-06,SFG,@,OAK,W,0.486
2022-08-07,SFG,@,OAK,W,0.491
2022-08-08,SFG,@,SDP,W,0.495
2022-08-09,SFG,@,SDP,L-wo,0.491
2022-08-10,SFG,@,SDP,L,0.486
2022-08-12,SFG,Home,PIT,W,0.491
2022-08-13,SFG,Home,PIT,W,0.496
2022-08-14,SFG,Home,PIT,W-wo,0.5
2022-08-15,SFG,Home,ARI,W,0.504
2022-08-16,SFG,Home,ARI,W-wo,0.509
2022-08-17,SFG,Home,ARI,L,0.504
2022-08-18,SFG,Home,ARI,L,0.5
2022-08-19,SFG,@,COL,L,0.496
2022-08-20,SFG,@,COL,L-wo,0.492
2022-08-21,SFG,@,COL,W,0.496
2022-08-23,SFG,@,DET,W,0.5
2022-08-24,SFG,@,DET,L,0.496
2022-08-26,SFG,@,MIN,L,0.492
2022-08-27,SFG,@,MIN,L-wo,0.488
2022-08-28,SFG,@,MIN,L,0.484
2022-08-29,SFG,Home,SDP,L,0.48
2022-08-30,SFG,Home,SDP,L,0.477
2022-08-31,SFG,Home,SDP,L,0.473
2022-09-02,SFG,Home,PHI,W,0.477
2022-09-03,SFG,Home,PHI,W,0.481
2022-09-04,SFG,Home,PHI,W-wo,0.485
2022-09-05,SFG,@,LAD,W,0.489
2022-09-06,SFG,@,LAD,L,0.485
2022-09-07,SFG,@,LAD,L,0.481
2022-09-08,SFG,@,MIL,L,0.478
2022-09-08,SFG,@,MIL,L,0.474
2022-09-09,SFG,@,CHC,L,0.471
2022-09-10,SFG,@,CHC,W,0.475
2022-09-11,SFG,@,CHC,W,0.479
2022-09-12,SFG,Home,ATL,W,0.482
2022-09-13,SFG,Home,ATL,L,0.479
2022-09-14,SFG,Home,ATL,W,0.483
2022-09-16,SFG,Home,LAD,L,0.479
2022-09-17,SFG,Home,LAD,L,0.476
2022-09-18,SFG,Home,LAD,L,0.473
2022-09-19,SFG,@,COL,W,0.476
2022-09-20,SFG,@,COL,W,0.48
2022-09-21,SFG,@,COL,W,0.483
2022-09-22,SFG,@,COL,W,0.487
