date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,ARI,@,LAD,L,0.0
2023-03-31,ARI,@,LAD,W,0.5
2023-04-01,ARI,@,LAD,L,0.333
2023-04-02,ARI,@,LAD,W,0.5
2023-04-03,ARI,@,SDP,L-wo,0.4
2023-04-04,ARI,@,SDP,W,0.5
2023-04-06,ARI,Home,LAD,L,0.429
2023-04-07,ARI,Home,LAD,W,0.5
2023-04-08,ARI,Home,LAD,W,0.556
2023-04-09,ARI,Home,LAD,W,0.6
2023-04-10,ARI,Home,MIL,W,0.636
2023-04-11,ARI,Home,MIL,L,0.583
2023-04-12,ARI,Home,MIL,W,0.615
2023-04-14,ARI,@,MIA,L,0.571
2023-04-15,ARI,@,MIA,L,0.533
2023-04-16,ARI,@,MIA,W,0.562
2023-04-17,ARI,@,STL,W,0.588
2023-04-18,ARI,@,STL,W,0.611
2023-04-19,ARI,@,STL,L,0.579
2023-04-20,ARI,Home,SDP,L,0.55
2023-04-21,ARI,Home,SDP,W,0.571
2023-04-22,ARI,Home,SDP,L,0.545
2023-04-23,ARI,Home,SDP,L,0.522
2023-04-24,ARI,Home,KCR,W,0.542
2023-04-25,ARI,Home,KCR,L,0.52
2023-04-26,ARI,Home,KCR,W,0.538
2023-04-28,ARI,@,COL,W,0.556
2023-04-29,ARI,@,COL,W,0.571
2023-04-30,ARI,@,COL,L,0.552
2023-05-02,ARI,@,TEX,L,0.533
2023-05-03,ARI,@,TEX,W,0.548
2023-05-05,ARI,Home,WSN,W,0.562
2023-05-06,ARI,Home,WSN,W-wo,0.576
2023-05-07,ARI,Home,WSN,L,0.559
2023-05-08,ARI,Home,MIA,W,0.571
2023-05-09,ARI,Home,MIA,L,0.556
2023-05-10,ARI,Home,MIA,L,0.541
2023-05-11,ARI,Home,SFG,L,0.526
2023-05-12,ARI,Home,SFG,W,0.538
2023-05-13,ARI,Home,SFG,W,0.55
2023-05-14,ARI,Home,SFG,W-wo,0.561
2023-05-15,ARI,@,OAK,W,0.571
2023-05-16,ARI,@,OAK,L-wo,0.558
2023-05-17,ARI,@,OAK,W,0.568
2023-05-19,ARI,@,PIT,L,0.556
2023-05-20,ARI,@,PIT,W,0.565
2023-05-21,ARI,@,PIT,W,0.574
2023-05-22,ARI,@,PHI,W,0.583
2023-05-23,ARI,@,PHI,W,0.592
2023-05-24,ARI,@,PHI,L-wo,0.58
2023-05-26,ARI,Home,BOS,L,0.569
2023-05-27,ARI,Home,BOS,L,0.558
2023-05-28,ARI,Home,BOS,W,0.566
2023-05-29,ARI,Home,COL,W,0.574
2023-05-30,ARI,Home,COL,W,0.582
2023-05-31,ARI,Home,COL,W,0.589
2023-06-01,ARI,Home,COL,W-wo,0.596
2023-06-02,ARI,Home,ATL,W,0.603
2023-06-03,ARI,Home,ATL,L,0.593
2023-06-04,ARI,Home,ATL,L,0.583
2023-06-06,ARI,@,WSN,W,0.59
2023-06-07,ARI,@,WSN,W,0.597
2023-06-09,ARI,@,DET,W,0.603
2023-06-10,ARI,@,DET,W,0.609
2023-06-11,ARI,@,DET,W,0.615
2023-06-12,ARI,Home,PHI,W,0.621
2023-06-13,ARI,Home,PHI,L,0.612
2023-06-14,ARI,Home,PHI,L,0.603
2023-06-15,ARI,Home,PHI,L,0.594
2023-06-16,ARI,Home,CLE,W,0.6
2023-06-17,ARI,Home,CLE,W,0.606
2023-06-18,ARI,Home,CLE,L,0.597
2023-06-19,ARI,@,MIL,W,0.603
2023-06-20,ARI,@,MIL,L,0.595
2023-06-21,ARI,@,MIL,W,0.6
2023-06-22,ARI,@,WSN,W,0.605
2023-06-23,ARI,@,SFG,L,0.597
2023-06-24,ARI,@,SFG,L,0.59
2023-06-25,ARI,@,SFG,W,0.595
2023-06-27,ARI,Home,TBR,W,0.6
2023-06-28,ARI,Home,TBR,L,0.593
2023-06-29,ARI,Home,TBR,L,0.585
2023-06-30,ARI,@,LAA,W,0.59
2023-07-01,ARI,@,LAA,W,0.595
2023-07-02,ARI,@,LAA,L,0.588
2023-07-04,ARI,Home,NYM,L,0.581
2023-07-05,ARI,Home,NYM,L,0.575
2023-07-06,ARI,Home,NYM,L,0.568
2023-07-07,ARI,Home,PIT,W,0.573
2023-07-08,ARI,Home,PIT,W-wo,0.578
2023-07-09,ARI,Home,PIT,L,0.571
2023-07-14,ARI,@,TOR,L,0.565
