date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,ATL,@,WSN,W,1.0
2023-04-01,ATL,@,WSN,W,1.0
2023-04-02,ATL,@,WSN,L,0.667
2023-04-03,ATL,@,STL,W,0.75
2023-04-04,ATL,@,STL,W,0.8
2023-04-05,ATL,@,STL,W,0.833
2023-04-06,ATL,Home,SDP,W-wo,0.857
2023-04-07,ATL,Home,SDP,L,0.75
2023-04-08,ATL,Home,SDP,L,0.667
2023-04-09,ATL,Home,SDP,L,0.6
2023-04-10,ATL,Home,CIN,W-wo,0.636
2023-04-11,ATL,Home,CIN,W,0.667
2023-04-12,ATL,Home,CIN,W,0.692
2023-04-14,ATL,@,KCR,W,0.714
2023-04-15,ATL,@,KCR,W,0.733
2023-04-16,ATL,@,KCR,W,0.75
2023-04-17,ATL,@,SDP,W,0.765
2023-04-18,ATL,@,SDP,W,0.778
2023-04-19,ATL,@,SDP,L,0.737
2023-04-21,ATL,Home,HOU,L,0.7
2023-04-22,ATL,Home,HOU,L,0.667
2023-04-23,ATL,Home,HOU,L,0.636
2023-04-24,ATL,Home,MIA,W,0.652
2023-04-25,ATL,Home,MIA,W,0.667
2023-04-26,ATL,Home,MIA,W,0.68
2023-04-27,ATL,Home,MIA,L,0.654
2023-04-28,ATL,@,NYM,W,0.667
2023-05-01,ATL,@,NYM,W,0.679
2023-05-01,ATL,@,NYM,L,0.655
2023-05-02,ATL,@,MIA,W,0.667
2023-05-03,ATL,@,MIA,W,0.677
2023-05-04,ATL,@,MIA,W,0.688
2023-05-05,ATL,Home,BAL,L,0.667
2023-05-06,ATL,Home,BAL,W,0.676
2023-05-07,ATL,Home,BAL,W-wo,0.686
2023-05-09,ATL,Home,BOS,W,0.694
2023-05-10,ATL,Home,BOS,L,0.676
2023-05-12,ATL,@,TOR,L,0.658
2023-05-13,ATL,@,TOR,L,0.641
2023-05-14,ATL,@,TOR,L-wo,0.625
2023-05-15,ATL,@,TEX,W,0.634
2023-05-16,ATL,@,TEX,L,0.619
2023-05-17,ATL,@,TEX,W,0.628
2023-05-19,ATL,Home,SEA,W,0.636
2023-05-20,ATL,Home,SEA,L,0.622
2023-05-21,ATL,Home,SEA,W,0.63
2023-05-22,ATL,Home,LAD,L,0.617
2023-05-23,ATL,Home,LAD,L,0.604
2023-05-24,ATL,Home,LAD,W-wo,0.612
2023-05-25,ATL,Home,PHI,W,0.62
2023-05-26,ATL,Home,PHI,L,0.608
2023-05-27,ATL,Home,PHI,L,0.596
2023-05-28,ATL,Home,PHI,W,0.604
2023-05-29,ATL,@,OAK,L,0.593
2023-05-30,ATL,@,OAK,L-wo,0.582
2023-05-31,ATL,@,OAK,W,0.589
2023-06-02,ATL,@,ARI,L,0.579
2023-06-03,ATL,@,ARI,W,0.586
2023-06-04,ATL,@,ARI,W,0.593
2023-06-06,ATL,Home,NYM,W,0.6
2023-06-07,ATL,Home,NYM,W,0.607
2023-06-08,ATL,Home,NYM,W-wo,0.613
2023-06-09,ATL,Home,WSN,W,0.619
2023-06-10,ATL,Home,WSN,W,0.625
2023-06-11,ATL,Home,WSN,L,0.615
2023-06-12,ATL,@,DET,L-wo,0.606
2023-06-14,ATL,@,DET,W,0.612
2023-06-14,ATL,@,DET,W,0.618
2023-06-15,ATL,Home,COL,W,0.623
2023-06-16,ATL,Home,COL,W,0.629
2023-06-17,ATL,Home,COL,W,0.634
2023-06-18,ATL,Home,COL,W,0.639
2023-06-20,ATL,@,PHI,W,0.644
2023-06-22,ATL,@,PHI,W,0.649
2023-06-23,ATL,@,CIN,L,0.64
2023-06-24,ATL,@,CIN,W,0.645
2023-06-25,ATL,@,CIN,W,0.649
2023-06-26,ATL,Home,MIN,W,0.654
2023-06-27,ATL,Home,MIN,W,0.658
2023-06-28,ATL,Home,MIN,W,0.662
2023-06-30,ATL,Home,MIA,W,0.667
2023-07-01,ATL,Home,MIA,W,0.671
2023-07-02,ATL,Home,MIA,W,0.675
2023-07-03,ATL,@,CLE,W,0.679
2023-07-04,ATL,@,CLE,L-wo,0.671
2023-07-05,ATL,@,CLE,W,0.674
2023-07-07,ATL,@,TBR,W,0.678
2023-07-08,ATL,@,TBR,W,0.682
2023-07-09,ATL,@,TBR,L,0.674
2023-07-14,ATL,Home,CHW,W,0.678
2023-07-15,ATL,Home,CHW,L,0.67
2023-07-16,ATL,Home,CHW,L,0.663
2023-07-18,ATL,Home,ARI,L,0.656
2023-07-19,ATL,Home,ARI,L,0.649
2023-07-20,ATL,Home,ARI,W,0.653
2023-07-21,ATL,@,MIL,W,0.656
2023-07-22,ATL,@,MIL,L,0.649
2023-07-23,ATL,@,MIL,W,0.653
2023-07-25,ATL,@,BOS,L,0.646
2023-07-26,ATL,@,BOS,L,0.64
2023-07-28,ATL,Home,MIL,W,0.644
2023-07-29,ATL,Home,MIL,W,0.647
2023-07-30,ATL,Home,MIL,W,0.65
2023-07-31,ATL,Home,LAA,L,0.644
2023-08-01,ATL,Home,LAA,W,0.648
2023-08-02,ATL,Home,LAA,W,0.651
2023-08-04,ATL,@,CHC,W,0.654
2023-08-05,ATL,@,CHC,L,0.648
2023-08-06,ATL,@,CHC,L,0.642
2023-08-07,ATL,@,PIT,L,0.636
2023-08-08,ATL,@,PIT,W,0.64
2023-08-09,ATL,@,PIT,W,0.643
2023-08-10,ATL,@,PIT,L,0.637
2023-08-11,ATL,@,NYM,W,0.64
2023-08-12,ATL,@,NYM,W,0.643
2023-08-12,ATL,@,NYM,W,0.647
2023-08-13,ATL,@,NYM,L,0.641
2023-08-14,ATL,Home,NYY,W,0.644
2023-08-15,ATL,Home,NYY,W,0.647
2023-08-16,ATL,Home,NYY,W,0.65
2023-08-18,ATL,Home,SFG,W,0.653
2023-08-19,ATL,Home,SFG,W,0.656
2023-08-20,ATL,Home,SFG,L,0.65
2023-08-21,ATL,Home,NYM,L,0.645
2023-08-22,ATL,Home,NYM,W,0.648
2023-08-23,ATL,Home,NYM,W,0.651
2023-08-25,ATL,@,SFG,W,0.654
2023-08-26,ATL,@,SFG,W,0.656
2023-08-27,ATL,@,SFG,L,0.651
2023-08-28,ATL,@,COL,W,0.654
2023-08-29,ATL,@,COL,W,0.656
2023-08-30,ATL,@,COL,W,0.659
2023-08-31,ATL,@,LAD,W,0.662
2023-09-01,ATL,@,LAD,W,0.664
2023-09-02,ATL,@,LAD,W,0.667
2023-09-03,ATL,@,LAD,L,0.662
2023-09-05,ATL,Home,STL,L,0.657
2023-09-06,ATL,Home,STL,L,0.652
2023-09-07,ATL,Home,STL,W,0.655
2023-09-08,ATL,Home,PIT,W,0.657
2023-09-09,ATL,Home,PIT,L,0.652
2023-09-10,ATL,Home,PIT,W,0.655
2023-09-11,ATL,@,PHI,W,0.657
2023-09-11,ATL,@,PHI,L,0.653
2023-09-12,ATL,@,PHI,W,0.655
2023-09-13,ATL,@,PHI,W,0.658
2023-09-15,ATL,@,MIA,L,0.653
2023-09-16,ATL,@,MIA,L,0.649
2023-09-17,ATL,@,MIA,L,0.644
2023-09-18,ATL,Home,PHI,L,0.64
2023-09-19,ATL,Home,PHI,W,0.642
2023-09-20,ATL,Home,PHI,L,0.638
2023-09-21,ATL,@,WSN,W,0.641
2023-09-22,ATL,@,WSN,W,0.643
2023-09-24,ATL,@,WSN,L,0.639
2023-09-24,ATL,@,WSN,W,0.641
2023-09-26,ATL,Home,CHC,W,0.643
2023-09-27,ATL,Home,CHC,W-wo,0.646
2023-09-28,ATL,Home,CHC,W,0.648
2023-09-29,ATL,Home,WSN,L,0.644
2023-09-30,ATL,Home,WSN,W,0.646
2023-10-01,ATL,Home,WSN,L,0.642
