date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,BAL,@,BOS,W,1.0
2023-04-01,BAL,@,BOS,L-wo,0.5
2023-04-02,BAL,@,BOS,L,0.333
2023-04-03,BAL,@,TEX,W,0.5
2023-04-04,BAL,@,TEX,W,0.6
2023-04-05,BAL,@,TEX,L,0.5
2023-04-07,BAL,Home,NYY,W,0.571
2023-04-08,BAL,Home,NYY,L,0.5
2023-04-09,BAL,Home,NYY,L,0.444
2023-04-10,BAL,Home,OAK,W,0.5
2023-04-11,BAL,Home,OAK,W,0.545
2023-04-12,BAL,Home,OAK,L,0.5
2023-04-13,BAL,Home,OAK,W-wo,0.538
2023-04-14,BAL,@,CHW,W,0.571
2023-04-15,BAL,@,CHW,L-wo,0.533
2023-04-16,BAL,@,CHW,W,0.562
2023-04-18,BAL,@,WSN,W,0.588
2023-04-19,BAL,@,WSN,W,0.611
2023-04-21,BAL,Home,DET,W-wo,0.632
2023-04-22,BAL,Home,DET,W,0.65
2023-04-23,BAL,Home,DET,W-wo,0.667
2023-04-24,BAL,Home,BOS,W,0.682
2023-04-25,BAL,Home,BOS,L,0.652
2023-04-26,BAL,Home,BOS,W,0.667
2023-04-27,BAL,@,DET,W,0.68
2023-04-29,BAL,@,DET,L,0.654
2023-04-29,BAL,@,DET,W,0.667
2023-04-30,BAL,@,DET,W,0.679
2023-05-02,BAL,@,KCR,W,0.69
2023-05-03,BAL,@,KCR,L,0.667
2023-05-04,BAL,@,KCR,W,0.677
2023-05-05,BAL,@,ATL,W,0.688
2023-05-06,BAL,@,ATL,L,0.667
2023-05-07,BAL,@,ATL,L-wo,0.647
2023-05-08,BAL,Home,TBR,L,0.629
2023-05-09,BAL,Home,TBR,W,0.639
2023-05-10,BAL,Home,TBR,W,0.649
2023-05-12,BAL,Home,PIT,W,0.658
2023-05-13,BAL,Home,PIT,W,0.667
2023-05-14,BAL,Home,PIT,L,0.65
2023-05-15,BAL,Home,LAA,L,0.634
2023-05-16,BAL,Home,LAA,W,0.643
2023-05-17,BAL,Home,LAA,W,0.651
2023-05-18,BAL,Home,LAA,L,0.636
2023-05-19,BAL,@,TOR,W,0.644
2023-05-20,BAL,@,TOR,W,0.652
2023-05-21,BAL,@,TOR,W,0.66
2023-05-23,BAL,@,NYY,L-wo,0.646
2023-05-24,BAL,@,NYY,W,0.653
2023-05-25,BAL,@,NYY,W,0.66
2023-05-26,BAL,Home,TEX,L,0.647
2023-05-27,BAL,Home,TEX,L,0.635
2023-05-28,BAL,Home,TEX,W,0.642
2023-05-29,BAL,Home,CLE,L,0.63
2023-05-30,BAL,Home,CLE,W,0.636
2023-05-31,BAL,Home,CLE,L,0.625
2023-06-02,BAL,@,SFG,W,0.632
2023-06-03,BAL,@,SFG,L,0.621
2023-06-04,BAL,@,SFG,W,0.627
2023-06-06,BAL,@,MIL,L-wo,0.617
2023-06-07,BAL,@,MIL,L,0.607
2023-06-08,BAL,@,MIL,W,0.613
2023-06-09,BAL,Home,KCR,W,0.619
2023-06-10,BAL,Home,KCR,W,0.625
2023-06-11,BAL,Home,KCR,W,0.631
2023-06-13,BAL,Home,TOR,W,0.636
2023-06-14,BAL,Home,TOR,L,0.627
2023-06-15,BAL,Home,TOR,W,0.632
2023-06-16,BAL,@,CHC,L,0.623
2023-06-17,BAL,@,CHC,L,0.614
2023-06-18,BAL,@,CHC,W,0.62
2023-06-20,BAL,@,TBR,W,0.625
2023-06-21,BAL,@,TBR,L,0.616
2023-06-23,BAL,Home,SEA,L,0.608
2023-06-24,BAL,Home,SEA,W-wo,0.613
2023-06-25,BAL,Home,SEA,W,0.618
2023-06-26,BAL,Home,CIN,W,0.623
2023-06-27,BAL,Home,CIN,L,0.615
2023-06-28,BAL,Home,CIN,L,0.608
