date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,CIN,Home,PIT,L,0.0
2023-04-01,CIN,Home,PIT,W,0.5
2023-04-02,CIN,Home,PIT,W,0.667
2023-04-03,CIN,Home,CHC,W,0.75
2023-04-04,CIN,Home,CHC,L,0.6
2023-04-07,CIN,@,PHI,L,0.5
2023-04-08,CIN,@,PHI,L-wo,0.429
2023-04-09,CIN,@,PHI,W,0.5
2023-04-10,CIN,@,ATL,L-wo,0.444
2023-04-11,CIN,@,ATL,L,0.4
2023-04-12,CIN,@,ATL,L,0.364
2023-04-13,CIN,Home,PHI,W,0.417
2023-04-14,CIN,Home,PHI,L,0.385
2023-04-15,CIN,Home,PHI,W,0.429
2023-04-16,CIN,Home,PHI,L,0.4
2023-04-17,CIN,Home,TBR,W,0.438
2023-04-18,CIN,Home,TBR,L,0.412
2023-04-19,CIN,Home,TBR,L,0.389
2023-04-20,CIN,@,PIT,L,0.368
2023-04-21,CIN,@,PIT,L,0.35
2023-04-22,CIN,@,PIT,L,0.333
2023-04-23,CIN,@,PIT,L,0.318
2023-04-24,CIN,Home,TEX,W-wo,0.348
2023-04-25,CIN,Home,TEX,W,0.375
2023-04-26,CIN,Home,TEX,W-wo,0.4
2023-04-28,CIN,@,OAK,W,0.423
2023-04-29,CIN,@,OAK,W,0.444
2023-04-30,CIN,@,OAK,L-wo,0.429
2023-05-01,CIN,@,SDP,L,0.414
2023-05-02,CIN,@,SDP,W,0.433
2023-05-03,CIN,@,SDP,L,0.419
2023-05-05,CIN,Home,CHW,L,0.406
2023-05-06,CIN,Home,CHW,W,0.424
2023-05-07,CIN,Home,CHW,L,0.412
2023-05-09,CIN,Home,NYM,W,0.429
2023-05-10,CIN,Home,NYM,L,0.417
2023-05-11,CIN,Home,NYM,W,0.432
2023-05-12,CIN,@,MIA,W,0.447
2023-05-13,CIN,@,MIA,W,0.462
2023-05-14,CIN,@,MIA,L,0.45
2023-05-15,CIN,@,COL,L,0.439
2023-05-16,CIN,@,COL,W,0.452
2023-05-17,CIN,@,COL,L,0.442
2023-05-19,CIN,Home,NYY,L,0.432
2023-05-20,CIN,Home,NYY,L,0.422
2023-05-21,CIN,Home,NYY,L,0.413
2023-05-22,CIN,Home,STL,W-wo,0.426
2023-05-23,CIN,Home,STL,L,0.417
2023-05-24,CIN,Home,STL,W,0.429
2023-05-25,CIN,Home,STL,L,0.42
2023-05-26,CIN,@,CHC,W,0.431
2023-05-27,CIN,@,CHC,W,0.442
2023-05-28,CIN,@,CHC,W,0.453
2023-05-30,CIN,@,BOS,W,0.463
2023-05-31,CIN,@,BOS,W,0.473
2023-06-01,CIN,@,BOS,L,0.464
2023-06-02,CIN,Home,MIL,L,0.456
2023-06-03,CIN,Home,MIL,L,0.448
2023-06-04,CIN,Home,MIL,L,0.441
2023-06-05,CIN,Home,MIL,W,0.45
2023-06-06,CIN,Home,LAD,W-wo,0.459
2023-06-07,CIN,Home,LAD,W-wo,0.468
2023-06-08,CIN,Home,LAD,L,0.46
2023-06-09,CIN,@,STL,L,0.453
2023-06-10,CIN,@,STL,W,0.462
2023-06-11,CIN,@,STL,W,0.47
2023-06-12,CIN,@,KCR,W,0.478
2023-06-13,CIN,@,KCR,W,0.485
2023-06-14,CIN,@,KCR,W,0.493
2023-06-16,CIN,@,HOU,W,0.5
