date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,KCR,Home,MIN,L,0.0
2023-04-01,KCR,Home,MIN,L,0.0
2023-04-02,KCR,Home,MIN,L,0.0
2023-04-03,KCR,Home,TOR,W,0.25
2023-04-04,KCR,Home,TOR,L,0.2
2023-04-05,KCR,Home,TOR,L,0.167
2023-04-06,KCR,Home,TOR,L,0.143
2023-04-07,KCR,@,SFG,W,0.25
2023-04-08,KCR,@,SFG,W,0.333
2023-04-09,KCR,@,SFG,L,0.3
2023-04-10,KCR,@,TEX,L,0.273
2023-04-11,KCR,@,TEX,L-wo,0.25
2023-04-12,KCR,@,TEX,W,0.308
2023-04-14,KCR,Home,ATL,L,0.286
2023-04-15,KCR,Home,ATL,L,0.267
2023-04-16,KCR,Home,ATL,L,0.25
2023-04-17,KCR,Home,TEX,L,0.235
2023-04-18,KCR,Home,TEX,L,0.222
2023-04-19,KCR,Home,TEX,L,0.211
2023-04-21,KCR,@,LAA,L,0.2
2023-04-22,KCR,@,LAA,W,0.238
2023-04-23,KCR,@,LAA,L,0.227
2023-04-24,KCR,@,ARI,L,0.217
2023-04-25,KCR,@,ARI,W,0.25
2023-04-26,KCR,@,ARI,L,0.24
2023-04-27,KCR,@,MIN,L,0.231
2023-04-28,KCR,@,MIN,L,0.222
2023-04-29,KCR,@,MIN,W,0.25
2023-04-30,KCR,@,MIN,L,0.241
2023-05-02,KCR,Home,BAL,L,0.233
2023-05-03,KCR,Home,BAL,W,0.258
2023-05-04,KCR,Home,BAL,L,0.25
2023-05-05,KCR,Home,OAK,L,0.242
2023-05-06,KCR,Home,OAK,L,0.235
2023-05-07,KCR,Home,OAK,W,0.257
2023-05-08,KCR,Home,CHW,W,0.278
2023-05-09,KCR,Home,CHW,L,0.27
2023-05-10,KCR,Home,CHW,W,0.289
2023-05-11,KCR,Home,CHW,W-wo,0.308
2023-05-12,KCR,@,MIL,L,0.3
2023-05-13,KCR,@,MIL,L-wo,0.293
2023-05-14,KCR,@,MIL,L,0.286
2023-05-15,KCR,@,SDP,L,0.279
