date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,MIL,@,CHC,L,0.0
2023-04-01,MIL,@,CHC,W,0.5
2023-04-02,MIL,@,CHC,W,0.667
2023-04-03,MIL,Home,NYM,W,0.75
2023-04-04,MIL,Home,NYM,W,0.8
2023-04-05,MIL,Home,NYM,W-wo,0.833
2023-04-07,MIL,Home,STL,W,0.857
2023-04-08,MIL,Home,STL,L,0.75
2023-04-09,MIL,Home,STL,W,0.778
2023-04-10,MIL,@,ARI,L,0.7
2023-04-11,MIL,@,ARI,W,0.727
2023-04-12,MIL,@,ARI,L,0.667
2023-04-13,MIL,@,SDP,W,0.692
2023-04-14,MIL,@,SDP,W,0.714
2023-04-15,MIL,@,SDP,L,0.667
2023-04-16,MIL,@,SDP,W,0.688
2023-04-17,MIL,@,SEA,W,0.706
2023-04-18,MIL,@,SEA,W,0.722
2023-04-19,MIL,@,SEA,W,0.737
2023-04-21,MIL,Home,BOS,L,0.7
2023-04-22,MIL,Home,BOS,W,0.714
2023-04-23,MIL,Home,BOS,L,0.682
2023-04-24,MIL,Home,DET,L,0.652
2023-04-25,MIL,Home,DET,L,0.625
2023-04-26,MIL,Home,DET,W,0.64
2023-04-28,MIL,Home,LAA,W,0.654
2023-04-29,MIL,Home,LAA,W,0.667
2023-04-30,MIL,Home,LAA,L,0.643
2023-05-02,MIL,@,COL,L,0.621
2023-05-03,MIL,@,COL,L,0.6
2023-05-04,MIL,@,COL,L,0.581
2023-05-05,MIL,@,SFG,L,0.562
2023-05-06,MIL,@,SFG,L,0.545
2023-05-07,MIL,@,SFG,W,0.559
2023-05-08,MIL,Home,LAD,W,0.571
2023-05-09,MIL,Home,LAD,L,0.556
2023-05-10,MIL,Home,LAD,L,0.541
2023-05-12,MIL,Home,KCR,W,0.553
2023-05-13,MIL,Home,KCR,W-wo,0.564
2023-05-14,MIL,Home,KCR,W,0.575
2023-05-15,MIL,@,STL,L,0.561
2023-05-16,MIL,@,STL,W,0.571
2023-05-17,MIL,@,STL,L,0.558
2023-05-19,MIL,@,TBR,L,0.545
2023-05-20,MIL,@,TBR,L,0.533
2023-05-21,MIL,@,TBR,W,0.543
2023-05-22,MIL,Home,HOU,L,0.532
2023-05-23,MIL,Home,HOU,W,0.542
2023-05-24,MIL,Home,HOU,W,0.551
2023-05-25,MIL,Home,SFG,L,0.54
2023-05-26,MIL,Home,SFG,L,0.529
2023-05-27,MIL,Home,SFG,L,0.519
2023-05-28,MIL,Home,SFG,W,0.528
2023-05-30,MIL,@,TOR,L,0.519
2023-05-31,MIL,@,TOR,W,0.527
2023-06-01,MIL,@,TOR,L,0.518
2023-06-02,MIL,@,CIN,W,0.526
2023-06-03,MIL,@,CIN,W,0.534
2023-06-04,MIL,@,CIN,W,0.542
2023-06-05,MIL,@,CIN,L,0.533
2023-06-06,MIL,Home,BAL,W-wo,0.541
2023-06-07,MIL,Home,BAL,W,0.548
2023-06-08,MIL,Home,BAL,L,0.54
2023-06-09,MIL,Home,OAK,L,0.531
2023-06-10,MIL,Home,OAK,L,0.523
2023-06-11,MIL,Home,OAK,L,0.515
2023-06-13,MIL,@,MIN,L-wo,0.507
2023-06-14,MIL,@,MIN,L,0.5
2023-06-16,MIL,Home,PIT,W,0.507
2023-06-17,MIL,Home,PIT,W,0.514
2023-06-18,MIL,Home,PIT,W,0.521
2023-06-19,MIL,Home,ARI,L,0.514
2023-06-20,MIL,Home,ARI,W,0.521
2023-06-21,MIL,Home,ARI,L,0.514
2023-06-23,MIL,@,CLE,W,0.52
2023-06-24,MIL,@,CLE,L,0.513
2023-06-25,MIL,@,CLE,W,0.519
2023-06-26,MIL,@,NYM,W,0.526
2023-06-27,MIL,@,NYM,L,0.519
2023-06-28,MIL,@,NYM,W,0.525
2023-06-29,MIL,@,NYM,W,0.531
2023-06-30,MIL,@,PIT,L-wo,0.524
2023-07-01,MIL,@,PIT,W,0.53
2023-07-02,MIL,@,PIT,W,0.536
2023-07-03,MIL,Home,CHC,W,0.541
2023-07-04,MIL,Home,CHC,L,0.535
2023-07-05,MIL,Home,CHC,L,0.529
2023-07-06,MIL,Home,CHC,W,0.534
2023-07-07,MIL,Home,CIN,W,0.539
2023-07-08,MIL,Home,CIN,L,0.533
2023-07-09,MIL,Home,CIN,W,0.538
2023-07-14,MIL,@,CIN,W,0.543
2023-07-15,MIL,@,CIN,W,0.548
2023-07-16,MIL,@,CIN,W,0.553
2023-07-18,MIL,@,PHI,L,0.547
2023-07-19,MIL,@,PHI,W,0.552
2023-07-20,MIL,@,PHI,W,0.557
2023-07-21,MIL,Home,ATL,L,0.551
2023-07-22,MIL,Home,ATL,W,0.556
2023-07-23,MIL,Home,ATL,L,0.55
2023-07-24,MIL,Home,CIN,W-wo,0.554
2023-07-25,MIL,Home,CIN,L,0.549
2023-07-26,MIL,Home,CIN,W,0.553
2023-07-28,MIL,@,ATL,L,0.548
2023-07-29,MIL,@,ATL,L,0.543
2023-07-30,MIL,@,ATL,L,0.538
2023-07-31,MIL,@,WSN,L,0.533
2023-08-01,MIL,@,WSN,W,0.537
2023-08-02,MIL,@,WSN,L-wo,0.532
2023-08-03,MIL,Home,PIT,W,0.536
2023-08-04,MIL,Home,PIT,L,0.532
2023-08-05,MIL,Home,PIT,W-wo,0.536
2023-08-06,MIL,Home,PIT,L,0.531
2023-08-07,MIL,Home,COL,W,0.535
2023-08-08,MIL,Home,COL,L,0.53
2023-08-09,MIL,Home,COL,W-wo,0.534
2023-08-11,MIL,@,CHW,W,0.538
