date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,STL,Home,TOR,L,0.0
2023-04-01,STL,Home,TOR,W,0.5
2023-04-02,STL,Home,TOR,W,0.667
2023-04-03,STL,Home,ATL,L,0.5
2023-04-04,STL,Home,ATL,L,0.4
2023-04-05,STL,Home,ATL,L,0.333
2023-04-07,STL,@,MIL,L,0.286
2023-04-08,STL,@,MIL,W,0.375
2023-04-09,STL,@,MIL,L,0.333
2023-04-10,STL,@,COL,L,0.3
2023-04-11,STL,@,COL,W,0.364
2023-04-12,STL,@,COL,W,0.417
2023-04-13,STL,Home,PIT,L,0.385
2023-04-14,STL,Home,PIT,W,0.429
2023-04-15,STL,Home,PIT,L,0.4
2023-04-16,STL,Home,PIT,W-wo,0.438
2023-04-17,STL,Home,ARI,L,0.412
2023-04-18,STL,Home,ARI,L,0.389
2023-04-19,STL,Home,ARI,W,0.421
2023-04-21,STL,@,SEA,L,0.4
2023-04-22,STL,@,SEA,L,0.381
2023-04-23,STL,@,SEA,W,0.409
2023-04-24,STL,@,SFG,L,0.391
2023-04-25,STL,@,SFG,L-wo,0.375
2023-04-26,STL,@,SFG,L,0.36
2023-04-27,STL,@,SFG,W,0.385
2023-04-28,STL,@,LAD,L,0.37
2023-04-29,STL,@,LAD,L,0.357
2023-04-30,STL,@,LAD,L,0.345
2023-05-02,STL,Home,LAA,L,0.333
2023-05-03,STL,Home,LAA,L,0.323
2023-05-04,STL,Home,LAA,L,0.312
2023-05-05,STL,Home,DET,L,0.303
2023-05-06,STL,Home,DET,L,0.294
2023-05-07,STL,Home,DET,W,0.314
2023-05-08,STL,@,CHC,W,0.333
2023-05-09,STL,@,CHC,W,0.351
2023-05-10,STL,@,CHC,L,0.342
2023-05-12,STL,@,BOS,W,0.359
2023-05-13,STL,@,BOS,W,0.375
2023-05-14,STL,@,BOS,W,0.39
2023-05-15,STL,Home,MIL,W,0.405
2023-05-16,STL,Home,MIL,L,0.395
2023-05-17,STL,Home,MIL,W,0.409
2023-05-18,STL,Home,LAD,W,0.422
2023-05-19,STL,Home,LAD,L,0.413
2023-05-20,STL,Home,LAD,W,0.426
2023-05-21,STL,Home,LAD,W,0.438
2023-05-22,STL,@,CIN,L-wo,0.429
2023-05-23,STL,@,CIN,W,0.44
2023-05-24,STL,@,CIN,L,0.431
2023-05-25,STL,@,CIN,W,0.442
2023-05-26,STL,@,CLE,L,0.434
2023-05-27,STL,@,CLE,W,0.444
2023-05-28,STL,@,CLE,L-wo,0.436
2023-05-29,STL,Home,KCR,L,0.429
2023-05-30,STL,Home,KCR,W,0.439
2023-06-02,STL,@,PIT,L,0.431
2023-06-03,STL,@,PIT,L,0.424
2023-06-04,STL,@,PIT,L,0.417
2023-06-05,STL,@,TEX,L-wo,0.41
2023-06-06,STL,@,TEX,L,0.403
2023-06-07,STL,@,TEX,W,0.413
2023-06-09,STL,Home,CIN,W,0.422
2023-06-10,STL,Home,CIN,L,0.415
2023-06-11,STL,Home,CIN,L,0.409
2023-06-12,STL,Home,SFG,L,0.403
2023-06-13,STL,Home,SFG,L,0.397
2023-06-14,STL,Home,SFG,L,0.391
2023-06-16,STL,@,NYM,L,0.386
2023-06-17,STL,@,NYM,W,0.394
2023-06-18,STL,@,NYM,W,0.403
2023-06-19,STL,@,WSN,W,0.411
2023-06-20,STL,@,WSN,W,0.419
2023-06-21,STL,@,WSN,L,0.413
2023-06-24,STL,Home,CHC,L,0.408
2023-06-25,STL,Home,CHC,W,0.416
2023-06-27,STL,Home,HOU,W,0.423
2023-06-28,STL,Home,HOU,L,0.418
2023-06-29,STL,Home,HOU,L,0.412
2023-07-01,STL,Home,NYY,W,0.42
2023-07-01,STL,Home,NYY,L,0.415
2023-07-02,STL,Home,NYY,W,0.422
2023-07-03,STL,@,MIA,L,0.417
2023-07-04,STL,@,MIA,L,0.412
2023-07-05,STL,@,MIA,L-wo,0.407
2023-07-06,STL,@,MIA,W,0.414
2023-07-07,STL,@,CHW,L,0.409
2023-07-08,STL,@,CHW,W,0.416
2023-07-09,STL,@,CHW,W,0.422
2023-07-14,STL,Home,WSN,L,0.418
2023-07-15,STL,Home,WSN,W,0.424
2023-07-16,STL,Home,WSN,W,0.43
2023-07-17,STL,Home,MIA,W,0.436
2023-07-18,STL,Home,MIA,W-wo,0.442
2023-07-19,STL,Home,MIA,W,0.448
2023-07-20,STL,@,CHC,W,0.454
2023-07-21,STL,@,CHC,L,0.449
2023-07-22,STL,@,CHC,L,0.444
2023-07-23,STL,@,CHC,L,0.44
2023-07-24,STL,@,ARI,W,0.446
2023-07-25,STL,@,ARI,L,0.441
2023-07-26,STL,@,ARI,W,0.447
2023-07-27,STL,Home,CHC,L,0.442
2023-07-28,STL,Home,CHC,L,0.438
2023-07-29,STL,Home,CHC,L,0.434
2023-07-30,STL,Home,CHC,W,0.439
2023-08-01,STL,Home,MIN,L,0.435
2023-08-02,STL,Home,MIN,W,0.44
2023-08-03,STL,Home,MIN,L,0.436
2023-08-04,STL,Home,COL,L,0.432
