date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,TBR,Home,DET,W,1.0
2023-04-01,TBR,Home,DET,W,1.0
2023-04-02,TBR,Home,DET,W,1.0
2023-04-03,TBR,@,WSN,W,1.0
2023-04-04,TBR,@,WSN,W,1.0
2023-04-05,TBR,@,WSN,W,1.0
2023-04-07,TBR,Home,OAK,W,1.0
2023-04-08,TBR,Home,OAK,W,1.0
2023-04-09,TBR,Home,OAK,W,1.0
2023-04-10,TBR,Home,BOS,W,1.0
2023-04-11,TBR,Home,BOS,W,1.0
2023-04-12,TBR,Home,BOS,W,1.0
2023-04-13,TBR,Home,BOS,W,1.0
2023-04-14,TBR,@,TOR,L,0.929
2023-04-15,TBR,@,TOR,L,0.867
2023-04-16,TBR,@,TOR,W,0.875
2023-04-17,TBR,@,CIN,L,0.824
2023-04-18,TBR,@,CIN,W,0.833
2023-04-19,TBR,@,CIN,W,0.842
2023-04-21,TBR,Home,CHW,W-wo,0.85
2023-04-22,TBR,Home,CHW,W-wo,0.857
2023-04-23,TBR,Home,CHW,W,0.864
2023-04-24,TBR,Home,HOU,W,0.87
2023-04-25,TBR,Home,HOU,L,0.833
2023-04-26,TBR,Home,HOU,L,0.8
2023-04-27,TBR,@,CHW,W,0.808
2023-04-28,TBR,@,CHW,W,0.815
2023-04-29,TBR,@,CHW,W,0.821
2023-04-30,TBR,@,CHW,L-wo,0.793
2023-05-02,TBR,Home,PIT,W,0.8
2023-05-03,TBR,Home,PIT,W,0.806
2023-05-04,TBR,Home,PIT,W,0.812
2023-05-05,TBR,Home,NYY,W,0.818
2023-05-06,TBR,Home,NYY,L,0.794
2023-05-07,TBR,Home,NYY,W-wo,0.8
2023-05-08,TBR,@,BAL,W,0.806
2023-05-09,TBR,@,BAL,L,0.784
2023-05-10,TBR,@,BAL,L,0.763
2023-05-11,TBR,@,NYY,W,0.769
2023-05-12,TBR,@,NYY,L,0.75
2023-05-13,TBR,@,NYY,L,0.732
2023-05-14,TBR,@,NYY,W,0.738
2023-05-16,TBR,@,NYM,W,0.744
2023-05-17,TBR,@,NYM,L-wo,0.727
2023-05-18,TBR,@,NYM,L,0.711
2023-05-19,TBR,Home,MIL,W,0.717
2023-05-20,TBR,Home,MIL,W,0.723
2023-05-21,TBR,Home,MIL,L,0.708
2023-05-22,TBR,Home,TOR,W,0.714
2023-05-23,TBR,Home,TOR,L,0.7
2023-05-24,TBR,Home,TOR,W,0.706
2023-05-25,TBR,Home,TOR,W,0.712
2023-05-26,TBR,Home,LAD,W,0.717
2023-05-27,TBR,Home,LAD,L,0.704
2023-05-28,TBR,Home,LAD,W,0.709
2023-05-29,TBR,@,CHC,L,0.696
2023-05-30,TBR,@,CHC,L,0.684
2023-05-31,TBR,@,CHC,W,0.69
2023-06-03,TBR,@,BOS,L,0.678
2023-06-03,TBR,@,BOS,W,0.683
2023-06-04,TBR,@,BOS,W,0.689
2023-06-05,TBR,@,BOS,W,0.694
2023-06-06,TBR,Home,MIN,W,0.698
2023-06-07,TBR,Home,MIN,W-wo,0.703
2023-06-08,TBR,Home,MIN,W,0.708
2023-06-09,TBR,Home,TEX,W,0.712
2023-06-10,TBR,Home,TEX,L,0.701
2023-06-11,TBR,Home,TEX,W,0.706
2023-06-12,TBR,@,OAK,L,0.696
2023-06-13,TBR,@,OAK,L,0.686
2023-06-14,TBR,@,OAK,W,0.69
2023-06-15,TBR,@,OAK,W,0.694
2023-06-16,TBR,@,SDP,W,0.699
2023-06-17,TBR,@,SDP,L,0.689
2023-06-18,TBR,@,SDP,L,0.68
2023-06-20,TBR,Home,BAL,L,0.671
2023-06-21,TBR,Home,BAL,W,0.675
2023-06-22,TBR,Home,KCR,L,0.667
2023-06-23,TBR,Home,KCR,W,0.671
2023-06-24,TBR,Home,KCR,L,0.662
2023-06-25,TBR,Home,KCR,W,0.667
2023-06-27,TBR,@,ARI,L,0.659
2023-06-28,TBR,@,ARI,W,0.663
2023-06-29,TBR,@,ARI,W,0.667
2023-06-30,TBR,@,SEA,W,0.671
2023-07-01,TBR,@,SEA,L,0.663
2023-07-02,TBR,@,SEA,L,0.655
2023-07-04,TBR,Home,PHI,L,0.648
2023-07-05,TBR,Home,PHI,L,0.64
2023-07-06,TBR,Home,PHI,L,0.633
2023-07-07,TBR,Home,ATL,L,0.626
2023-07-08,TBR,Home,ATL,L,0.62
2023-07-09,TBR,Home,ATL,W,0.624
2023-07-15,TBR,@,KCR,W,0.628
2023-07-15,TBR,@,KCR,W,0.632
2023-07-16,TBR,@,KCR,L,0.625
2023-07-17,TBR,@,TEX,L-wo,0.619
2023-07-18,TBR,@,TEX,L,0.612
2023-07-19,TBR,@,TEX,L,0.606
2023-07-20,TBR,Home,BAL,L,0.6
2023-07-21,TBR,Home,BAL,W,0.604
2023-07-22,TBR,Home,BAL,L,0.598
2023-07-23,TBR,Home,BAL,L,0.592
2023-07-25,TBR,Home,MIA,W,0.596
2023-07-26,TBR,Home,MIA,L,0.59
2023-07-28,TBR,@,HOU,W,0.594
2023-07-29,TBR,@,HOU,L,0.589
2023-07-30,TBR,@,HOU,W,0.593
2023-07-31,TBR,@,NYY,W,0.596
2023-08-01,TBR,@,NYY,W,0.6
2023-08-02,TBR,@,NYY,L,0.595
2023-08-04,TBR,@,DET,W,0.598
2023-08-05,TBR,@,DET,L,0.593
2023-08-06,TBR,@,DET,W,0.596
2023-08-08,TBR,Home,STL,W,0.6
2023-08-09,TBR,Home,STL,L,0.595
2023-08-10,TBR,Home,STL,L,0.59
2023-08-11,TBR,Home,CLE,W-wo,0.593
2023-08-12,TBR,Home,CLE,W-wo,0.597
2023-08-13,TBR,Home,CLE,L,0.592
2023-08-14,TBR,@,SFG,W,0.595
2023-08-15,TBR,@,SFG,L,0.59
2023-08-16,TBR,@,SFG,W,0.593
