date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,TEX,Home,PHI,W,1.0
2023-04-01,TEX,Home,PHI,W,1.0
2023-04-02,TEX,Home,PHI,W,1.0
2023-04-03,TEX,Home,BAL,L,0.75
2023-04-04,TEX,Home,BAL,L,0.6
2023-04-05,TEX,Home,BAL,W,0.667
2023-04-07,TEX,@,CHC,L,0.571
2023-04-08,TEX,@,CHC,L,0.5
2023-04-09,TEX,@,CHC,W,0.556
2023-04-10,TEX,Home,KCR,W,0.6
2023-04-11,TEX,Home,KCR,W-wo,0.636
2023-04-12,TEX,Home,KCR,L,0.583
2023-04-14,TEX,@,HOU,W,0.615
2023-04-15,TEX,@,HOU,L,0.571
2023-04-16,TEX,@,HOU,W,0.6
2023-04-17,TEX,@,KCR,W,0.625
2023-04-18,TEX,@,KCR,W,0.647
2023-04-19,TEX,@,KCR,W,0.667
2023-04-21,TEX,Home,OAK,L,0.632
2023-04-22,TEX,Home,OAK,W,0.65
2023-04-23,TEX,Home,OAK,W,0.667
2023-04-24,TEX,@,CIN,L-wo,0.636
2023-04-25,TEX,@,CIN,L,0.609
2023-04-26,TEX,@,CIN,L-wo,0.583
2023-04-27,TEX,Home,NYY,L,0.56
2023-04-28,TEX,Home,NYY,W,0.577
2023-04-29,TEX,Home,NYY,W,0.593
2023-04-30,TEX,Home,NYY,W,0.607
2023-05-02,TEX,Home,ARI,W,0.621
2023-05-03,TEX,Home,ARI,L,0.6
2023-05-05,TEX,@,LAA,L-wo,0.581
2023-05-06,TEX,@,LAA,W,0.594
2023-05-07,TEX,@,LAA,W,0.606
2023-05-08,TEX,@,SEA,W,0.618
2023-05-09,TEX,@,SEA,L,0.6
2023-05-10,TEX,@,SEA,W,0.611
2023-05-11,TEX,@,OAK,W,0.622
2023-05-12,TEX,@,OAK,L-wo,0.605
2023-05-13,TEX,@,OAK,W,0.615
2023-05-14,TEX,@,OAK,W,0.625
2023-05-15,TEX,Home,ATL,L,0.61
2023-05-16,TEX,Home,ATL,W,0.619
2023-05-17,TEX,Home,ATL,L,0.605
2023-05-19,TEX,Home,COL,W,0.614
2023-05-20,TEX,Home,COL,W,0.622
2023-05-21,TEX,Home,COL,W,0.63
2023-05-22,TEX,@,PIT,L,0.617
2023-05-23,TEX,@,PIT,W,0.625
2023-05-24,TEX,@,PIT,W,0.633
2023-05-26,TEX,@,BAL,W,0.64
2023-05-27,TEX,@,BAL,W,0.647
2023-05-28,TEX,@,BAL,L,0.635
2023-05-29,TEX,@,DET,W,0.642
2023-05-30,TEX,@,DET,W,0.648
2023-05-31,TEX,@,DET,L,0.636
2023-06-02,TEX,Home,SEA,W,0.643
2023-06-03,TEX,Home,SEA,W,0.649
2023-06-04,TEX,Home,SEA,W,0.655
2023-06-05,TEX,Home,STL,W-wo,0.661
2023-06-06,TEX,Home,STL,W,0.667
2023-06-07,TEX,Home,STL,L,0.656
2023-06-09,TEX,@,TBR,L,0.645
2023-06-10,TEX,@,TBR,W,0.651
2023-06-11,TEX,@,TBR,L,0.641
2023-06-12,TEX,Home,LAA,L,0.631
2023-06-13,TEX,Home,LAA,L,0.621
2023-06-14,TEX,Home,LAA,W,0.627
2023-06-15,TEX,Home,LAA,L,0.618
2023-06-16,TEX,Home,TOR,L,0.609
2023-06-17,TEX,Home,TOR,W,0.614
2023-06-18,TEX,Home,TOR,W,0.62
2023-06-19,TEX,@,CHW,W,0.625
2023-06-20,TEX,@,CHW,L,0.616
2023-06-21,TEX,@,CHW,W,0.622
2023-06-23,TEX,@,NYY,W,0.627
2023-06-24,TEX,@,NYY,L,0.618
2023-06-25,TEX,@,NYY,L,0.61
2023-06-26,TEX,Home,DET,L,0.603
2023-06-27,TEX,Home,DET,W,0.608
2023-06-28,TEX,Home,DET,W,0.612
2023-06-29,TEX,Home,DET,L,0.605
2023-06-30,TEX,Home,HOU,L,0.598
2023-07-01,TEX,Home,HOU,W,0.602
2023-07-02,TEX,Home,HOU,L,0.595
2023-07-03,TEX,Home,HOU,L,0.588
2023-07-04,TEX,@,BOS,W,0.593
2023-07-05,TEX,@,BOS,L,0.586
2023-07-06,TEX,@,BOS,L,0.58
2023-07-07,TEX,@,WSN,W,0.584
2023-07-08,TEX,@,WSN,L,0.578
2023-07-09,TEX,@,WSN,L,0.571
2023-07-14,TEX,Home,CLE,W,0.576
2023-07-15,TEX,Home,CLE,W,0.581
2023-07-16,TEX,Home,CLE,W,0.585
2023-07-17,TEX,Home,TBR,W-wo,0.589
2023-07-18,TEX,Home,TBR,W,0.594
2023-07-19,TEX,Home,TBR,W,0.598
2023-07-21,TEX,Home,LAD,L,0.592
2023-07-22,TEX,Home,LAD,L,0.586
2023-07-23,TEX,Home,LAD,W,0.59
2023-07-24,TEX,@,HOU,L-wo,0.584
2023-07-25,TEX,@,HOU,L,0.578
2023-07-26,TEX,@,HOU,W,0.583
2023-07-28,TEX,@,SDP,L,0.577
2023-07-29,TEX,@,SDP,L,0.571
2023-07-30,TEX,@,SDP,L,0.566
2023-08-01,TEX,Home,CHW,W,0.57
2023-08-02,TEX,Home,CHW,W,0.574
2023-08-03,TEX,Home,CHW,W,0.578
2023-08-04,TEX,Home,MIA,W,0.582
2023-08-05,TEX,Home,MIA,W,0.586
2023-08-06,TEX,Home,MIA,W,0.589
2023-08-07,TEX,@,OAK,W,0.593
2023-08-08,TEX,@,OAK,W,0.596
2023-08-09,TEX,@,OAK,L,0.591
2023-08-11,TEX,@,SFG,W,0.595
2023-08-12,TEX,@,SFG,W,0.598
2023-08-13,TEX,@,SFG,L-wo,0.593
2023-08-14,TEX,Home,LAA,W,0.597
2023-08-15,TEX,Home,LAA,W,0.6
2023-08-16,TEX,Home,LAA,L,0.595
2023-08-18,TEX,Home,MIL,L,0.59
2023-08-19,TEX,Home,MIL,L,0.585
2023-08-20,TEX,Home,MIL,L,0.581
2023-08-21,TEX,@,ARI,L-wo,0.576
2023-08-22,TEX,@,ARI,L,0.571
2023-08-24,TEX,@,MIN,L,0.567
2023-08-25,TEX,@,MIN,L,0.562
2023-08-26,TEX,@,MIN,W,0.566
2023-08-27,TEX,@,MIN,L-wo,0.562
2023-08-28,TEX,@,NYM,W,0.565
2023-08-29,TEX,@,NYM,W,0.568
2023-08-30,TEX,@,NYM,L-wo,0.564
2023-09-01,TEX,Home,MIN,L,0.56
2023-09-02,TEX,Home,MIN,L,0.556
2023-09-03,TEX,Home,MIN,W-wo,0.559
2023-09-04,TEX,Home,HOU,L,0.555
2023-09-05,TEX,Home,HOU,L,0.551
2023-09-06,TEX,Home,HOU,L,0.547
2023-09-08,TEX,Home,OAK,L,0.543
2023-09-09,TEX,Home,OAK,W,0.546
2023-09-10,TEX,Home,OAK,W,0.549
2023-09-11,TEX,@,TOR,W,0.552
2023-09-12,TEX,@,TOR,W,0.556
2023-09-13,TEX,@,TOR,W,0.559
2023-09-14,TEX,@,TOR,W,0.562
2023-09-15,TEX,@,CLE,L,0.558
2023-09-16,TEX,@,CLE,L,0.554
2023-09-17,TEX,@,CLE,L,0.55
2023-09-18,TEX,Home,BOS,L,0.547
2023-09-19,TEX,Home,BOS,W,0.55
2023-09-20,TEX,Home,BOS,W,0.553
2023-09-22,TEX,Home,SEA,W,0.556
2023-09-23,TEX,Home,SEA,W,0.558
2023-09-24,TEX,Home,SEA,W,0.561
2023-09-25,TEX,@,LAA,W,0.564
2023-09-26,TEX,@,LAA,L,0.561
2023-09-27,TEX,@,LAA,W,0.563
2023-09-28,TEX,@,SEA,L-wo,0.56
2023-09-29,TEX,@,SEA,L,0.556
2023-09-30,TEX,@,SEA,W,0.559
2023-10-01,TEX,@,SEA,L,0.556
