date,team_ID,home_or_away,opponent,result,win_percentage
2023-03-30,WSN,Home,ATL,L,0.0
2023-04-01,WSN,Home,ATL,L,0.0
2023-04-02,WSN,Home,ATL,W,0.333
2023-04-03,WSN,Home,TBR,L,0.25
2023-04-04,WSN,Home,TBR,L,0.2
2023-04-05,WSN,Home,TBR,L,0.167
2023-04-06,WSN,@,COL,L,0.143
2023-04-07,WSN,@,COL,W,0.25
2023-04-08,WSN,@,COL,W,0.333
2023-04-09,WSN,@,COL,L,0.3
2023-04-10,WSN,@,LAA,W,0.364
2023-04-11,WSN,@,LAA,L,0.333
2023-04-12,WSN,@,LAA,L,0.308
2023-04-14,WSN,Home,CLE,L,0.286
2023-04-15,WSN,Home,CLE,L,0.267
2023-04-16,WSN,Home,CLE,W,0.312
2023-04-18,WSN,Home,BAL,L,0.294
2023-04-19,WSN,Home,BAL,L,0.278
2023-04-21,WSN,@,MIN,W,0.316
2023-04-22,WSN,@,MIN,W,0.35
2023-04-23,WSN,@,MIN,L,0.333
2023-04-25,WSN,@,NYM,W,0.364
2023-04-26,WSN,@,NYM,W,0.391
2023-04-27,WSN,@,NYM,L,0.375
2023-04-29,WSN,Home,PIT,L,0.36
2023-04-29,WSN,Home,PIT,L,0.346
2023-04-30,WSN,Home,PIT,W,0.37
2023-05-01,WSN,Home,CHC,L,0.357
2023-05-02,WSN,Home,CHC,W,0.379
2023-05-03,WSN,Home,CHC,W,0.4
2023-05-04,WSN,Home,CHC,W-wo,0.419
2023-05-05,WSN,@,ARI,L,0.406
2023-05-06,WSN,@,ARI,L-wo,0.394
2023-05-07,WSN,@,ARI,W,0.412
2023-05-08,WSN,@,SFG,W,0.429
2023-05-09,WSN,@,SFG,L,0.417
2023-05-10,WSN,@,SFG,W,0.432
2023-05-12,WSN,Home,NYM,L,0.421
2023-05-13,WSN,Home,NYM,W,0.436
2023-05-14,WSN,Home,NYM,L,0.425
2023-05-15,WSN,Home,NYM,W,0.439
2023-05-16,WSN,@,MIA,L-wo,0.429
2023-05-17,WSN,@,MIA,L,0.419
2023-05-18,WSN,@,MIA,L,0.409
2023-05-19,WSN,Home,DET,L,0.4
2023-05-20,WSN,Home,DET,W,0.413
2023-05-21,WSN,Home,DET,W,0.426
2023-05-23,WSN,Home,SDP,L,0.417
2023-05-24,WSN,Home,SDP,W,0.429
2023-05-25,WSN,Home,SDP,L,0.42
2023-05-26,WSN,@,KCR,W,0.431
2023-05-27,WSN,@,KCR,W,0.442
2023-05-28,WSN,@,KCR,L-wo,0.434
2023-05-29,WSN,@,LAD,L,0.426
2023-05-30,WSN,@,LAD,L,0.418
