date,team_ID,home_or_away,opponent,result,win_percentage
2024-03-28,BOS,@,SEA,W,1.0
2024-03-29,BOS,@,SEA,L,0.5
2024-03-30,BOS,@,SEA,L-wo,0.333
2024-03-31,BOS,@,SEA,W,0.5
2024-04-01,BOS,@,OAK,W,0.6
2024-04-02,BOS,@,OAK,W,0.667
2024-04-03,BOS,@,OAK,W,0.714
2024-04-05,BOS,@,LAA,W,0.75
2024-04-06,BOS,@,LAA,L,0.667
2024-04-07,BOS,@,LAA,W,0.7
2024-04-09,BOS,Home,BAL,L,0.636
2024-04-10,BOS,Home,BAL,L,0.583
2024-04-11,BOS,Home,BAL,L,0.538
2024-04-12,BOS,Home,LAA,L,0.5
2024-04-13,BOS,Home,LAA,W,0.533
2024-04-14,BOS,Home,LAA,W,0.562
2024-04-15,BOS,Home,CLE,L,0.529
2024-04-16,BOS,Home,CLE,L,0.5
2024-04-17,BOS,Home,CLE,W,0.526
2024-04-18,BOS,Home,CLE,L,0.5
2024-04-19,BOS,@,PIT,W,0.524
2024-04-20,BOS,@,PIT,W,0.545
2024-04-21,BOS,@,PIT,W,0.565
2024-04-23,BOS,@,CLE,L,0.542
2024-04-24,BOS,@,CLE,W,0.56
2024-04-25,BOS,@,CLE,L,0.538
2024-04-26,BOS,Home,CHC,L,0.519
2024-04-27,BOS,Home,CHC,W,0.536
2024-04-28,BOS,Home,CHC,W-wo,0.552
2024-04-30,BOS,Home,SFG,W,0.567
2024-05-01,BOS,Home,SFG,W,0.581
2024-05-02,BOS,Home,SFG,L,0.562
2024-05-03,BOS,@,MIN,L,0.545
2024-05-04,BOS,@,MIN,L,0.529
2024-05-05,BOS,@,MIN,W,0.543
2024-05-07,BOS,@,ATL,L,0.528
2024-05-08,BOS,@,ATL,L,0.514
2024-05-10,BOS,Home,WSN,L,0.5
2024-05-11,BOS,Home,WSN,W,0.513
2024-05-12,BOS,Home,WSN,W,0.525
2024-05-13,BOS,Home,TBR,L,0.512
2024-05-14,BOS,Home,TBR,W-wo,0.524
2024-05-15,BOS,Home,TBR,L,0.512
2024-05-16,BOS,Home,TBR,L,0.5
2024-05-17,BOS,@,STL,L,0.489
2024-05-18,BOS,@,STL,L,0.478
2024-05-19,BOS,@,STL,W,0.489
2024-05-20,BOS,@,TBR,W,0.5
2024-05-21,BOS,@,TBR,W,0.51
2024-05-22,BOS,@,TBR,W,0.52
2024-05-24,BOS,Home,MIL,L,0.51
2024-05-25,BOS,Home,MIL,L,0.5
2024-05-26,BOS,Home,MIL,W,0.509
2024-05-27,BOS,@,BAL,L,0.5
