date,team_ID,home_or_away,opponent,result,win_percentage
2024-03-28,HOU,Home,NYY,L,0.0
2024-03-29,HOU,Home,NYY,L,0.0
2024-03-30,HOU,Home,NYY,L,0.0
2024-03-31,HOU,Home,NYY,L,0.0
2024-04-01,HOU,Home,TOR,W,0.2
2024-04-02,HOU,Home,TOR,L,0.167
2024-04-03,HOU,Home,TOR,W,0.286
2024-04-05,HOU,@,TEX,L,0.25
2024-04-06,HOU,@,TEX,L,0.222
2024-04-07,HOU,@,TEX,W,0.3
2024-04-08,HOU,@,TEX,W,0.364
2024-04-09,HOU,@,KCR,L-wo,0.333
2024-04-10,HOU,@,KCR,L,0.308
2024-04-11,HOU,@,KCR,L,0.286
2024-04-12,HOU,Home,TEX,L,0.267
2024-04-13,HOU,Home,TEX,W,0.312
2024-04-14,HOU,Home,TEX,W,0.353
2024-04-15,HOU,Home,ATL,L,0.333
2024-04-16,HOU,Home,ATL,L,0.316
2024-04-17,HOU,Home,ATL,L,0.3
2024-04-19,HOU,@,WSN,W,0.333
2024-04-20,HOU,@,WSN,L-wo,0.318
2024-04-21,HOU,@,WSN,L,0.304
2024-04-23,HOU,@,CHC,L,0.292
2024-04-24,HOU,@,CHC,L,0.28
2024-04-25,HOU,@,CHC,L,0.269
2024-04-27,HOU,@,COL,W,0.296
2024-04-28,HOU,@,COL,W,0.321
2024-04-30,HOU,Home,CLE,W-wo,0.345
2024-05-01,HOU,Home,CLE,L,0.333
2024-05-02,HOU,Home,CLE,W,0.355
2024-05-03,HOU,Home,SEA,W,0.375
2024-05-04,HOU,Home,SEA,L,0.364
2024-05-05,HOU,Home,SEA,L,0.353
2024-05-07,HOU,@,NYY,L,0.343
2024-05-08,HOU,@,NYY,L,0.333
2024-05-09,HOU,@,NYY,W,0.351
2024-05-10,HOU,@,DET,W,0.368
2024-05-11,HOU,@,DET,L,0.359
2024-05-12,HOU,@,DET,W,0.375
2024-05-13,HOU,Home,OAK,W,0.39
2024-05-14,HOU,Home,OAK,W-wo,0.405
2024-05-15,HOU,Home,OAK,W,0.419
2024-05-16,HOU,Home,OAK,W,0.432
2024-05-17,HOU,Home,MIL,W,0.444
2024-05-18,HOU,Home,MIL,L,0.435
2024-05-19,HOU,Home,MIL,W,0.447
2024-05-20,HOU,Home,LAA,L,0.438
2024-05-21,HOU,Home,LAA,W-wo,0.449
2024-05-22,HOU,Home,LAA,L,0.44
2024-05-24,HOU,@,OAK,W,0.451
2024-05-25,HOU,@,OAK,L,0.442
2024-05-26,HOU,@,OAK,W,0.453
2024-05-27,HOU,@,SEA,L,0.444
2024-05-28,HOU,@,SEA,L,0.436
2024-05-29,HOU,@,SEA,L-wo,0.429
2024-05-30,HOU,@,SEA,W,0.439
2024-05-31,HOU,Home,MIN,L,0.431
2024-06-01,HOU,Home,MIN,W,0.441
2024-06-02,HOU,Home,MIN,L,0.433
2024-06-03,HOU,Home,STL,W,0.443
2024-06-04,HOU,Home,STL,W,0.452
2024-06-05,HOU,Home,STL,L,0.444
2024-06-07,HOU,@,LAA,W,0.453
