date,team_ID,home_or_away,opponent,result,win_percentage
2024-03-20,LAD,@,SDP,W,1.0
2024-03-21,LAD,Home,SDP,L,0.5
2024-03-28,LAD,Home,STL,W,0.667
2024-03-29,LAD,Home,STL,W,0.75
2024-03-30,LAD,Home,STL,L,0.6
2024-03-31,LAD,Home,STL,W,0.667
2024-04-01,LAD,Home,SFG,W,0.714
2024-04-02,LAD,Home,SFG,W,0.75
2024-04-03,LAD,Home,SFG,W,0.778
2024-04-05,LAD,@,CHC,L,0.7
2024-04-06,LAD,@,CHC,W,0.727
2024-04-07,LAD,@,CHC,L,0.667
2024-04-08,LAD,@,MIN,W,0.692
2024-04-09,LAD,@,MIN,W,0.714
2024-04-10,LAD,@,MIN,L,0.667
2024-04-12,LAD,Home,SDP,L,0.625
2024-04-13,LAD,Home,SDP,W,0.647
2024-04-14,LAD,Home,SDP,L,0.611
2024-04-15,LAD,Home,WSN,L,0.579
2024-04-16,LAD,Home,WSN,W,0.6
2024-04-17,LAD,Home,WSN,L,0.571
2024-04-19,LAD,Home,NYM,L,0.545
2024-04-20,LAD,Home,NYM,L,0.522
2024-04-21,LAD,Home,NYM,W,0.542
2024-04-23,LAD,@,WSN,W,0.56
2024-04-24,LAD,@,WSN,W,0.577
2024-04-25,LAD,@,WSN,W,0.593
2024-04-26,LAD,@,TOR,W,0.607
2024-04-27,LAD,@,TOR,W,0.621
2024-04-28,LAD,@,TOR,L,0.6
2024-04-29,LAD,@,ARI,W,0.613
2024-04-30,LAD,@,ARI,L-wo,0.594
2024-05-01,LAD,@,ARI,W,0.606
2024-05-03,LAD,Home,ATL,W-wo,0.618
2024-05-04,LAD,Home,ATL,W,0.629
2024-05-05,LAD,Home,ATL,W,0.639
2024-05-06,LAD,Home,MIA,W,0.649
2024-05-07,LAD,Home,MIA,W,0.658
2024-05-08,LAD,Home,MIA,W,0.667
2024-05-10,LAD,@,SDP,L-wo,0.65
2024-05-11,LAD,@,SDP,W,0.659
2024-05-12,LAD,@,SDP,L,0.643
2024-05-13,LAD,@,SFG,W,0.651
2024-05-14,LAD,@,SFG,W,0.659
2024-05-15,LAD,@,SFG,L,0.644
2024-05-16,LAD,Home,CIN,L,0.63
2024-05-17,LAD,Home,CIN,W,0.638
2024-05-18,LAD,Home,CIN,W,0.646
2024-05-19,LAD,Home,CIN,W-wo,0.653
2024-05-20,LAD,Home,ARI,W,0.66
2024-05-21,LAD,Home,ARI,L,0.647
2024-05-22,LAD,Home,ARI,L,0.635
2024-05-24,LAD,@,CIN,L,0.623
2024-05-25,LAD,@,CIN,L,0.611
2024-05-26,LAD,@,CIN,L,0.6
2024-05-28,LAD,@,NYM,W,0.607
2024-05-28,LAD,@,NYM,W,0.614
2024-05-29,LAD,@,NYM,W,0.621
2024-05-31,LAD,Home,COL,L,0.61
2024-06-01,LAD,Home,COL,W,0.617
2024-06-02,LAD,Home,COL,W,0.623
2024-06-04,LAD,@,PIT,L,0.613
2024-06-05,LAD,@,PIT,L,0.603
2024-06-06,LAD,@,PIT,W,0.609
2024-06-07,LAD,@,NYY,W,0.615
2024-06-08,LAD,@,NYY,W,0.621
2024-06-09,LAD,@,NYY,L,0.612
2024-06-11,LAD,Home,TEX,W,0.618
2024-06-12,LAD,Home,TEX,L,0.609
2024-06-13,LAD,Home,TEX,L,0.6
2024-06-14,LAD,Home,KCR,W,0.606
2024-06-15,LAD,Home,KCR,L,0.597
2024-06-16,LAD,Home,KCR,W,0.603
