date,team_ID,home_or_away,opponent,result,win_percentage
2024-03-29,NYM,Home,MIL,L,0.0
2024-03-30,NYM,Home,MIL,L,0.0
2024-03-31,NYM,Home,MIL,L,0.0
2024-04-01,NYM,Home,DET,L,0.0
2024-04-04,NYM,Home,DET,L,0.0
2024-04-04,NYM,Home,DET,W-wo,0.167
2024-04-05,NYM,@,CIN,W,0.286
2024-04-06,NYM,@,CIN,L,0.25
2024-04-07,NYM,@,CIN,W,0.333
2024-04-08,NYM,@,ATL,W,0.4
2024-04-09,NYM,@,ATL,L,0.364
2024-04-11,NYM,@,ATL,W,0.417
2024-04-12,NYM,Home,KCR,W,0.462
2024-04-13,NYM,Home,KCR,L,0.429
2024-04-14,NYM,Home,KCR,W,0.467
2024-04-15,NYM,Home,PIT,W,0.5
2024-04-16,NYM,Home,PIT,W,0.529
2024-04-17,NYM,Home,PIT,W,0.556
2024-04-19,NYM,@,LAD,W,0.579
2024-04-20,NYM,@,LAD,W,0.6
2024-04-21,NYM,@,LAD,L,0.571
2024-04-22,NYM,@,SFG,L,0.545
2024-04-23,NYM,@,SFG,L,0.522
2024-04-24,NYM,@,SFG,W,0.542
2024-04-26,NYM,Home,STL,L,0.52
2024-04-27,NYM,Home,STL,L,0.5
2024-04-28,NYM,Home,STL,W-wo,0.519
2024-04-29,NYM,Home,CHC,L,0.5
2024-04-30,NYM,Home,CHC,W,0.517
2024-05-01,NYM,Home,CHC,L,0.5
2024-05-02,NYM,Home,CHC,W-wo,0.516
2024-05-03,NYM,@,TBR,L,0.5
2024-05-04,NYM,@,TBR,L,0.485
2024-05-05,NYM,@,TBR,L-wo,0.471
2024-05-06,NYM,@,STL,W,0.486
2024-05-07,NYM,@,STL,W,0.5
2024-05-10,NYM,Home,ATL,L,0.486
2024-05-11,NYM,Home,ATL,L,0.474
2024-05-12,NYM,Home,ATL,W-wo,0.487
2024-05-13,NYM,Home,PHI,L,0.475
2024-05-14,NYM,Home,PHI,L,0.463
2024-05-15,NYM,@,PHI,L,0.452
2024-05-16,NYM,@,PHI,W,0.465
2024-05-17,NYM,@,MIA,L,0.455
2024-05-18,NYM,@,MIA,L-wo,0.444
2024-05-19,NYM,@,MIA,W,0.457
2024-05-20,NYM,@,CLE,L,0.447
2024-05-21,NYM,@,CLE,L,0.438
2024-05-22,NYM,@,CLE,L,0.429
2024-05-24,NYM,Home,SFG,L,0.42
2024-05-25,NYM,Home,SFG,L,0.412
2024-05-26,NYM,Home,SFG,W-wo,0.423
2024-05-28,NYM,Home,LAD,L,0.415
2024-05-28,NYM,Home,LAD,L,0.407
2024-05-29,NYM,Home,LAD,L,0.4
2024-05-30,NYM,Home,ARI,W,0.411
2024-05-31,NYM,Home,ARI,W,0.421
2024-06-01,NYM,Home,ARI,L,0.414
2024-06-02,NYM,Home,ARI,L,0.407
2024-06-03,NYM,@,WSN,W,0.417
2024-06-04,NYM,@,WSN,W,0.426
2024-06-05,NYM,@,WSN,W,0.435
2024-06-08,NYM,Home,PHI,L,0.429
2024-06-09,NYM,@,PHI,W,0.438
2024-06-11,NYM,Home,MIA,L,0.431
