date,team_ID,home_or_away,opponent,result,win_percentage
2024-03-28,TOR,@,TBR,W,1.0
2024-03-29,TOR,@,TBR,L,0.5
2024-03-30,TOR,@,TBR,L,0.333
2024-03-31,TOR,@,TBR,W,0.5
2024-04-01,TOR,@,HOU,L,0.4
2024-04-02,TOR,@,HOU,W,0.5
2024-04-03,TOR,@,HOU,L,0.429
2024-04-05,TOR,@,NYY,W,0.5
2024-04-06,TOR,@,NYY,L,0.444
2024-04-07,TOR,@,NYY,L,0.4
2024-04-08,TOR,Home,SEA,W,0.455
2024-04-09,TOR,Home,SEA,W,0.5
2024-04-10,TOR,Home,SEA,L,0.462
2024-04-12,TOR,Home,COL,L,0.429
2024-04-13,TOR,Home,COL,W,0.467
2024-04-14,TOR,Home,COL,W,0.5
2024-04-15,TOR,Home,NYY,W,0.529
2024-04-16,TOR,Home,NYY,W,0.556
2024-04-17,TOR,Home,NYY,L,0.526
2024-04-19,TOR,@,SDP,W,0.55
2024-04-20,TOR,@,SDP,W,0.571
2024-04-21,TOR,@,SDP,L,0.545
2024-04-22,TOR,@,KCR,W,0.565
2024-04-23,TOR,@,KCR,L,0.542
2024-04-24,TOR,@,KCR,L,0.52
2024-04-25,TOR,@,KCR,L,0.5
2024-04-26,TOR,Home,LAD,L,0.481
2024-04-27,TOR,Home,LAD,L,0.464
2024-04-28,TOR,Home,LAD,W,0.483
2024-04-29,TOR,Home,KCR,W,0.5
2024-04-30,TOR,Home,KCR,L,0.484
2024-05-01,TOR,Home,KCR,L,0.469
2024-05-03,TOR,@,WSN,L,0.455
2024-05-04,TOR,@,WSN,W,0.471
2024-05-05,TOR,@,WSN,L,0.457
2024-05-07,TOR,@,PHI,L,0.444
2024-05-08,TOR,@,PHI,W,0.459
2024-05-10,TOR,Home,MIN,L,0.447
2024-05-11,TOR,Home,MIN,W,0.462
2024-05-12,TOR,Home,MIN,L,0.45
2024-05-13,TOR,@,BAL,W,0.463
2024-05-15,TOR,@,BAL,L-wo,0.452
2024-05-17,TOR,Home,TBR,L,0.442
2024-05-18,TOR,Home,TBR,L,0.432
2024-05-19,TOR,Home,TBR,W,0.444
2024-05-20,TOR,Home,CHW,W,0.457
2024-05-21,TOR,Home,CHW,L,0.447
2024-05-22,TOR,Home,CHW,W,0.458
2024-05-23,TOR,@,DET,W,0.469
2024-05-24,TOR,@,DET,L,0.46
2024-05-25,TOR,@,DET,L,0.451
2024-05-26,TOR,@,DET,L-wo,0.442
2024-05-27,TOR,@,CHW,W,0.453
2024-05-28,TOR,@,CHW,W,0.463
2024-05-29,TOR,@,CHW,W,0.473
2024-05-31,TOR,Home,PIT,W-wo,0.482
2024-06-01,TOR,Home,PIT,L,0.474
2024-06-02,TOR,Home,PIT,W,0.483
2024-06-03,TOR,Home,BAL,L,0.475
2024-06-04,TOR,Home,BAL,L,0.467
2024-06-05,TOR,Home,BAL,W-wo,0.475
2024-06-06,TOR,Home,BAL,W,0.484
2024-06-07,TOR,@,OAK,L-wo,0.476
2024-06-08,TOR,@,OAK,W,0.484
2024-06-09,TOR,@,OAK,W,0.492
2024-06-10,TOR,@,MIL,L,0.485
2024-06-11,TOR,@,MIL,W,0.493
2024-06-12,TOR,@,MIL,L,0.485
2024-06-14,TOR,Home,CLE,L,0.478
2024-06-15,TOR,Home,CLE,W,0.486
2024-06-16,TOR,Home,CLE,W,0.493
2024-06-17,TOR,Home,BOS,L,0.486
2024-06-18,TOR,Home,BOS,L,0.479
2024-06-19,TOR,Home,BOS,L,0.473
2024-06-21,TOR,@,CLE,L,0.467
2024-06-22,TOR,@,CLE,L,0.461
2024-06-23,TOR,@,CLE,L,0.455
2024-06-24,TOR,@,BOS,L-wo,0.449
2024-06-25,TOR,@,BOS,W,0.456
2024-06-26,TOR,@,BOS,W,0.462
2024-06-27,TOR,Home,NYY,W,0.469
2024-06-28,TOR,Home,NYY,L,0.463
2024-06-29,TOR,Home,NYY,W,0.47
2024-06-30,TOR,Home,NYY,L,0.464
2024-07-01,TOR,Home,HOU,L,0.459
2024-07-02,TOR,Home,HOU,W,0.465
2024-07-03,TOR,Home,HOU,L,0.46
2024-07-04,TOR,Home,HOU,L,0.455
2024-07-05,TOR,@,SEA,L,0.449
2024-07-06,TOR,@,SEA,W,0.456
2024-07-07,TOR,@,SEA,W,0.462
2024-07-09,TOR,@,SFG,L-wo,0.457
