LAA,SFG,HOU,SDP,TOR,SEA,ATL,MIN,MIL,ATH,CHC,ARI,NYM,STL,BAL,CIN,PHI,MIA,PIT,CLE,TEX,LAD,TBR,NYY,BOS,CHW,COL,WSN,DET,KCR
89.6,92.6,88.0,109.4,95.7,70.0,77.5,66.2,78.0,65.0,92.6,78.5,107.0,81.5,84.1,76.8,83.0,66.4,57.0,72.4,95.0,82.0,91.7,78.0,97.2,74.0,72.8,69.9,77.4,63.0
87.2,101.2,67.2,94.8,86.1,90.6,83.6,57.4,61.8,80.0,91.3,82.5,96.0,75.5,88.5,88.3,103.2,73.8,54.3,88.5,74.4,107.0,93.1,78.0,79.0,44.8,44.6,72.3,92.0,95.2
74.4,90.6,74.8,99.5,87.5,90.5,65.8,50.9,73.4,88.6,95.6,85.1,78.5,90.9,68.8,90.5,93.3,83.7,73.5,89.6,103.9,75.9,91.3,73.5,79.5,50.2,53.3,70.9,96.2,92.3
96.2,82.0,80.0,110.7,102.0,88.6,66.5,71.4,73.8,73.0,95.4,86.1,81.5,100.0,96.8,83.6,116.5,71.8,52.0,72.0,87.5,88.0,83.7,89.0,76.4,53.0,44.6,66.6,85.6,65.6
79.0,96.0,65.0,96.6,100.6,92.0,79.5,58.0,78.0,76.0,97.0,80.0,94.0,83.5,58.4,95.2,96.0,71.4,67.4,93.6,85.0,91.6,71.4,87.0,88.0,40.0,54.7,77.5,88.5,89.2
81.5,79.0,91.6,98.9,88.2,86.7,43.1,67.2,90.0,75.4,91.3,98.6,77.5,109.4,57.5,74.5,94.5,80.5,62.5,68.8,84.0,76.5,105.6,98.5,84.0,76.7,42.0,95.6,95.4,56.4
79.5,84.5,84.5,101.0,87.6,84.7,67.8,53.3,88.5,72.9,91.0,83.0,86.3,71.4,82.5,63.0,93.9,94.2,66.8,82.0,81.5,80.5,98.4,85.0,107.7,47.3,40.2,98.2,89.6,84.0
75.9,88.5,89.1,101.9,103.7,72.0,60.4,58.4,68.8,90.6,116.8,97.2,98.6,90.7,84.6,73.0,94.6,55.0,63.0,66.0,87.1,85.5,91.8,96.0,81.5,52.3,58.0,70.8,91.3,67.2
93.0,96.4,89.6,103.3,93.5,79.0,71.3,48.6,93.6,58.7,90.0,80.5,98.8,81.5,67.1,76.9,91.4,54.0,60.8,86.2,75.5,76.4,124.5,94.3,83.5,73.3,66.6,71.3,88.2,75.0
100.2,87.0,81.0,95.2,93.9,80.0,90.6,49.0,86.0,71.0,77.5,78.5,97.6,79.5,90.6,80.0,95.2,73.2,58.0,82.0,77.0,100.6,79.5,88.5,100.0,71.4,61.8,60.5,73.5,73.0
